idx,mean,median,TRUE,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
113,6.8740005,6.8740005,8.621,-1.7470001,0.15100001,3.7050002,2.5760002,0.54700005,6.577,7.1700006,0,0.094000004,Linear_1S,dynamic
113,7.906,7.905,8.621,-0.71500003,0.162,2.4020002,1.5680001,0.47700003,7.5920005,8.225,0,0.268,GP_1S,dynamic
113,7.7850003,7.7850003,9.128,-1.343,0.177,2.7370002,1.8540001,0.18900001,7.4370003,8.128,0,0.11800001,Linear_1S,stoch
113,8.459001,8.458,9.128,-0.669,0.18300001,1.9010001,1.148,0.126,8.102,8.818001,0,0.37600002,GP_1S,stoch
168,6.8780003,6.879,8.418,-1.5400001,0.13900001,3.209,2.1680002,0.39400002,6.603,7.1520004,0,0.134,Linear_oracle,dynamic
168,8.097,8.097,8.418,-0.321,0.098000005,1.276,0.83900005,0.23700002,7.9020004,8.2890005,0,0.354,GP_oracle,dynamic
168,8.56,8.559,9.59,-1.0300001,0.18300001,2.358,1.5020001,0.14500001,8.196,8.917001,0,0.23,Linear_oracle,stoch
168,9.228001,9.228001,9.59,-0.36200002,0.132,1.491,0.80200005,0.075,8.967,9.490001,0,0.40800002,GP_oracle,stoch
168,5.9750004,5.973,8.418,-2.443,0.15,4.053,3.1260002,0.67600006,5.681,6.268,0,0.05,Linear_observed,dynamic
168,5.8160005,5.8170004,8.418,-2.6020002,0.21300001,3.4910002,3.0430002,1.046,5.3840003,6.2300005,0,0.086,GP_observed,dynamic
168,6.3050003,6.3040004,9.59,-3.285,0.22600001,3.9180002,3.3300002,0.333,5.861,6.7510004,0,0.032,Linear_observed,stoch
168,8.464001,8.466001,9.59,-1.126,0.33800003,2.0500002,1.378,0.141,7.806,9.128,0,0.44400004,GP_observed,stoch
168,6.5780005,6.577,8.418,-1.84,0.162,3.505,2.551,0.526,6.262,6.906,0,0.20600002,Linear_3S,dynamic
168,7.2230005,7.2230005,8.418,-1.195,0.15900001,2.217,1.8290001,0.469,6.9090004,7.5340004,0,0.41000003,GP_3S,dynamic
168,8.023001,8.019,9.59,-1.567,0.21300001,2.568,1.7580001,0.17600001,7.5950003,8.453,0,0.46600002,Linear_3S,stoch
168,8.009001,8.011001,9.59,-1.5810001,0.19800001,2.1750002,1.6710001,0.171,7.6110005,8.389,0,0.582,GP_3S,stoch
168,6.7000003,6.701,8.418,-1.718,0.15100001,3.4510002,2.489,0.51900005,6.4040003,6.998,0,0.076000005,Linear_1S,dynamic
168,7.6940002,7.6940002,8.418,-0.72400004,0.14500001,2.022,1.5120001,0.455,7.4110003,7.9800005,0,0.3,GP_1S,dynamic
168,8.265,8.266001,9.59,-1.325,0.20400001,2.482,1.677,0.16700001,7.866,8.663,0,0.194,Linear_1S,stoch
168,8.689,8.688001,9.59,-0.901,0.18400002,2.1220002,1.2340001,0.12200001,8.334001,9.048,0,0.45000002,GP_1S,stoch
223,7.2780004,7.2780004,8.565001,-1.2870001,0.134,3.0590003,2.16,0.39000002,7.01,7.5410004,0,0.106000006,Linear_oracle,dynamic
223,8.162001,8.161,8.565001,-0.40300003,0.117000006,1.572,0.975,0.21100001,7.9330006,8.393001,0,0.33600003,GP_oracle,dynamic
223,8.707001,8.705001,9.532001,-0.82500005,0.17400001,2.207,1.473,0.13800001,8.361,9.05,0,0.21400002,Linear_oracle,stoch
223,9.285001,9.286,9.532001,-0.24700001,0.156,1.8160001,1.034,0.097,8.985001,9.594001,1,0.33,GP_oracle,stoch
223,6.0080004,6.0080004,8.565001,-2.5570002,0.141,3.9870002,3.051,0.528,5.728,6.2840004,0,0.058000002,Linear_observed,dynamic
223,7.0270004,7.0280004,8.565001,-1.5380001,0.179,2.716,2.181,0.61200005,6.676,7.3740005,0,0.26000002,GP_observed,dynamic
223,6.6330004,6.6340003,9.532001,-2.8990002,0.21900001,3.5970001,2.956,0.287,6.202,7.063,0,0.026,Linear_observed,stoch
223,9.184,9.186001,9.532001,-0.34800002,0.25300002,1.6600001,1.0830001,0.112,8.679001,9.673,1,0.49400002,GP_observed,stoch
223,7.0080004,7.005,8.565001,-1.557,0.16800001,3.176,2.3530002,0.46,6.6800003,7.347,0,0.30800003,Linear_3S,dynamic
223,7.4680004,7.465,8.565001,-1.097,0.16700001,2.071,1.6120001,0.37500003,7.1460004,7.7990003,0,0.554,GP_3S,dynamic
223,8.169001,8.1640005,9.532001,-1.363,0.20600002,2.295,1.6350001,0.15900001,7.7510004,8.580001,0,0.50600004,Linear_3S,stoch
223,8.110001,8.113,9.532001,-1.422,0.186,1.9840001,1.483,0.15,7.735,8.476001,0,0.64000005,GP_3S,stoch
223,7.1650004,7.1670003,8.565001,-1.4000001,0.148,3.1560001,2.306,0.46500003,6.873,7.4550004,0,0.12200001,Linear_1S,dynamic
223,7.7830005,7.7820005,8.565001,-0.78200006,0.14400001,2.026,1.4460001,0.36,7.5000005,8.069,0,0.30400002,GP_1S,dynamic
223,8.441,8.441,9.532001,-1.0910001,0.192,2.242,1.5920001,0.15400001,8.064,8.817,0,0.17,Linear_1S,stoch
223,8.598001,8.598001,9.532001,-0.934,0.16100001,1.9770001,1.228,0.12100001,8.282001,8.917001,0,0.402,GP_1S,stoch
278,6.1400003,6.1390004,8.044001,-1.904,0.13800001,3.308,2.3270001,0.39600003,5.872,6.412,0,0.102000006,Linear_oracle,dynamic
278,7.255,7.255,8.044001,-0.78900003,0.12100001,1.4530001,1.014,0.215,7.017,7.4940004,0,0.36400002,GP_oracle,dynamic
278,7.9230003,7.9210005,9.323001,-1.4000001,0.18200001,2.5010002,1.8190001,0.18200001,7.5720005,8.282001,0,0.072000004,Linear_oracle,stoch
278,8.566,8.564,9.323001,-0.757,0.19700001,1.8260001,0.99100006,0.096,8.184,8.954,0,0.42000002,GP_oracle,stoch
278,4.5410004,4.5410004,8.044001,-3.5030003,0.135,4.7000003,3.7570002,0.63100004,4.2790003,4.8,0,0.05,Linear_observed,dynamic
278,4.8510003,4.8510003,8.044001,-3.193,0.18,3.8140001,3.4410002,1.1010001,4.4960003,5.2050004,0,0.046000004,GP_observed,dynamic
278,5.249,5.2510004,9.323001,-4.0740004,0.24700001,4.6540003,4.116,0.42100003,4.7710004,5.7370005,0,0.018000001,Linear_observed,stoch
278,8.183001,8.184,9.323001,-1.1400001,0.43800002,2.5400002,1.672,0.177,7.333,9.0390005,0,0.48200002,GP_observed,stoch
278,5.7640004,5.7590003,8.044001,-2.2800002,0.172,3.6660001,2.7610002,0.508,5.427,6.111,0,0.20400001,Linear_3S,dynamic
278,6.313,6.3120003,8.044001,-1.7310001,0.17600001,2.4480002,2.098,0.45100003,5.966,6.662,0,0.404,GP_3S,dynamic
278,7.3570004,7.353,9.323001,-1.9660001,0.22100002,2.8560002,2.1690001,0.224,6.9150004,7.8050003,0,0.296,Linear_3S,stoch
278,7.189,7.1930003,9.323001,-2.134,0.25300002,2.861,2.2350001,0.23200001,6.675,7.6760006,0,0.47800002,GP_3S,stoch
278,5.9340005,5.933,8.044001,-2.1100001,0.15100001,3.5750003,2.657,0.507,5.6400003,6.235,0,0.074,Linear_1S,dynamic
278,7.1050005,7.1060004,8.044001,-0.93900007,0.178,2.0530002,1.6010001,0.425,6.755,7.4590006,0,0.26000002,GP_1S,dynamic
278,7.6410003,7.6410003,9.323001,-1.682,0.20300001,2.733,2.051,0.21100001,7.2420006,8.043,0,0.094000004,Linear_1S,stoch
278,8.209001,8.207001,9.323001,-1.1140001,0.25300002,2.561,1.4740001,0.15200001,7.7060003,8.703,0,0.45200002,GP_1S,stoch
