idx,mean,median,TRUE,bias,std,RMSE,q025,q975,covering,method,estimand
78,2.174,2.174,2.206,-0.032,0.080000006,0.087000005,2.0180001,2.3330002,1,Linear_2S,dynamic
78,2.181,2.18,2.206,-0.025,0.07700001,0.081,2.032,2.338,1,GP_2S,dynamic
78,1.7990001,1.7990001,1.891,-0.09200001,0.072000004,0.117000006,1.6580001,1.9430001,1,Linear_2S,stoch
78,1.784,1.7830001,1.891,-0.10700001,0.072000004,0.12900001,1.644,1.9310001,1,GP_2S,stoch
78,2.181,2.181,2.206,-0.025,0.086,0.09,2.012,2.351,1,Linear_3S,dynamic
78,2.186,2.1850002,2.206,-0.020000001,0.082,0.08400001,2.028,2.352,1,GP_3S,dynamic
78,1.802,1.802,1.891,-0.089,0.076000005,0.117000006,1.6520001,1.9530001,1,Linear_3S,stoch
78,1.7850001,1.784,1.891,-0.106000006,0.074,0.12900001,1.6420001,1.937,1,GP_3S,stoch
78,2.2510002,2.252,2.206,0.045,0.062000003,0.07700001,2.1260002,2.375,1,Linear_1S,dynamic
78,2.239,2.239,2.206,0.033,0.060000002,0.069000006,2.1220002,2.3590002,1,GP_1S,dynamic
78,1.894,1.894,1.891,0.003,0.061000004,0.061000004,1.7730001,2.0140002,1,Linear_1S,stoch
78,1.8640001,1.8640001,1.891,-0.027,0.061000004,0.067,1.7450001,1.9860001,1,GP_1S,stoch
111,1.7980001,1.797,1.8280001,-0.030000001,0.044000003,0.053000003,1.7120001,1.8840001,1,Linear_oracle,dynamic
111,1.8180001,1.8180001,1.8280001,-0.010000001,0.039,0.040000003,1.741,1.8930001,1,GP_oracle,dynamic
111,1.761,1.761,1.8080001,-0.047000002,0.045,0.065000005,1.6730001,1.8500001,1,Linear_oracle,stoch
111,1.761,1.761,1.8080001,-0.047000002,0.041,0.062000003,1.6800001,1.843,1,GP_oracle,stoch
111,2.1680002,2.17,1.8280001,0.34,0.081,0.35000002,2.0070002,2.3300002,0,Linear_observed,dynamic
111,2.1520002,2.153,1.8280001,0.324,0.089,0.337,1.9750001,2.325,0,GP_observed,dynamic
111,1.7520001,1.7530001,1.8080001,-0.056,0.07300001,0.09200001,1.608,1.8970001,1,Linear_observed,stoch
111,1.741,1.741,1.8080001,-0.067,0.078,0.10300001,1.5860001,1.891,1,GP_observed,stoch
111,1.682,1.682,1.8280001,-0.14600001,0.07700001,0.165,1.5280001,1.8320001,1,Linear_2S,dynamic
111,1.6880001,1.6880001,1.8280001,-0.14,0.072000004,0.157,1.5460001,1.8270001,0,GP_2S,dynamic
111,1.575,1.5760001,1.8080001,-0.23300001,0.076000005,0.245,1.422,1.7240001,0,Linear_2S,stoch
111,1.5450001,1.5450001,1.8080001,-0.263,0.072000004,0.273,1.4030001,1.6860001,0,GP_2S,stoch
111,1.6830001,1.6830001,1.8280001,-0.14500001,0.080000006,0.16600001,1.524,1.84,1,Linear_3S,dynamic
111,1.6890001,1.6890001,1.8280001,-0.13900001,0.075,0.158,1.5410001,1.8360001,1,GP_3S,dynamic
111,1.575,1.5760001,1.8080001,-0.23300001,0.07700001,0.245,1.4200001,1.7260001,0,Linear_3S,stoch
111,1.544,1.544,1.8080001,-0.264,0.074,0.27400002,1.399,1.6890001,0,GP_3S,stoch
111,1.69,1.69,1.8280001,-0.13800001,0.057000004,0.149,1.58,1.802,0,Linear_1S,dynamic
111,1.6680001,1.6680001,1.8280001,-0.16000001,0.058000002,0.17,1.5530001,1.7800001,0,GP_1S,dynamic
111,1.7,1.7,1.8080001,-0.108,0.060000002,0.124000005,1.5840001,1.8180001,1,Linear_1S,stoch
111,1.7300001,1.7310001,1.8080001,-0.078,0.07,0.105000004,1.5890001,1.8670001,1,GP_1S,stoch
144,2.1620002,2.1620002,2.1720002,-0.010000001,0.046000004,0.048,2.0730002,2.253,1,Linear_oracle,dynamic
144,2.1750002,2.1750002,2.1720002,0.003,0.039,0.040000003,2.0990002,2.253,1,GP_oracle,dynamic
144,1.7080001,1.7080001,1.728,-0.020000001,0.045,0.049000002,1.6220001,1.7960001,1,Linear_oracle,stoch
144,1.723,1.7220001,1.728,-0.005,0.037,0.038000003,1.651,1.7960001,1,GP_oracle,stoch
144,2.868,2.867,2.1720002,0.69600004,0.083000004,0.70100003,2.709,3.0310001,0,Linear_observed,dynamic
144,2.8470001,2.848,2.1720002,0.675,0.09,0.68100005,2.6710002,3.0230002,0,GP_observed,dynamic
144,1.8160001,1.815,1.728,0.08800001,0.063,0.108,1.6940001,1.94,1,Linear_observed,stoch
144,1.82,1.82,1.728,0.09200001,0.064,0.112,1.6930001,1.9460001,1,GP_observed,stoch
144,2.2310002,2.2310002,2.1720002,0.059000004,0.078,0.098000005,2.078,2.3830001,1,Linear_2S,dynamic
144,2.23,2.229,2.1720002,0.058000002,0.078,0.097,2.0770001,2.3850002,1,GP_2S,dynamic
144,1.702,1.7030001,1.728,-0.026,0.067,0.072000004,1.57,1.8290001,1,Linear_2S,stoch
144,1.6930001,1.6930001,1.728,-0.035,0.069000006,0.07700001,1.5600001,1.8280001,1,GP_2S,stoch
144,2.233,2.2340002,2.1720002,0.061000004,0.083000004,0.10300001,2.0700002,2.394,1,Linear_3S,dynamic
144,2.232,2.2310002,2.1720002,0.060000002,0.083000004,0.102000006,2.069,2.3950002,1,GP_3S,dynamic
144,1.702,1.7030001,1.728,-0.026,0.068,0.07300001,1.5680001,1.8310001,1,Linear_3S,stoch
144,1.6930001,1.6930001,1.728,-0.035,0.069000006,0.078,1.559,1.8290001,1,GP_3S,stoch
144,2.282,2.282,2.1720002,0.11000001,0.058000002,0.124000005,2.167,2.3960001,1,Linear_1S,dynamic
144,2.2570002,2.2570002,2.1720002,0.085,0.058000002,0.10300001,2.1430001,2.371,1,GP_1S,dynamic
144,1.7470001,1.7470001,1.728,0.019000001,0.056,0.059000004,1.6370001,1.8560001,1,Linear_1S,stoch
144,1.756,1.756,1.728,0.028,0.055000003,0.062000003,1.6470001,1.866,1,GP_1S,stoch
177,1.815,1.815,1.8110001,0.004,0.045,0.045,1.7270001,1.9030001,1,Linear_oracle,dynamic
177,1.8030001,1.8030001,1.8110001,-0.008,0.041,0.042000003,1.7210001,1.8820001,1,GP_oracle,dynamic
177,1.6340001,1.6340001,1.636,-0.002,0.044000003,0.044000003,1.5480001,1.72,1,Linear_oracle,stoch
177,1.6300001,1.6300001,1.636,-0.006,0.039,0.040000003,1.554,1.705,1,GP_oracle,stoch
177,2.3470001,2.3470001,1.8110001,0.536,0.08400001,0.54200006,2.184,2.5110002,0,Linear_observed,dynamic
177,2.3200002,2.3200002,1.8110001,0.509,0.085,0.51600003,2.153,2.489,0,GP_observed,dynamic
177,1.71,1.71,1.636,0.074,0.071,0.10300001,1.5710001,1.848,1,Linear_observed,stoch
177,1.697,1.697,1.636,0.061000004,0.071,0.093,1.557,1.835,1,GP_observed,stoch
177,1.8540001,1.8540001,1.8110001,0.043,0.082,0.09200001,1.6930001,2.0140002,1,Linear_2S,dynamic
177,1.8670001,1.8650001,1.8110001,0.056,0.082,0.098000005,1.7090001,2.0270002,1,GP_2S,dynamic
177,1.6020001,1.6020001,1.636,-0.034,0.075,0.083000004,1.4580001,1.7520001,1,Linear_2S,stoch
177,1.5860001,1.5840001,1.636,-0.05,0.07300001,0.08800001,1.4460001,1.7320001,1,GP_2S,stoch
177,1.858,1.8570001,1.8110001,0.047000002,0.09200001,0.10300001,1.682,2.0410001,1,Linear_3S,dynamic
177,1.8700001,1.8690001,1.8110001,0.059000004,0.089,0.10700001,1.7,2.049,1,GP_3S,dynamic
177,1.603,1.6020001,1.636,-0.033,0.080000006,0.087000005,1.45,1.7630001,1,Linear_3S,stoch
177,1.5870001,1.585,1.636,-0.049000002,0.07700001,0.091000006,1.4410001,1.7400001,1,GP_3S,stoch
177,1.8980001,1.8970001,1.8110001,0.087000005,0.060000002,0.105000004,1.7820001,2.015,1,Linear_1S,dynamic
177,1.8870001,1.8870001,1.8110001,0.076000005,0.061000004,0.097,1.7700001,2.0070002,1,GP_1S,dynamic
177,1.7320001,1.7310001,1.636,0.096,0.060000002,0.113000005,1.616,1.848,1,Linear_1S,stoch
177,1.7210001,1.7210001,1.636,0.085,0.062000003,0.106000006,1.6,1.843,1,GP_1S,stoch
210,1.6830001,1.6830001,1.6100001,0.07300001,0.045,0.086,1.5940001,1.769,1,Linear_oracle,dynamic
210,1.6500001,1.6500001,1.6100001,0.040000003,0.039,0.056,1.5740001,1.7270001,1,GP_oracle,dynamic
210,1.9940001,1.9950001,1.9260001,0.068,0.048,0.083000004,1.8980001,2.085,1,Linear_oracle,stoch
210,1.9900001,1.9900001,1.9260001,0.064,0.042000003,0.07700001,1.909,2.072,1,GP_oracle,stoch
210,2.309,2.308,1.6100001,0.69900006,0.08400001,0.70400006,2.144,2.4740002,0,Linear_observed,dynamic
210,2.3040001,2.3030002,1.6100001,0.694,0.089,0.69900006,2.1320002,2.476,0,GP_observed,dynamic
210,2.1620002,2.161,1.9260001,0.23600002,0.085,0.25100002,1.9930001,2.3300002,0,Linear_observed,stoch
210,2.1390002,2.138,1.9260001,0.21300001,0.097,0.23400001,1.9490001,2.329,0,GP_observed,stoch
210,1.7360001,1.7340001,1.6100001,0.126,0.07700001,0.148,1.59,1.8930001,1,Linear_2S,dynamic
210,1.748,1.7470001,1.6100001,0.13800001,0.078,0.158,1.5960001,1.9050001,1,GP_2S,dynamic
