idx,mean,median,TRUE,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
13,5.7460003,5.7450004,6.918,-1.172,0.141,3.4180002,2.184,0.45100003,5.471,6.0230002,0,0.13800001,Linear_oracle,dynamic
13,6.879,6.879,6.918,-0.039,0.08800001,1.041,0.81100005,0.32700002,6.7050004,7.051,1,0.28800002,GP_oracle,dynamic
13,7.6600003,7.6580005,8.919001,-1.2590001,0.192,2.667,1.6940001,0.17400001,7.2830005,8.038,0,0.16800001,Linear_oracle,stoch
13,8.587001,8.588,8.919001,-0.33200002,0.13000001,1.4790001,0.763,0.078,8.33,8.84,0,0.42800003,GP_oracle,stoch
13,5.2790003,5.2780004,6.918,-1.639,0.16900001,4.0800004,2.91,0.703,4.9480004,5.6130004,0,0.094000004,Linear_observed,dynamic
13,5.004,5.0020003,6.918,-1.914,0.20700002,3.1120002,2.608,1.133,4.6010003,5.405,0,0.13000001,GP_observed,dynamic
13,5.4550004,5.4560003,8.919001,-3.4640002,0.22100002,4.309,3.555,0.37500003,5.017,5.885,0,0.048,Linear_observed,stoch
13,7.6530004,7.655,8.919001,-1.266,0.261,2.1260002,1.6,0.18200001,7.1400003,8.158,0,0.29200003,GP_observed,stoch
13,5.7430005,5.7390003,6.918,-1.1750001,0.172,3.5750003,2.4510002,0.574,5.4160004,6.089,0,0.27600002,Linear_3S,dynamic
13,6.4340005,6.4350004,6.918,-0.48400003,0.16700001,2.006,1.69,0.512,6.1050005,6.7580004,0,0.36600003,GP_3S,dynamic
13,7.3620005,7.36,8.919001,-1.557,0.23200001,2.8460002,1.9490001,0.209,6.8980002,7.8280005,0,0.43800002,Linear_3S,stoch
13,7.2620006,7.267,8.919001,-1.6570001,0.24200001,2.3720002,1.8510001,0.20400001,6.7720003,7.7240005,0,0.526,GP_3S,stoch
13,5.8350005,5.8350005,6.918,-1.0830001,0.158,3.5360003,2.414,0.574,5.5200005,6.1410003,0,0.120000005,Linear_1S,dynamic
13,7.0320005,7.0320005,6.918,0.11400001,0.155,1.9130001,1.559,0.588,6.7250004,7.3350005,1,0.22200002,GP_1S,dynamic
13,7.5840006,7.5850005,8.919001,-1.335,0.21700001,2.7670002,1.881,0.202,7.1540003,8.003,0,0.156,Linear_1S,stoch
13,8.2890005,8.291,8.919001,-0.63000005,0.24300002,2.141,1.2540001,0.143,7.806,8.757,0,0.45800003,GP_1S,stoch
68,6.892,6.892,8.077001,-1.1850001,0.126,2.7450001,1.9190001,0.365,6.6470003,7.1370006,0,0.11000001,Linear_oracle,dynamic
68,7.6760006,7.6760006,8.077001,-0.40100002,0.08800001,1.3050001,0.855,0.23300001,7.5010004,7.8490005,0,0.324,GP_oracle,dynamic
68,8.824,8.823,9.304001,-0.48000002,0.16900001,2.13,1.371,0.132,8.492001,9.155001,0,0.3,Linear_oracle,stoch
68,8.718,8.718,9.304001,-0.586,0.132,1.9560001,0.96700007,0.091000006,8.457001,8.978001,0,0.372,GP_oracle,stoch
68,5.6990004,5.6980004,8.077001,-2.378,0.13800001,3.7080002,2.9640002,0.61200005,5.4280005,5.9680004,0,0.05,Linear_observed,dynamic
68,5.907,5.9080005,8.077001,-2.17,0.177,3.0790002,2.581,0.725,5.55,6.2510004,0,0.14400001,GP_observed,dynamic
68,6.3420005,6.3420005,9.304001,-2.9620001,0.27100003,3.5760002,3.029,0.307,5.813,6.872,0,0.046000004,Linear_observed,stoch
68,8.088,8.091001,9.304001,-1.2160001,0.56600004,2.762,1.6880001,0.18,6.9670005,9.196,0,0.55600005,GP_observed,stoch
68,6.637,6.635,8.077001,-1.44,0.163,2.9310002,2.2080002,0.527,6.3230004,6.9670005,0,0.388,Linear_3S,dynamic
68,7.0090003,7.01,8.077001,-1.0680001,0.15900001,2.058,1.6890001,0.476,6.6910005,7.3210006,0,0.49800003,GP_3S,dynamic
68,8.234,8.229,9.304001,-1.07,0.21300001,2.0960002,1.5120001,0.156,7.8110003,8.662001,0,0.606,Linear_3S,stoch
68,7.6730003,7.6790004,9.304001,-1.631,0.23200001,2.3240001,1.7440001,0.18,7.2000003,8.113,0,0.63000005,GP_3S,stoch
68,6.86,6.859,8.077001,-1.217,0.147,2.8600001,2.121,0.526,6.5690002,7.143,0,0.098000005,Linear_1S,dynamic
68,7.6630006,7.662,8.077001,-0.41400003,0.15,1.8140001,1.2930001,0.48100004,7.3690004,7.9560003,0,0.388,GP_1S,dynamic
68,8.619,8.618,9.304001,-0.68500006,0.19800001,2.0930002,1.4900001,0.15300001,8.2300005,9.008,0,0.22200002,Linear_1S,stoch
68,8.487,8.489,9.304001,-0.81700003,0.21900001,2.253,1.25,0.127,8.053,8.912001,0,0.46400002,GP_1S,stoch
123,6.0980005,6.0990005,7.3180003,-1.22,0.124000005,2.969,2.0140002,0.632,5.8510003,6.34,0,0.15400001,Linear_oracle,dynamic
123,6.9240003,6.925,7.3180003,-0.39400002,0.09,1.386,0.89000005,0.526,6.7460003,7.0980005,0,0.34,GP_oracle,dynamic
123,8.287001,8.287001,9.196,-0.90900004,0.177,2.285,1.511,0.149,7.938,8.63,0,0.21000001,Linear_oracle,stoch
123,8.851001,8.851001,9.196,-0.34500003,0.155,2.028,1.057,0.09900001,8.549001,9.159,0,0.36400002,GP_oracle,stoch
123,5.2310004,5.23,7.3180003,-2.0870001,0.148,3.9040003,2.963,1.169,4.9410005,5.517,0,0.086,Linear_observed,dynamic
123,5.037,5.038,7.3180003,-2.2810001,0.19800001,3.4610002,2.9480002,3.8480003,4.6480002,5.4220004,0,0.1,GP_observed,dynamic
123,5.8750005,5.8760004,9.196,-3.321,0.24300002,4.0020003,3.394,0.34800002,5.401,6.346,0,0.036000002,Linear_observed,stoch
123,8.3810005,8.384001,9.196,-0.81500006,0.35700002,2.0310001,1.332,0.14500001,7.6800003,9.074,0,0.49,GP_observed,stoch
123,5.9800005,5.978,7.3180003,-1.338,0.156,3.1820002,2.315,1.4790001,5.6800003,6.295,0,0.28,Linear_3S,dynamic
