idx,mean,median,true,bias,std,RMSE,q025,q975,covering,method,estimand
8.0,1.7360001,1.7360001,1.715,0.021000002,0.041,0.046000004,1.6550001,1.817,1.0,Linear_oracle,dynamic
8.0,1.7190001,1.7190001,1.715,0.004,0.036000002,0.036000002,1.6480001,1.789,1.0,GP_oracle,dynamic
8.0,1.963,1.963,1.9410001,0.022000002,0.044000003,0.049000002,1.8770001,2.049,1.0,Linear_oracle,stoch
8.0,1.9020001,1.9020001,1.9410001,-0.039,0.040000003,0.055000003,1.8240001,1.9800001,1.0,GP_oracle,stoch
8.0,2.104,2.104,1.715,0.38900003,0.078,0.39600003,1.9520001,2.2580001,0.0,Linear_observed,dynamic
8.0,2.0970001,2.098,1.715,0.38200003,0.083000004,0.39100003,1.932,2.2580001,0.0,GP_observed,dynamic
8.0,1.8840001,1.8850001,1.9410001,-0.057000004,0.076000005,0.095000006,1.7360001,2.035,1.0,Linear_observed,stoch
8.0,1.8730001,1.8730001,1.9410001,-0.068,0.08400001,0.108,1.7090001,2.035,1.0,GP_observed,stoch
8.0,1.7600001,1.7590001,1.715,0.045,0.074,0.086,1.6220001,1.9050001,1.0,Linear_2S,dynamic
8.0,1.7670001,1.7670001,1.715,0.052,0.072000004,0.08800001,1.6250001,1.9070001,1.0,GP_2S,dynamic
8.0,1.807,1.807,1.9410001,-0.134,0.080000006,0.156,1.6530001,1.9640001,1.0,Linear_2S,stoch
8.0,1.7570001,1.7570001,1.9410001,-0.18400002,0.086,0.20300001,1.59,1.927,0.0,GP_2S,stoch
8.0,1.7600001,1.7590001,1.715,0.045,0.080000006,0.09200001,1.6100001,1.9190001,1.0,Linear_3S,dynamic
8.0,1.766,1.766,1.715,0.051000003,0.07700001,0.093,1.6150001,1.9190001,1.0,GP_3S,dynamic
8.0,1.8060001,1.8050001,1.9410001,-0.135,0.08400001,0.15900001,1.6470001,1.973,1.0,Linear_3S,stoch
8.0,1.756,1.7550001,1.9410001,-0.185,0.08800001,0.20500001,1.5860001,1.9330001,0.0,GP_3S,stoch
8.0,1.8160001,1.8160001,1.715,0.101,0.057000004,0.116000004,1.702,1.9290001,1.0,Linear_1S,dynamic
8.0,1.8030001,1.8030001,1.715,0.08800001,0.057000004,0.105000004,1.6880001,1.9150001,1.0,GP_1S,dynamic
8.0,2.056,2.056,1.9410001,0.115,0.067,0.133,1.9230001,2.1850002,1.0,Linear_1S,stoch
8.0,2.0670002,2.068,1.9410001,0.126,0.093,0.156,1.8820001,2.246,1.0,GP_1S,stoch
41.0,1.8790001,1.8790001,1.8780001,0.001,0.044000003,0.044000003,1.7930001,1.9650002,1.0,Linear_oracle,dynamic
41.0,1.8780001,1.8780001,1.8780001,0.0,0.039,0.039,1.802,1.955,1.0,GP_oracle,dynamic
41.0,1.7800001,1.7800001,1.728,0.052,0.044000003,0.068,1.695,1.866,1.0,Linear_oracle,stoch
41.0,1.7620001,1.7620001,1.728,0.034,0.039,0.053000003,1.6850001,1.84,1.0,GP_oracle,stoch
41.0,2.4940002,2.4940002,1.8780001,0.61600006,0.087000005,0.62200004,2.3270001,2.6660001,0.0,Linear_observed,dynamic
41.0,2.5080001,2.5080001,1.8780001,0.63000005,0.095000006,0.638,2.3200002,2.6950002,0.0,GP_observed,dynamic
41.0,1.8610001,1.8610001,1.728,0.133,0.07300001,0.15200001,1.7190001,2.0080001,1.0,Linear_observed,stoch
