idx,mean,median,true,bias,std,RMSE,q025,q975,covering,method,estimand
2.0,1.6780001,1.6780001,1.5740001,0.104,0.09200001,0.13900001,1.4950001,1.8560001,1.0,Linear_observed,dynamic
2.0,1.621,1.6200001,1.5740001,0.047000002,0.127,0.135,1.366,1.8770001,1.0,GP_observed,dynamic
2.0,1.3560001,1.3560001,1.5740001,-0.21800001,0.083000004,0.23300001,1.192,1.5180001,0.0,Linear_observed,stoch
2.0,1.3100001,1.309,1.5740001,-0.264,0.109000005,0.28500003,1.095,1.5270001,0.0,GP_observed,stoch
2.0,1.411,1.4100001,1.5740001,-0.163,0.07,0.177,1.2800001,1.554,0.0,Linear_2S,dynamic
2.0,1.393,1.391,1.5740001,-0.18100001,0.068,0.193,1.264,1.536,0.0,GP_2S,dynamic
2.0,1.23,1.228,1.465,-0.23500001,0.080000006,0.24800001,1.082,1.3970001,0.0,Linear_2S,stoch
2.0,1.1880001,1.1880001,1.465,-0.277,0.101,0.29500002,0.98600006,1.388,0.0,GP_2S,stoch
2.0,1.4070001,1.406,1.5740001,-0.16700001,0.07,0.18100001,1.2750001,1.5500001,0.0,Linear_3S,dynamic
2.0,1.389,1.386,1.5740001,-0.185,0.07300001,0.19900002,1.2540001,1.542,0.0,GP_3S,dynamic
2.0,1.223,1.22,1.465,-0.24200001,0.082,0.25500003,1.07,1.394,0.0,Linear_3S,stoch
2.0,1.182,1.1810001,1.465,-0.28300002,0.11100001,0.30400002,0.9620001,1.4080001,0.0,GP_3S,stoch
2.0,1.5690001,1.5690001,1.5740001,-0.0050000004,0.067,0.068,1.4360001,1.7010001,1.0,Linear_1S,dynamic
2.0,1.5600001,1.5600001,1.5740001,-0.014,0.076000005,0.07700001,1.4080001,1.71,1.0,GP_1S,dynamic
2.0,1.4770001,1.4790001,1.5740001,-0.097,0.085,0.12900001,1.3080001,1.646,1.0,Linear_1S,stoch
2.0,1.4510001,1.45,1.5740001,-0.123,0.14,0.187,1.182,1.7390001,1.0,GP_1S,stoch
