idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist,iteration
13_0_1,MWG_rep,dynamic,2.5,3.75838,3.55811,3.85246,-0.09408,0.14882,0.17605999,0.0457,0.58011,0.1945,3.4935539,4.060049,1.0,0.996,1.7775714,13_0
13_0_1,MWG_rep,stoch,2.5,4.77024,4.58435,4.93574,-0.1655,0.15645,0.22773999,0.04614,0.37618,0.07691,4.5130143,5.0874476,1.0,0.80399996,1.7775714,13_0
13_0_2,true_net,dynamic,3.0,3.87158,3.3218699,3.85246,0.01912,0.01108,0.0221,0.00574,0.01912,0.00555,3.8497934,3.8934274,1.0,1.0,0.38768286,13_0
13_0_2,true_net,stoch,3.0,4.96053,4.7907,4.93574,0.024799999,0.01428,0.028609999,0.0058,0.024799999,0.0049799997,4.9323254,4.9886475,1.0,1.0,0.38768286,13_0
13_0_2,obs_net,dynamic,3.0,1.8807199,1.18214,3.85246,-1.97174,0.40961,2.01384,0.52274,1.97198,0.5365,1.0568072,2.687679,0.0,0.084,5.920685,13_0
13_0_2,obs_net,stoch,3.0,2.26317,2.25751,4.93574,-2.67257,0.47708,2.71481,0.55003,2.67257,0.52839,1.3046877,3.2012568,0.0,0.0039999997,5.920685,13_0
13_0_2,MWG,dynamic,3.0,3.88624,3.54739,3.85246,0.03379,0.14671,0.15055,0.039079998,0.55968,0.19653,3.5964098,4.1412725,1.0,0.992,1.5275142,13_0
13_0_2,MWG,stoch,3.0,4.895,4.71248,4.93574,-0.04073,0.15172,0.15709,0.031829998,0.29729998,0.06188,4.60812,5.1798105,1.0,0.946,1.5275142,13_0
13_0_2,MWG_rep,dynamic,3.0,3.5942998,3.4242299,3.85246,-0.25816,0.14102,0.29415998,0.076359995,0.61833,0.19832,3.3236809,3.8781674,1.0,0.996,1.9491929,13_0
13_0_2,MWG_rep,stoch,3.0,4.49156,4.33377,4.93574,-0.44417998,0.13858,0.46528998,0.09427,0.52889,0.10331,4.2242827,4.767416,0.0,0.65599996,1.9491929,13_0
13_0_3,true_net,dynamic,3.5,3.87179,3.3221898,3.85246,0.01934,0.0109399995,0.022219999,0.0057699997,0.01934,0.0056,3.8502162,3.8933415,1.0,1.0,0.38585332,13_0
13_0_3,true_net,stoch,3.5,4.9608097,4.7908998,4.93574,0.025069999,0.01411,0.02877,0.0058299997,0.025069999,0.0050299997,4.9330635,4.9886127,1.0,1.0,0.38585332,13_0
13_0_3,obs_net,dynamic,3.5,2.03032,1.41315,3.85246,-1.82214,0.51383,1.8931999,0.49142998,1.8247199,0.48849,1.0189351,3.0367424,0.0,0.198,5.7952485,13_0
13_0_3,obs_net,stoch,3.5,2.4479299,2.4428399,4.93574,-2.4878,0.60357,2.55998,0.51866,2.48781,0.48968998,1.260061,3.6289062,0.0,0.018,5.7952485,13_0
13_0_3,MWG,dynamic,3.5,3.6217499,3.2723398,3.85246,-0.23071,0.12055,0.26031,0.06757,0.56828,0.18168999,3.3926563,3.8601813,1.0,0.978,1.8373586,13_0
13_0_3,MWG,stoch,3.5,4.63839,4.43884,4.93574,-0.29734,0.13586,0.32691,0.06623,0.38487,0.077139996,4.3850646,4.884942,0.0,0.83,1.8373586,13_0
13_0_3,MWG_rep,dynamic,3.5,3.5869,3.38548,3.85246,-0.26556,0.12965,0.29551998,0.07671,0.63118,0.20291999,3.3218462,3.8336165,0.0,0.99399996,1.8802285,13_0
13_0_3,MWG_rep,stoch,3.5,4.56112,4.39151,4.93574,-0.37460998,0.13276,0.39744,0.08052,0.46548,0.092,4.280326,4.7930937,0.0,0.706,1.8802285,13_0
13_0_4,true_net,dynamic,4.0,3.87161,3.32192,3.85246,0.019159999,0.0109,0.02204,0.00572,0.019159999,0.00555,3.8503914,3.8927283,1.0,1.0,0.38665673,13_0
13_0_4,true_net,stoch,4.0,4.96057,4.79072,4.93574,0.02484,0.014049999,0.028539998,0.00578,0.02484,0.00499,4.9332275,4.987663,1.0,1.0,0.38665673,13_0
13_0_4,obs_net,dynamic,4.0,0.71307,0.073809996,3.85246,-3.13938,0.61244,3.19856,0.83027,3.13938,0.92907995,-0.5021904,1.9166553,0.0,0.006,7.673256,13_0
13_0_4,obs_net,stoch,4.0,0.89646995,0.89902997,4.93574,-4.03926,0.72871,4.10447,0.83158,4.03926,0.81333,-0.549452,2.328183,0.0,0.0,7.673256,13_0
13_0_4,MWG,dynamic,4.0,3.63572,3.35408,3.85246,-0.21674,0.11132,0.24365999,0.06325,0.58768,0.18721999,3.4101663,3.8518097,0.0,0.992,1.7862712,13_0
13_0_4,MWG,stoch,4.0,4.5845,4.41391,4.93574,-0.35123998,0.11621,0.36995998,0.07496,0.427,0.084479995,4.351694,4.783822,0.0,0.802,1.7862712,13_0
13_0_4,MWG_rep,dynamic,4.0,3.50575,3.34393,3.85246,-0.34671,0.116799995,0.36586,0.094969995,0.64378,0.19682999,3.285977,3.7388685,0.0,0.996,1.9412314,13_0
13_0_4,MWG_rep,stoch,4.0,4.46087,4.2933598,4.93574,-0.47487,0.10808,0.48701,0.09867,0.54669,0.10774,4.2509513,4.6794195,0.0,0.608,1.9412314,13_0
13_1_0,true_net,dynamic,2.0,4.29243,3.86722,4.27758,0.01485,0.01291,0.019679999,0.0046,0.01485,0.00361,4.267344,4.3177853,1.0,1.0,0.27399576,13_1
13_1_0,true_net,stoch,2.0,5.28793,5.04774,5.26956,0.018369999,0.01598,0.024349999,0.00462,0.018369999,0.0034699999,5.2568383,5.3192563,1.0,1.0,0.27399576,13_1
13_1_0,obs_net,dynamic,2.0,1.79948,0.95462,4.27758,-2.4780998,0.28165,2.49406,0.58305,2.4780998,0.61717,1.2383997,2.347526,0.0,0.0039999997,6.023247,13_1
13_1_0,obs_net,stoch,2.0,2.09529,2.07968,5.26956,-3.17427,0.31551,3.18992,0.60534996,3.17427,0.59082997,1.4679991,2.7093017,0.0,0.0,6.023247,13_1
13_1_0,MWG,dynamic,2.0,3.2767498,2.9206998,4.27758,-1.0008299,0.11237,1.00712,0.23544,1.0342699,0.25272,3.0721827,3.5085604,0.0,0.76,2.9450011,13_1
13_1_0,MWG,stoch,2.0,4.05401,3.86726,5.26956,-1.21555,0.11019,1.2205299,0.23162,1.21653,0.22965999,3.8264713,4.268304,0.0,0.17999999,2.9450011,13_1
13_1_0,MWG_rep,dynamic,2.0,3.57545,3.37271,4.27758,-0.70214,0.11537,0.71155,0.16634,0.84516,0.21472,3.3531199,3.7990885,0.0,0.974,2.353046,13_1
13_1_0,MWG_rep,stoch,2.0,4.45229,4.2670097,5.26956,-0.81727,0.11108,0.82478,0.15652,0.83243,0.15312,4.2506423,4.67705,0.0,0.35599998,2.353046,13_1
13_1_1,true_net,dynamic,2.5,4.2922697,3.8669899,4.27758,0.01468,0.0128999995,0.019539999,0.00457,0.01468,0.00357,4.267259,4.3179083,1.0,1.0,0.27496204,13_1
13_1_1,true_net,stoch,2.5,5.2877197,5.0475597,5.26956,0.01816,0.01596,0.024179999,0.00459,0.01816,0.0034299998,5.2567368,5.3195033,1.0,1.0,0.27496204,13_1
