idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
30,true_net,dynamic,0.8,4.3269,3.8511,4.2985597,0.028339999,0.02158,0.03562,0.008289999,0.030299999,0.0070499997,4.283998,4.368346,True,1.0
30,true_net,stoch,0.8,4.71437,4.50922,4.68366,0.030709999,0.02348,0.038659997,0.00825,0.03286,0.00702,4.6677103,4.759388,True,1.0
30,obs_net,dynamic,0.8,2.21208,1.3022599,4.2985597,-2.08648,0.18053,2.09428,0.4872,2.08648,0.48538998,1.8552737,2.5567224,False,0.018
30,obs_net,stoch,0.8,2.35797,2.3373199,4.68366,-2.32568,0.18744999,2.33323,0.49815997,2.32568,0.49655,1.9849043,2.7168,False,0.0039999997
30,MWG,dynamic,0.8,-1.4477899,-1.56518,4.2985597,-5.74635,0.70732,5.78972,1.3469,5.74635,1.33681,-1.9880795,0.08500245,False,0.0
30,MWG,stochastic,0.8,-1.55054,-1.8789599,4.68366,-6.2342,0.75378996,6.2795997,1.34075,6.2342,1.3310499,-2.2030792,0.06538093,False,0.0
idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
30,true_net,dynamic,0.4,8.57705,8.16972,8.604569,-0.02753,0.01866,0.03326,0.0038599998,0.0287,0.0033399998,8.540072,8.614073,True,1.0
30,true_net,stoch,0.4,9.36987,9.02516,9.39991,-0.03004,0.02038,0.03631,0.0038599998,0.03133,0.00333,9.329457,9.410287,True,1.0
30,obs_net,dynamic,0.4,8.94013,8.6711,8.604569,0.33556,0.47432,0.58101,0.06752,0.46686,0.054259997,8.02027,9.872722,True,0.424
30,obs_net,stoch,0.4,9.47857,9.308869,9.39991,0.07865,0.501,0.50714,0.053949997,0.40658998,0.04326,8.503816,10.465938,True,0.59999996
30,MWG,dynamic,0.4,6.09164,5.6128197,8.604569,-2.51293,0.03163,2.51313,0.29207,2.51293,0.29205,6.050616,6.1572227,False,0.015999999
30,MWG,stochastic,0.4,6.60627,6.23406,9.39991,-2.79364,0.22976999,2.8030698,0.29819998,2.79364,0.2972,6.1160607,6.8969045,False,0.027999999
