,idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand,model,type,abs_bias,ci_length
21,56.0,0.136,0.156,0.69200003,-0.55600005,0.657,0.814,1.1060001,0.55600005,0.81900007,0.947,4900.1313,1.177,1.598,-0.58000004,0.814,1.0,0.69200003,BYM_observed,dynamic,BYM,Obs.,0.55600005,1.3940000399999999
22,56.0,1.299,1.296,2.6200001,-1.3210001,0.24300002,1.511,1.5330001,1.322,1.3290001,0.504,0.47500002,0.577,0.58500004,0.84200007,1.7820001,0.0,0.112,Linear_observed,stoch,Linear,Obs.,1.3210001,0.9400000300000001
23,56.0,0.526,0.59000003,2.6200001,-2.094,2.3390002,2.23,3.3850002,2.094,2.667,0.89000005,1.0480001,0.851,1.292,-2.032,2.956,1.0,0.656,BYM_observed,stoch,BYM,Obs.,2.094,4.9879999999999995
24,56.0,0.384,0.381,0.69200003,-0.30800003,0.065000005,0.46500003,0.48700002,0.33600003,0.351,0.44500002,1016.9421,0.671,0.70400006,0.26700002,0.521,0.0,0.55,Linear_3S,dynamic,Linear,3S,0.30800003,0.25399998
25,56.0,1.5120001,1.4990001,2.6200001,-1.108,0.25800002,1.2550001,1.2980001,1.1090001,1.121,0.423,0.40300003,0.47900003,0.49500003,1.0400001,2.0500002,0.0,0.21000001,Linear_3S,stoch,Linear,3S,1.108,1.0100000999999998
26,56.0,0.541,0.544,0.69200003,-0.15100001,0.282,0.39600003,0.777,0.29500002,0.43400002,0.356,1132.104,0.572,1.123,0.002,1.113,1.0,0.83000004,BYM_3S,dynamic,BYM,3S,0.15100001,1.111
27,56.0,2.117,2.127,2.6200001,-0.503,1.105,0.771,1.381,0.58900005,1.041,0.354,0.39900002,0.294,0.527,0.003,4.354,1.0,1.0,BYM_3S,stoch,BYM,3S,0.503,4.351
28,56.0,0.532,0.53000003,0.69200003,-0.16000001,0.086,0.36600003,0.38900003,0.266,0.275,0.23600002,2061.3591,0.52900004,0.56200004,0.37300003,0.71000004,1.0,0.41000003,Linear_1S,dynamic,Linear,1S,0.16000001,0.33700001000000007
29,56.0,0.75100005,0.70100003,0.69200003,0.059000004,0.23900001,0.39000002,0.67200005,0.275,0.33100003,0.25100002,2407.094,0.563,0.9710001,0.43300003,1.3560001,1.0,0.646,BYM_1S,dynamic,BYM,1S,0.059000004,0.92300007
30,56.0,2.1130002,2.1030002,2.6200001,-0.507,0.34800002,0.68700004,0.781,0.558,0.61700004,0.20400001,0.22200002,0.26200002,0.298,1.468,2.834,1.0,0.68600005,Linear_1S,stoch,Linear,1S,0.507,1.366
31,56.0,2.966,2.7740002,2.6200001,0.34600002,0.93900007,0.56200004,1.1110001,0.46,0.80100006,0.266,0.328,0.215,0.42400002,1.705,5.346,1.0,0.97,BYM_1S,stoch,BYM,1S,0.34600002,3.641
32,111.0,0.56700003,0.565,0.69200003,-0.125,0.071,0.201,0.24100001,0.125,0.133,0.185,0.187,0.291,0.34800002,0.432,0.71300006,1.0,1.0,Linear_oracle,dynamic,Linear,Oracle,0.125,0.28100006000000005
33,111.0,0.73800004,0.70600003,0.69200003,0.046000004,0.18200001,0.21800001,0.453,0.093,0.16800001,0.19500001,0.194,0.316,0.65400004,0.48000002,1.1930001,1.0,1.0,BYM_oracle,dynamic,BYM,Oracle,0.046000004,0.7130000799999998
34,111.0,2.148,2.14,2.6200001,-0.47200003,0.26900002,0.49600002,0.57600003,0.47300002,0.485,0.18400002,0.18300001,0.18900001,0.22000001,1.636,2.696,1.0,1.0,Linear_oracle,stoch,Linear,Oracle,0.47200003,1.0600000000000003
35,111.0,2.801,2.677,2.6200001,0.18100001,0.69100004,0.18900001,0.74200004,0.18200001,0.522,0.19600001,0.20300001,0.072000004,0.28300002,1.8190001,4.532,1.0,1.0,BYM_oracle,stoch,BYM,Oracle,0.18100001,2.7129999
36,111.0,0.294,0.294,0.69200003,-0.39800003,0.074,0.53400004,0.549,0.40600002,0.411,0.57500005,512.12604,0.771,0.79300004,0.15100001,0.44200003,0.0,0.282,Linear_observed,dynamic,Linear,Obs.,0.39800003,0.29100002
37,111.0,-0.289,-0.246,0.69200003,-0.98100007,0.56700003,1.7300001,1.8520001,0.98100007,1.08,1.4180001,3995.2183,2.5,2.6750002,-1.0550001,0.39200002,0.0,0.53000003,BYM_observed,dynamic,BYM,Obs.,0.98100007,1.44700012
38,111.0,1.1140001,1.1140001,2.6200001,-1.506,0.26200002,1.6810001,1.7040001,1.506,1.508,0.57500005,0.545,0.642,0.65000004,0.605,1.6350001,0.0,0.064,Linear_observed,stoch,Linear,Obs.,1.506,1.0300001
39,111.0,-1.059,-0.92200005,2.6200001,-3.6790001,1.973,3.7760003,4.334,3.6790001,3.6850002,1.404,1.434,1.4410001,1.654,-3.7200003,1.3280001,0.0,0.054,BYM_observed,stoch,BYM,Obs.,3.6790001,5.0480004
40,111.0,0.38000003,0.379,0.69200003,-0.312,0.079,0.45400003,0.48200002,0.335,0.35000002,0.45200002,899.6871,0.656,0.69600004,0.22500001,0.537,0.0,0.558,Linear_3S,dynamic,Linear,3S,0.312,0.31199999
41,111.0,1.4430001,1.4440001,2.6200001,-1.177,0.29500002,1.322,1.3670001,1.177,1.1860001,0.44900003,0.42800003,0.505,0.522,0.86600006,2.02,0.0,0.17400001,Linear_3S,stoch,Linear,3S,1.177,1.15399994
42,111.0,0.492,0.46300003,0.69200003,-0.2,0.21300001,0.38700002,0.63900006,0.291,0.38300002,0.356,960.78503,0.56,0.92300004,0.23,1.003,1.0,0.702,BYM_3S,dynamic,BYM,3S,0.2,0.7729999999999999
43,111.0,1.8770001,1.7670001,2.6200001,-0.74300003,0.80500007,0.9620001,1.2780001,0.77400005,0.994,0.35200003,0.36400002,0.367,0.48800004,0.89000005,3.821,1.0,0.984,BYM_3S,stoch,BYM,3S,0.74300003,2.9309999500000004
44,111.0,0.49,0.48800004,0.69200003,-0.202,0.089,0.36900002,0.39400002,0.268,0.277,0.293,1656.8251,0.532,0.569,0.32200003,0.671,0.0,0.46400002,Linear_1S,dynamic,Linear,1S,0.202,0.34899997000000005
45,111.0,0.66300005,0.61700004,0.69200003,-0.029000001,0.22200002,0.42200002,0.708,0.293,0.347,0.24700001,1674.029,0.61,1.024,0.367,1.2360001,1.0,0.62,BYM_1S,dynamic,BYM,1S,0.029000001,0.8690001
46,111.0,1.8540001,1.8470001,2.6200001,-0.76600003,0.33200002,0.90900004,0.9760001,0.77800006,0.80300003,0.294,0.28800002,0.347,0.372,1.2240001,2.528,0.0,0.41000003,Linear_1S,stoch,Linear,1S,0.76600003,1.3039999
47,111.0,2.5210001,2.342,2.6200001,-0.09900001,0.845,0.5,0.998,0.38000003,0.748,0.24700001,0.29200003,0.19100001,0.381,1.3980001,4.7060003,1.0,1.0,BYM_1S,stoch,BYM,1S,0.09900001,3.3080002000000004
48,166.0,0.56,0.559,0.69200003,-0.132,0.072000004,0.437,0.45400003,0.15,0.186,0.194,0.147,0.63100004,0.65500003,0.42200002,0.70400006,1.0,0.896,Linear_oracle,dynamic,Linear,Oracle,0.132,0.28200004000000006
49,166.0,0.669,0.63900006,0.69200003,-0.023000002,0.155,0.21800001,0.365,0.11100001,0.16700001,0.172,0.19800001,0.31500003,0.528,0.453,1.0600001,1.0,1.0,BYM_oracle,dynamic,BYM,Oracle,0.023000002,0.6070000999999998
50,166.0,2.111,2.1060002,2.6200001,-0.509,0.27,0.51100004,0.591,0.51000005,0.53000003,0.19700001,0.21700001,0.19500001,0.22500001,1.5920001,2.6520002,1.0,0.508,Linear_oracle,stoch,Linear,Oracle,0.509,1.0600001
51,166.0,2.5240002,2.411,2.6200001,-0.096,0.586,0.13900001,0.634,0.12100001,0.47000003,0.17300001,0.18300001,0.053000003,0.24200001,1.713,4.0,1.0,1.0,BYM_oracle,stoch,BYM,Oracle,0.096,2.287
52,166.0,0.28100002,0.28,0.69200003,-0.411,0.064,0.66,0.669,0.43800002,0.44200003,0.59400004,898.27106,0.95400006,0.966,0.156,0.40800002,0.0,0.21800001,Linear_observed,dynamic,Linear,Obs.,0.411,0.25200002
53,166.0,0.40300003,0.34600002,0.69200003,-0.289,0.22200002,0.42600003,0.63900006,0.317,0.41400003,0.483,1040.128,0.615,0.92300004,0.147,1.014,1.0,0.62600005,BYM_observed,dynamic,BYM,Obs.,0.289,0.867
54,166.0,1.031,1.029,2.6200001,-1.5890001,0.22500001,1.7490001,1.7650001,1.59,1.5910001,0.60700005,0.582,0.66700006,0.674,0.592,1.475,0.0,0.040000003,Linear_observed,stoch,Linear,Obs.,1.5890001,0.8830000000000001
55,166.0,1.4990001,1.2830001,2.6200001,-1.121,0.809,1.338,1.5760001,1.1290001,1.3290001,0.48700002,0.48700002,0.51000005,0.60200006,0.58500004,3.729,1.0,0.92,BYM_observed,stoch,BYM,Obs.,1.121,3.14399996
