idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE_rel,MAPE,covering,mean_ind_cover,w_dist
86_0_2,MWG_no_z,gate,3.0,11.75857,11.498389,11.95934,-0.20076999,0.56334,0.0425085,0.0732759958,True,0.964,0.6254063
86_0_2,MWG_rep,dynamic,3.0,3.15546,3.04197,3.69822,-0.54276997,0.18549,0.09305999999999999,0.11107,True,1.0,0.97390085
86_0_2,MWG_rep,gate,3.0,10.21079,9.97098,11.95934,-1.7485499,0.57144,0.092292,0.07544,True,0.884,0.97390085
86_0_2,MWG_misspec,dynamic,3.0,3.89776,3.79716,3.69822,0.19952999,0.20515999,0.0711988,0.230381982,True,1.0,999.0
86_0_2,MWG_misspec,gate,3.0,12.4409,12.19199,11.95934,0.48156,0.61983,0.0603796,0.102546,True,0.978,999.0
86_0_2,two_stage_refined,dynamic,3.0,4.43105,3.8360498,3.69822,0.73282,0.23687999,0.20825,0.35391998,False,0.252,1.4689801
86_0_2,two_stage_refined,gate,3.0,13.883889,13.615809,11.95934,1.9245499,0.74634,0.1726,0.19533,False,0.34,1.4689801
86_0_2,two_stage_no_refine,dynamic,3.0,1.77914,0.96121997,3.69822,-1.9190799,0.19814,0.52168,0.5628,False,0.024,3.3091533
86_0_2,two_stage_no_refine,gate,3.0,5.6619496,5.57127,11.95934,-6.2974,0.65813,0.52943,0.51717997,False,0.0,3.3091533
86_0_2,two_stage_rep_refined,dynamic,3.0,3.1093,2.47666,3.69822,-0.58892,0.16070999,0.16507,0.23955,True,0.248,1.0380838
86_0_2,two_stage_rep_refined,gate,3.0,10.04595,9.69188,11.95934,-1.9133999,0.53006,0.16601999,0.163,True,0.254,1.0380838
86_0_2,cont_relax,dynamic,3.0,5.0833297,4.99511,3.69822,1.38511,0.15679,0.37693,0.56729996,False,1.0,999.0
86_0_2,cont_relax,gate,3.0,15.602639,15.59099,11.95934,3.6432998,0.24479999,0.30532998,0.34903,False,0.44799998,999.0
86_0_3,true_net,dynamic,3.5,3.8690898,3.32173,3.69822,0.17086999,0.12422,0.05712,0.05192,True,1.0,0.3593763
86_0_3,true_net,gate,3.5,12.522389,12.08426,11.95934,0.56305,0.40796998,0.05814,0.04663,True,1.0,0.3593763
86_0_3,obs_net,dynamic,3.5,-0.35152,-0.91075,3.69822,-4.04975,0.75223,1.11378,1.2866399,False,0.0,5.9391418
86_0_3,obs_net,gate,3.5,-0.77338,-0.7467,11.95934,-12.732719,2.1392798,1.07959,1.0666,False,0.0,5.9391418
86_0_3,MWG,dynamic,3.5,3.1278899,2.97905,3.69822,-0.57034,0.15962,0.096084,0.12892,True,0.99799997,1.6499032
86_0_3,MWG,gate,3.5,9.93454,9.71221,11.95934,-2.0248,0.46330997,0.104208,0.08624,True,0.78599995,1.6499032
86_0_3,MWG_no_z,dynamic,3.5,3.02072,2.90536,3.69822,-0.67750996,0.18243,0.1612619915,0.167426,True,0.99799997,1.172515
86_0_3,MWG_no_z,gate,3.5,9.711309,9.49834,11.95934,-2.24803,0.56872,0.1648064915,0.130074,True,0.812,1.172515
86_0_3,MWG_rep,dynamic,3.5,3.0485198,2.9424899,3.69822,-0.6497,0.2015,0.110358,0.123349995,True,0.996,1.1859553
86_0_3,MWG_rep,gate,3.5,9.76629,9.568359,11.95934,-2.19305,0.60622,0.11415,0.09055,True,0.82199997,1.1859553
86_0_3,MWG_misspec,dynamic,3.5,3.35334,3.24871,3.69822,-0.34489,0.20988,0.10043640000000001,0.20592900000000003,True,1.0,999.0
86_0_3,MWG_misspec,gate,3.5,10.57654,10.344669,11.95934,-1.3828,0.63328,0.11699640000000001,0.11719800000000001,True,0.946,999.0
86_0_3,two_stage_refined,dynamic,3.5,3.11231,2.48944,3.69822,-0.58592,0.12900999,0.16223,0.27541,True,0.19999999,1.7077222
86_0_3,two_stage_refined,gate,3.5,9.98044,9.648749,11.95934,-1.97891,0.42053998,0.16916,0.17381999,False,0.22999999,1.7077222
86_0_3,two_stage_no_refine,dynamic,3.5,1.5991299,0.74704,3.69822,-2.0990999,0.16527,0.56935,0.62389,False,0.0039999997,3.3578646
86_0_3,two_stage_no_refine,gate,3.5,5.0784397,4.9739,11.95934,-6.8809,0.55246,0.57721,0.56767,False,0.0,3.3578646
86_0_3,two_stage_rep_refined,dynamic,3.5,3.0962398,2.55136,3.69822,-0.60199,0.15603,0.16815999,0.25028,True,0.248,1.1294638
86_0_3,two_stage_rep_refined,gate,3.5,9.9234495,9.624889,11.95934,-2.0358899,0.50857997,0.17547,0.17197,False,0.20799999,1.1294638
86_0_3,cont_relax,dynamic,3.5,3.08125,2.9800699,3.69822,-0.61697,0.15661,0.17211999,0.22007999,False,0.98399997,999.0
