idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
20,true_net,dynamic,0.6,4.3270297,3.8509698,4.2985597,0.028469998,0.02049,0.03508,0.00816,0.030049998,0.0069899997,4.286712,4.367715,True,1.0
20,true_net,stoch,0.6,4.71451,4.5096197,4.68366,0.03086,0.022289999,0.03807,0.00813,0.032589998,0.00696,4.670615,4.7586837,True,1.0
20,obs_net,dynamic,0.6,2.7576199,1.8699399,4.2985597,-1.5409399,0.20583,1.5546299,0.36166,1.5409399,0.35847998,2.3575673,3.1559553,False,0.084
20,obs_net,stoch,0.6,2.91938,2.87703,4.68366,-1.76427,0.21324,1.77711,0.37943,1.76427,0.37669,2.5034704,3.3321533,False,0.018
20,MWG,dynamic,0.6,4.3905497,3.6526198,4.2985597,0.091989994,0.13837999,0.16616,0.038659997,0.13939999,0.03243,4.1600575,4.531083,True,0.19
20,MWG,stochastic,0.6,4.7037697,4.53932,4.68366,0.02011,0.17127,0.17244999,0.03682,0.14441,0.03083,4.4026313,4.956775,True,0.598
idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover
20,true_net,dynamic,0.3,8.57762,8.17011,8.604569,-0.02695,0.01926,0.033129998,0.00385,0.028409999,0.0033,8.540115,8.6155615,True,1.0
20,true_net,stoch,0.3,9.37049,9.02565,9.39991,-0.02942,0.02103,0.03616,0.00385,0.03101,0.0033,9.329504,9.411981,True,1.0
20,obs_net,dynamic,0.3,10.11903,9.83966,8.604569,1.51446,0.48641,1.59065,0.18485999,1.5144999,0.17601,9.150211,11.095172,False,0.26999998
20,obs_net,stoch,0.3,10.82655,10.6406,9.39991,1.4266399,0.51917,1.51817,0.16150999,1.4275299,0.15187,9.789956,11.868413,False,0.27199998
20,MWG,dynamic,0.3,6.63418,6.0594096,8.604569,-1.97039,0.02148,1.97051,0.22901,1.97039,0.22898999,6.604189,6.674457,False,0.031999998
20,MWG,stochastic,0.3,7.1339498,6.75971,9.39991,-2.26596,0.25908,2.28073,0.24262999,2.26596,0.24105999,6.679646,7.4694567,False,0.07
