N,min_ess_sec,min_ess_eta,min_ess_sec_eta,ttl_time,iteration
100,0.5665647983551025,30.494169235229492,4.337013244628906,7.031587839126587,1
250,0.48323866724967957,222.26766967773438,6.335583209991455,35.08286380767822,1
500,0.11770191043615341,52.310001373291016,0.485529363155365,107.73936295509338,1
750,0.3015911281108856,3732.50732421875,13.726224899291992,271.9261598587036,1
1000,0.12766596674919128,2296.15283203125,4.351256370544434,527.700441122055,1
100,0.6605430245399475,440.6456298828125,60.94972610473633,7.230374097824097,2
250,0.25270920991897583,44.36503601074219,1.3887094259262085,31.94739317893982,2
500,0.11074386537075043,868.7981567382812,7.975893020629883,108.92849206924438,2
750,0.17813122272491455,414.9793701171875,1.6376264095306396,253.40813374519348,2
1000,0.08691377192735672,822.2490844726562,1.7198504209518433,478.0961539745331,2
100,0.8484255075454712,59.403228759765625,8.45553970336914,7.026063919067383,3
250,0.2919498383998871,434.2488098144531,12.976539611816406,33.464696168899536,3
500,0.1850741058588028,107.16615295410156,1.0179857015609741,105.2732310295105,3
750,0.09264976531267166,766.234619140625,3.2999465465545654,232.19724011421204,3
1000,0.27230098843574524,6145.080078125,12.35511302947998,497.37350034713745,3
100,1.0261023044586182,1281.1571044921875,172.5782470703125,7.424335718154907,4
250,0.3279760479927063,153.15870666503906,3.351911783218384,45.6945059299469,4
500,0.10689222812652588,1783.2373046875,16.920331954956055,105.39106273651123,4
750,0.08949550986289978,97.9573974609375,0.35071203112602234,279.31182980537415,4
1000,0.31680718064308167,2598.140625,4.940118789672852,525.929928779602,4
100,0.9043009877204895,488.8038024902344,63.821781158447266,7.659826278686523,5
250,0.29519161581993103,37.109806060791016,0.9061312079429626,40.95459794998169,5
500,0.12007041275501251,166.53370666503906,1.106492519378662,150.50651502609253,5
750,0.10319525003433228,3324.521728515625,11.354727745056152,292.78924798965454,5
1000,0.6526183485984802,2947.9228515625,5.156257152557373,571.7209510803223,5
100,1.212903380393982,303.27386474609375,42.435577392578125,7.147240877151489,6
250,0.2336241453886032,2751.216064453125,92.80940246582031,29.6441969871521,6
500,0.3553909659385681,289.5473937988281,2.539850950241089,114.00271511077881,6
750,0.20593976974487305,751.3355102539062,2.4338691234588623,308.70139503479004,6
1000,0.05649241805076599,2518.2138671875,5.308568954467773,474.36960911750793,6
100,1.0601682662963867,33.16913604736328,3.934481143951416,8.431133031845093,7
250,0.1898116022348404,27.754108428955078,0.793998122215271,34.955358266830444,7
500,0.20661701261997223,1707.201416015625,14.703604698181152,116.10817384719849,7
750,0.05126837641000748,1011.8857421875,3.7821998596191406,267.54119896888733,7
1000,0.053696393966674805,482.12109375,0.9228032231330872,522.4546852111816,7
100,0.5531006455421448,30.494169235229492,4.233945846557617,7.20278000831604,8
250,0.4869852662086487,222.26766967773438,6.384703636169434,34.81297206878662,8
500,0.11592898517847061,52.310001373291016,0.47821590304374695,109.38631391525269,8
750,0.3074200451374054,3732.50732421875,13.991515159606934,266.77021384239197,8
1000,0.12660248577594757,2296.15283203125,4.315009593963623,532.13365483284,8
100,0.696923017501831,440.6456298828125,64.30658721923828,6.852935075759888,9
250,0.253045916557312,44.36503601074219,1.3905599117279053,31.904898643493652,9
500,0.11069682240486145,868.7981567382812,7.97250509262085,108.97494506835938,9
750,0.18053308129310608,414.9793701171875,1.6597075462341309,250.03243279457092,9
1000,0.09148949384689331,822.2490844726562,1.8103947639465332,454.185005903244,9
100,0.8463568091392517,59.403228759765625,8.434922218322754,7.043209075927734,10
250,0.30347323417663574,434.2488098144531,13.488729476928711,32.19394016265869,10
500,0.19343958795070648,107.16615295410156,1.0639994144439697,100.72061204910278,10
750,0.09393879771232605,766.234619140625,3.345858573913574,229.01085805892944,10
1000,0.28597021102905273,6145.080078125,12.975325584411621,473.6007101535797,10
