idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,MAPE_all,rel_RMSE,rel_RMSE_all,q025,q975,covering,mean_ind_cover,method,estimand
1.0,0.55700004,0.555,0.646,-0.089,0.066,0.119,0.171,0.089,0.10300001,0.148,0.18200001,0.030000001,0.052,0.43100002,0.69000006,1.0,1.0,Linear_oracle,dynamic
1.0,1.072,1.0040001,0.646,0.42600003,0.36400002,1.014,1.273,0.42600003,0.45400003,0.675,0.43500003,0.75200003,0.41500002,0.564,1.9480001,1.0,1.0,BYM_oracle,dynamic
1.0,2.272,2.265,2.6460001,-0.374,0.273,0.404,0.50100005,0.374,0.4,0.15,0.147,0.031000001,0.030000001,1.746,2.8270001,1.0,1.0,Linear_oracle,stoch
1.0,4.352,4.076,2.6460001,1.7060001,1.4760001,1.7260001,2.299,1.705,1.756,0.66200006,0.684,0.72700006,0.777,2.295,7.9020004,1.0,1.0,BYM_oracle,stoch
1.0,0.35200003,0.351,0.646,-0.294,0.080000006,0.39900002,0.42000002,0.312,0.321,0.455,808.051,0.22200002,11833867.0,0.19900002,0.512,0.0,0.38000003,Linear_observed,dynamic
1.0,0.71800005,0.61800003,0.646,0.072000004,0.38500002,0.93100005,1.3110001,0.513,0.57500005,0.44200003,1554.733,0.367,57182704.0,0.246,1.6940001,1.0,0.776,BYM_observed,dynamic
1.0,1.322,1.317,2.6460001,-1.3240001,0.273,1.5100001,1.5380001,1.325,1.3310001,0.5,0.47200003,0.261,0.25100002,0.80500007,1.8670001,0.0,0.11400001,Linear_observed,stoch
1.0,2.729,2.3600001,2.6460001,0.083000004,1.414,0.726,1.618,0.54,1.2090001,0.407,0.47500002,0.286,0.44500002,1.008,6.2510004,1.0,1.0,BYM_observed,stoch
1.0,0.48000002,0.47800002,0.646,-0.16600001,0.083000004,0.30200002,0.349,0.23,0.26200002,0.26000002,1768.4021,0.082,48487644.0,0.326,0.64900005,1.0,0.8,Linear_3S,dynamic
1.0,1.8540001,1.8470001,2.6460001,-0.79200006,0.30800003,0.95500004,1.0350001,0.80100006,0.84700006,0.3,0.3,0.10300001,0.11400001,1.271,2.469,0.0,0.55600005,Linear_3S,stoch
1.0,0.799,0.716,0.646,0.15300001,0.508,0.43500003,1.3700001,0.289,0.57100004,0.59300005,3261.62,0.674,181047630.0,0.156,2.1090002,1.0,0.98200005,BYM_3S,dynamic
1.0,3.078,2.7670002,2.6460001,0.432,1.9610001,0.60700005,2.118,0.507,1.542,0.554,0.61800003,0.57600003,0.76500005,0.66700006,8.135,1.0,1.0,BYM_3S,stoch
1.0,0.47900003,0.47700003,0.646,-0.16700001,0.07700001,0.293,0.33900002,0.22500001,0.254,0.26000002,1576.9801,0.081,40204396.0,0.335,0.63500005,0.0,0.794,Linear_3S_rep,dynamic
1.0,1.8880001,1.8830001,2.6460001,-0.758,0.29700002,0.90400004,0.98,0.76500005,0.804,0.287,0.28500003,0.095000006,0.104,1.322,2.4770002,0.0,0.532,Linear_3S_rep,stoch
1.0,0.80100006,0.74700004,0.646,0.155,0.499,0.46800002,1.3700001,0.289,0.558,0.59800005,2817.7742,0.65300006,140284880.0,0.125,2.0340002,1.0,0.98600006,BYM_3S_rep,dynamic
1.0,3.1550002,2.9440002,2.6460001,0.509,1.9540001,0.629,2.107,0.544,1.5600001,0.56700003,0.62600005,0.582,0.75200003,0.59000003,7.9930005,1.0,1.0,BYM_3S_rep,stoch
1.0,0.69600004,0.69200003,0.646,0.05,0.105000004,0.25,0.289,0.201,0.22900002,0.142,3561.5251,0.032,133894240.0,0.499,0.91,1.0,0.546,Linear_1S,dynamic
1.0,1.378,1.3080001,0.646,0.73200005,0.47800002,1.266,1.5370001,0.748,0.77300006,1.1350001,6273.5493,1.83,447023520.0,0.679,2.496,0.0,0.48000002,BYM_1S,dynamic
1.0,2.674,2.6590002,2.6460001,0.028,0.4,0.423,0.59800005,0.344,0.467,0.120000005,0.185,0.023000002,0.057000004,1.9230001,3.4910002,1.0,0.93200004,Linear_1S,stoch
1.0,5.306,5.0360003,2.6460001,2.66,1.8420001,2.7270002,3.3140001,2.66,2.6910002,1.01,1.0860001,1.4950001,1.825,2.614,9.604,1.0,0.50600004,BYM_1S,stoch
1.0,0.61700004,0.614,0.646,-0.029000001,0.089,0.231,0.26700002,0.18100001,0.20400001,0.117000006,2602.092,0.021000002,73761130.0,0.45000002,0.8,1.0,0.53000003,Linear_1S_rep,dynamic
1.0,1.2770001,1.207,0.646,0.63100004,0.455,1.24,1.516,0.65800005,0.69000006,0.984,4759.8364,1.447,268360140.0,0.61,2.3460002,1.0,0.586,BYM_1S_rep,dynamic
1.0,2.437,2.4250002,2.6460001,-0.209,0.354,0.43600002,0.57600003,0.342,0.446,0.126,0.16600001,0.024,0.042000003,1.7730001,3.1620002,1.0,0.896,Linear_1S_rep,stoch
1.0,5.0350003,4.7590003,2.6460001,2.3890002,1.7930001,2.44,3.0530002,2.3890002,2.436,0.91300005,0.98,1.274,1.529,2.403,9.245001,1.0,0.708,BYM_1S_rep,stoch
56.0,0.5,0.499,0.646,-0.14600001,0.074,0.40500003,0.425,0.14600001,0.178,0.22800002,0.164,0.064,0.046000004,0.36100003,0.651,1.0,0.89800006,Linear_oracle,dynamic
56.0,0.83500004,0.71400005,0.646,0.18900001,0.37500003,0.303,0.795,0.18900001,0.303,0.43300003,0.40600002,0.42200002,0.41000003,0.41300002,1.8270001,1.0,1.0,BYM_oracle,dynamic
56.0,2.069,2.066,2.6460001,-0.577,0.30900002,0.57900006,0.671,0.577,0.59400004,0.22100002,0.23400001,0.061000004,0.068,1.485,2.697,1.0,0.57000005,Linear_oracle,stoch
56.0,3.4250002,2.9340003,2.6460001,0.77900004,1.529,0.818,1.7900001,0.77800006,1.1500001,0.432,0.437,0.42000002,0.42700002,1.6980001,7.4800005,1.0,1.0,BYM_oracle,stoch
56.0,0.35000002,0.35000002,0.646,-0.296,0.081,0.53400004,0.549,0.35300002,0.36100003,0.45800003,1579.738,0.22500001,35908828.0,0.19600001,0.509,0.0,0.34,Linear_observed,dynamic
56.0,1.153,1.0320001,0.646,0.507,0.62100005,1.189,1.59,0.637,0.74700004,0.89800006,4789.41,1.5380001,448173500.0,0.30900002,2.663,1.0,0.92800003,BYM_observed,dynamic
56.0,1.24,1.238,2.6460001,-1.406,0.268,1.5790001,1.605,1.406,1.4120001,0.531,0.507,0.29200003,0.28800002,0.72900003,1.769,0.0,0.108,Linear_observed,stoch
56.0,4.125,3.719,2.6460001,1.4790001,2.144,1.7210001,2.8140001,1.531,1.9990001,0.70900005,0.823,0.96900004,1.4710001,1.2,9.326,1.0,0.998,BYM_observed,stoch
56.0,-0.95600003,-0.95900005,0.646,-1.6020001,0.45600003,1.664,1.7290001,1.6020001,1.603,2.479,11979.379,6.6450005,1604036000.0,-1.8330001,-0.068,0.0,0.0,Linear_3S,dynamic
56.0,-3.897,-3.9110003,2.6460001,-6.543,1.8280001,6.5750003,6.826,6.543,6.543,2.473,2.5930002,6.591,7.5400004,-7.4020004,-0.323,0.0,0.0,Linear_3S,stoch
56.0,-0.702,-0.36900002,0.646,-1.348,0.55200005,1.4640001,1.5990001,1.348,1.355,2.091,8812.444,5.078,1145603300.0,-2.0530002,-0.135,0.0,0.0,BYM_3S,dynamic
56.0,-2.8620002,-1.4870001,2.6460001,-5.5080004,2.2350001,5.5490003,5.984,5.5080004,5.524,2.0870001,2.177,5.046,5.727,-8.316,-0.59400004,0.0,0.0,BYM_3S,stoch
56.0,0.41000003,0.40300003,0.646,-0.23600002,0.09200001,0.49300003,0.527,0.30400002,0.33900002,0.367,1769.0491,0.15400001,54713172.0,0.24700001,0.605,0.0,0.79800004,Linear_3S_rep,dynamic
56.0,1.5000001,1.48,2.6460001,-1.146,0.321,1.2420001,1.3050001,1.146,1.1570001,0.43300003,0.425,0.202,0.20600002,0.92700005,2.18,0.0,0.256,Linear_3S_rep,stoch
56.0,0.70000005,0.583,0.646,0.054,0.45200002,0.416,1.065,0.266,0.5,0.531,2209.9011,0.49600002,124690980.0,-0.003,1.792,1.0,0.994,BYM_3S_rep,dynamic
56.0,2.618,2.177,2.6460001,-0.028,1.6790001,0.43500003,1.8030001,0.33900002,1.378,0.499,0.535,0.40300003,0.499,0.009000001,6.642,1.0,1.0,BYM_3S_rep,stoch
56.0,-1.0430001,-1.036,0.646,-1.6890001,0.42900002,1.7470001,1.8010001,1.6890001,1.6890001,2.6130002,12900.743,7.267,1801285000.0,-1.894,-0.215,0.0,0.0,Linear_1S,dynamic
56.0,0.12900001,0.17300001,0.646,-0.517,2.5330002,0.757,2.653,0.517,2.536,3.913,26840.797,15.999001,6963878400.0,-2.5770001,2.7470002,1.0,0.998,BYM_1S,dynamic
56.0,-4.256,-4.2320004,2.6460001,-6.9020004,1.7390001,6.9330006,7.149,6.9030004,6.9030004,2.6090002,2.7400002,7.2360005,8.307,-7.714,-0.90200007,0.0,0.0,Linear_1S,stoch
56.0,0.50200003,0.675,2.6460001,-2.144,10.279,2.273,10.545,2.144,10.2630005,3.8780003,4.191,15.744,19.672,-10.476001,11.137,1.0,1.0,BYM_1S,stoch
56.0,0.597,0.59300005,0.646,-0.049000002,0.11800001,0.42800003,0.45600003,0.28,0.29900002,0.16000001,3172.988,0.039,115414240.0,0.38200003,0.84000003,1.0,0.522,Linear_1S_rep,dynamic
56.0,1.031,0.88000005,0.646,0.38500002,0.509,0.57000005,1.062,0.41700003,0.531,0.67300004,4613.5464,0.97400004,291675780.0,0.43800002,2.319,1.0,0.758,BYM_1S_rep,dynamic
56.0,2.153,2.1390002,2.6460001,-0.49300003,0.41400003,0.614,0.75900006,0.523,0.615,0.20700002,0.22700001,0.059000004,0.072000004,1.394,3.0130002,1.0,0.80200005,Linear_1S_rep,stoch
56.0,3.7670002,3.213,2.6460001,1.121,1.8610001,1.2040001,2.2680001,1.12,1.519,0.55600005,0.59800005,0.674,0.79300004,1.6040001,8.466001,1.0,0.998,BYM_1S_rep,stoch
111.0,0.532,0.53000003,0.646,-0.11400001,0.07,0.296,0.321,0.115,0.14,0.18300001,0.14500001,0.043,0.036000002,0.4,0.67300004,1.0,0.89800006,Linear_oracle,dynamic
111.0,1.2540001,1.197,0.646,0.60800004,0.393,1.074,1.312,0.60800004,0.61300004,0.94400007,0.84000003,1.2540001,1.1350001,0.65900004,2.1780002,0.0,0.998,BYM_oracle,dynamic
