idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
31.0,4.9160004,4.9160004,4.953,-0.037,0.063,0.07300001,0.058000002,0.012,4.793,5.0410004,1.0,Linear_oracle,dynamic
31.0,4.8970003,4.8970003,4.953,-0.056,0.07,0.089,0.072000004,0.015000001,4.7590003,5.0340004,1.0,GP_oracle,dynamic
31.0,5.5870004,5.5870004,5.616,-0.029000001,0.07,0.076000005,0.060000002,0.011000001,5.4490004,5.7250004,1.0,Linear_oracle,stoch
31.0,5.4940004,5.4950004,5.616,-0.12200001,0.09200001,0.15200001,0.12900001,0.023000002,5.3110003,5.6710005,1.0,GP_oracle,stoch
31.0,4.308,4.308,4.953,-0.64500004,0.097,0.652,0.64400005,0.13000001,4.116,4.497,0.0,Linear_observed,dynamic
31.0,4.3430004,4.3430004,4.953,-0.61,0.09,0.61600006,0.609,0.123,4.168,4.519,0.0,GP_observed,dynamic
31.0,5.19,5.1910005,5.616,-0.42600003,0.120000005,0.44200003,0.425,0.076000005,4.9550004,5.427,0.0,Linear_observed,stoch
31.0,5.815,5.814,5.616,0.19900002,0.13100001,0.23900001,0.20700002,0.037,5.5620003,6.0730004,1.0,GP_observed,stoch
31.0,4.9040003,4.9040003,4.953,-0.049000002,0.093,0.104,0.083000004,0.017,4.721,5.0880003,1.0,Linear_3S,dynamic
31.0,4.689,4.69,4.953,-0.264,0.105000004,0.284,0.264,0.053000003,4.4810004,4.893,0.0,GP_3S,dynamic
31.0,5.473,5.4750004,5.616,-0.143,0.10300001,0.17500001,0.15,0.027,5.2700005,5.6720004,1.0,Linear_3S,stoch
31.0,5.149,5.1540003,5.616,-0.467,0.14400001,0.48800004,0.467,0.083000004,4.852,5.4160004,0.0,GP_3S,stoch
31.0,4.9940004,4.9940004,4.953,0.041,0.07300001,0.08400001,0.068,0.014,4.847,5.137,1.0,Linear_1S,dynamic
31.0,4.9170003,4.919,4.953,-0.036000002,0.09,0.097,0.07700001,0.016,4.7380004,5.091,1.0,GP_1S,dynamic
31.0,5.6210003,5.6200004,5.616,0.0050000004,0.082,0.083000004,0.066,0.012,5.4570003,5.782,1.0,Linear_1S,stoch
31.0,5.491,5.499,5.616,-0.125,0.125,0.17600001,0.141,0.025,5.2190003,5.714,1.0,GP_1S,stoch
64.0,4.5400004,4.5400004,4.5610003,-0.021000002,0.069000006,0.07300001,0.058000002,0.013,4.4040003,4.6780005,1.0,Linear_oracle,dynamic
64.0,4.566,4.564,4.5610003,0.0050000004,0.081,0.081,0.064,0.014,4.412,4.728,1.0,GP_oracle,dynamic
64.0,5.544,5.543,5.5470004,-0.003,0.086,0.086,0.068,0.012,5.374,5.7110004,1.0,Linear_oracle,stoch
64.0,5.5150003,5.511,5.5470004,-0.032,0.10700001,0.11100001,0.089,0.016,5.315,5.736,1.0,GP_oracle,stoch
64.0,3.4470003,3.4470003,4.5610003,-1.1140001,0.097,1.118,1.1140001,0.24400002,3.2580001,3.6360002,0.0,Linear_observed,dynamic
64.0,3.407,3.4080002,4.5610003,-1.154,0.102000006,1.1580001,1.154,0.25300002,3.2070003,3.6060002,0.0,GP_observed,dynamic
64.0,4.5550003,4.557,5.5470004,-0.99200004,0.126,1.0,0.99200004,0.179,4.3040004,4.8030005,0.0,Linear_observed,stoch
64.0,5.1390004,5.1410003,5.5470004,-0.40800002,0.172,0.44300002,0.409,0.074,4.7920003,5.4670005,0.0,GP_observed,stoch
64.0,4.385,4.385,4.5610003,-0.17600001,0.1,0.202,0.179,0.039,4.1860003,4.5800004,1.0,Linear_3S,dynamic
64.0,4.165,4.169,4.5610003,-0.39600003,0.12900001,0.416,0.39600003,0.087000005,3.9050002,4.408,0.0,GP_3S,dynamic
64.0,5.2830005,5.2860003,5.5470004,-0.264,0.123,0.291,0.26500002,0.048,5.038,5.5160003,0.0,Linear_3S,stoch
64.0,4.951,4.9630003,5.5470004,-0.596,0.19700001,0.628,0.596,0.10700001,4.53,5.3050003,0.0,GP_3S,stoch
64.0,4.5140004,4.5160003,4.5610003,-0.047000002,0.079,0.09200001,0.074,0.016,4.3570004,4.67,1.0,Linear_1S,dynamic
64.0,4.5150003,4.5140004,4.5610003,-0.046000004,0.106000006,0.115,0.09200001,0.020000001,4.3050003,4.7250004,1.0,GP_1S,dynamic
64.0,5.505,5.505,5.5470004,-0.042000003,0.1,0.108,0.086,0.016,5.307,5.6970005,1.0,Linear_1S,stoch
64.0,5.4350004,5.4340005,5.5470004,-0.112,0.149,0.186,0.15,0.027,5.136,5.729,1.0,GP_1S,stoch
97.0,4.7310004,4.7310004,4.8030005,-0.072000004,0.066,0.098000005,0.081,0.017,4.602,4.86,1.0,Linear_oracle,dynamic
97.0,4.669,4.669,4.8030005,-0.134,0.07,0.15100001,0.136,0.028,4.531,4.8030005,1.0,GP_oracle,dynamic
97.0,5.741,5.741,5.881,-0.14,0.079,0.16100001,0.143,0.024,5.5870004,5.8980002,1.0,Linear_oracle,stoch
97.0,5.6450005,5.6470003,5.881,-0.23600002,0.09200001,0.254,0.23600002,0.040000003,5.4570003,5.8190002,0.0,GP_oracle,stoch
97.0,4.3510003,4.3500004,4.8030005,-0.45200002,0.08800001,0.46100003,0.45200002,0.094000004,4.181,4.526,0.0,Linear_observed,dynamic
97.0,4.328,4.329,4.8030005,-0.47500002,0.089,0.483,0.47500002,0.09900001,4.155,4.5020003,0.0,GP_observed,dynamic
97.0,5.5590005,5.5590005,5.881,-0.32200003,0.120000005,0.344,0.323,0.055000003,5.3230004,5.794,0.0,Linear_observed,stoch
97.0,6.0260005,6.025,5.881,0.14500001,0.2,0.24700001,0.19900002,0.034,5.642,6.426,1.0,GP_observed,stoch
97.0,4.7780004,4.7780004,4.8030005,-0.025,0.089,0.093,0.074,0.015000001,4.603,4.9540005,1.0,Linear_3S,dynamic
97.0,4.6400003,4.6390004,4.8030005,-0.163,0.102000006,0.192,0.16800001,0.035,4.441,4.84,1.0,GP_3S,dynamic
97.0,5.6410003,5.6450005,5.881,-0.24000001,0.11100001,0.26500002,0.24100001,0.041,5.4210005,5.8510003,0.0,Linear_3S,stoch
97.0,5.3890004,5.394,5.881,-0.492,0.15,0.514,0.492,0.08400001,5.083,5.669,0.0,GP_3S,stoch
97.0,4.8370004,4.8370004,4.8030005,0.034,0.072000004,0.079,0.063,0.013,4.696,4.979,1.0,Linear_1S,dynamic
97.0,4.749,4.749,4.8030005,-0.054,0.086,0.102000006,0.082,0.017,4.5820003,4.918,1.0,GP_1S,dynamic
97.0,5.834,5.834,5.881,-0.047000002,0.09,0.102000006,0.082,0.014,5.6580005,6.011,1.0,Linear_1S,stoch
97.0,5.8040004,5.7980003,5.881,-0.07700001,0.133,0.15400001,0.125,0.021000002,5.558,6.089,1.0,GP_1S,stoch
130.0,4.8180003,4.8180003,4.793,0.025,0.072000004,0.076000005,0.061000004,0.013,4.675,4.959,1.0,Linear_oracle,dynamic
130.0,4.84,4.839,4.793,0.047000002,0.083000004,0.095000006,0.076000005,0.016,4.6790004,5.0030003,1.0,GP_oracle,dynamic
130.0,5.9090004,5.9090004,5.8880005,0.021000002,0.091000006,0.094000004,0.075,0.013,5.728,6.0860004,1.0,Linear_oracle,stoch
130.0,5.852,5.8550005,5.8880005,-0.036000002,0.115,0.12100001,0.094000004,0.016,5.6150002,6.0690002,1.0,GP_oracle,stoch
130.0,3.676,3.676,4.793,-1.1170001,0.093,1.121,1.118,0.23300001,3.4940002,3.8590002,0.0,Linear_observed,dynamic
130.0,3.6480002,3.6480002,4.793,-1.1450001,0.091000006,1.149,1.1450001,0.23900001,3.4710002,3.8270001,0.0,GP_observed,dynamic
130.0,5.2240005,5.2250004,5.8880005,-0.66400003,0.15100001,0.68200004,0.665,0.113000005,4.9240003,5.5210004,0.0,Linear_observed,stoch
130.0,6.0210004,6.019,5.8880005,0.133,0.3,0.32700002,0.261,0.044000003,5.4420004,6.61,1.0,GP_observed,stoch
130.0,4.6450005,4.644,4.793,-0.148,0.097,0.177,0.15400001,0.032,4.4550004,4.8360004,1.0,Linear_3S,dynamic
130.0,4.4560003,4.459,4.793,-0.337,0.12900001,0.36100003,0.33800003,0.07,4.195,4.7000003,0.0,GP_3S,dynamic
130.0,5.649,5.65,5.8880005,-0.23900001,0.125,0.27100003,0.24200001,0.041,5.405,5.8880005,0.0,Linear_3S,stoch
130.0,5.374,5.386,5.8880005,-0.514,0.19600001,0.55,0.51500005,0.087000005,4.9500003,5.727,0.0,GP_3S,stoch
130.0,4.7590003,4.76,4.793,-0.034,0.079,0.086,0.068,0.014,4.605,4.914,1.0,Linear_1S,dynamic
130.0,4.754,4.7520003,4.793,-0.039,0.108,0.115,0.091000006,0.019000001,4.5470004,4.971,1.0,GP_1S,dynamic
130.0,5.852,5.852,5.8880005,-0.036000002,0.101,0.10700001,0.086,0.015000001,5.6520004,6.0490003,1.0,Linear_1S,stoch
130.0,5.769,5.7710004,5.8880005,-0.119,0.15200001,0.194,0.155,0.026,5.458,6.065,1.0,GP_1S,stoch
163.0,4.9890003,4.9900002,4.9150004,0.074,0.07300001,0.104,0.086,0.018000001,4.846,5.131,1.0,Linear_oracle,dynamic
163.0,4.925,4.926,4.9150004,0.010000001,0.080000006,0.081,0.064,0.013,4.7660003,5.0800004,1.0,GP_oracle,dynamic
163.0,5.8190002,5.8190002,5.7320004,0.087000005,0.08800001,0.124000005,0.102000006,0.018000001,5.644,5.991,1.0,Linear_oracle,stoch
163.0,5.655,5.657,5.7320004,-0.07700001,0.109000005,0.134,0.106000006,0.019000001,5.4350004,5.8640003,1.0,GP_oracle,stoch
163.0,4.083,4.0820003,4.9150004,-0.832,0.089,0.837,0.832,0.16900001,3.9080002,4.26,0.0,Linear_observed,dynamic
163.0,4.084,4.084,4.9150004,-0.83100003,0.09,0.836,0.83100003,0.16900001,3.9090002,4.2580004,0.0,GP_observed,dynamic
163.0,5.1740003,5.175,5.7320004,-0.558,0.135,0.574,0.558,0.097,4.907,5.4360003,0.0,Linear_observed,stoch
163.0,5.9820004,5.9820004,5.7320004,0.25,0.259,0.36,0.29500002,0.052,5.478,6.4870005,1.0,GP_observed,stoch
163.0,4.736,4.7380004,4.9150004,-0.179,0.098000005,0.20400001,0.18100001,0.037,4.543,4.9290004,1.0,Linear_3S,dynamic
163.0,4.611,4.6130004,4.9150004,-0.30400002,0.11100001,0.324,0.305,0.062000003,4.388,4.822,0.0,GP_3S,dynamic
163.0,5.5130005,5.517,5.7320004,-0.21900001,0.12100001,0.25,0.22200002,0.039,5.276,5.741,1.0,Linear_3S,stoch
163.0,5.314,5.32,5.7320004,-0.418,0.156,0.446,0.418,0.07300001,4.992,5.604,0.0,GP_3S,stoch
163.0,4.859,4.859,4.9150004,-0.056,0.081,0.098000005,0.080000006,0.016,4.7000003,5.017,1.0,Linear_1S,dynamic
163.0,4.755,4.756,4.9150004,-0.16000001,0.089,0.18300001,0.162,0.033,4.5810003,4.9290004,1.0,GP_1S,dynamic
163.0,5.735,5.734,5.7320004,0.003,0.102000006,0.102000006,0.081,0.014,5.5360003,5.9360003,1.0,Linear_1S,stoch
163.0,5.552,5.556,5.7320004,-0.18,0.125,0.21800001,0.187,0.033,5.2960005,5.788,1.0,GP_1S,stoch
