mean,median,std,q005,q025,q975,q995,min,max,type,iter
0.4955636,0.49560216069221497,0.030105636,0.42030244767665864,0.4374994821846485,0.5542263284325599,0.5722071802616119,0.36378103,0.6229289,oracle,0
0.20329382,0.20336763560771942,0.02982717,0.12668837673962116,0.14501137733459474,0.2611524663865566,0.2790123391151423,0.0815301,0.33334097,observed,0
0.22303374111652374,0.22318221628665924,0.05218384994630647,0.086759891808033,0.12013264913111925,0.3246149346232414,0.35586891263723375,-0.035377394407987595,0.47929564118385315,cut-2S,0
0.22616185247898102,0.22308439016342163,0.06599686798267762,0.07493249733000994,0.10652140434831381,0.36230470016598704,0.40609690874814985,-0.018941298127174377,0.5711867809295654,cut-3S,0
0.5280335,0.5276181697845459,0.05902815,0.3752675352990627,0.4115382194519043,0.6431100055575371,0.6763624197244628,0.3099044,0.8151837,plugin,0
0.48282018,0.48269250988960266,0.0317955,0.40133107542991636,0.42146735936403273,0.5447022929787636,0.5657306486368178,0.35493436,0.5998942,oracle,1
0.1871064,0.18710145354270935,0.031056996,0.10781039979308843,0.12612428665161132,0.24785919561982156,0.26825279131531704,0.07707224,0.30101684,observed,1
0.20679157972335815,0.2068975865840912,0.047946471701292515,0.08269666042178869,0.11255128160119057,0.3006478361785412,0.330448691546917,-0.03523542359471321,0.41899701952934265,cut-2S,1
0.20665816962718964,0.20343247056007385,0.05950768468090274,0.07027458220720291,0.09926187954843045,0.33065985366702083,0.3717687729001045,-0.02256040833890438,0.5066238641738892,cut-3S,1
0.43510008,0.4345988631248474,0.052773096,0.29926764979958537,0.33216715306043626,0.5403349384665489,0.572307732403278,0.24123985,0.65127146,plugin,1
0.48045462,0.4803308844566345,0.030658891,0.4008958278596401,0.4196716360747814,0.5398720175027847,0.5584049507975578,0.36589113,0.59852576,oracle,2
0.20341186,0.2031390368938446,0.030511484,0.12523692063987255,0.14414319805800915,0.2629447519779205,0.2810836787521838,0.078235455,0.3082528,observed,2
0.22597229480743408,0.22613094747066498,0.04601066935267808,0.10526410549879074,0.13521930947899818,0.31569498106837274,0.3439374160766602,0.0012629581615328789,0.44403600692749023,cut-2S,2
0.22608603537082672,0.22319158911705017,0.05748000494326828,0.0944581739231944,0.12229826897382737,0.3451931245625019,0.3834523367881775,0.0012182100908830762,0.4995221793651581,cut-3S,2
0.43708578,0.4366150498390198,0.048808645,0.30895152628421785,0.3416082002222538,0.5317549362778663,0.5620070481300352,0.23905052,0.61181045,plugin,2
0.5482337,0.5480225086212158,0.026466588,0.4797522954642773,0.4969142608344555,0.600396366417408,0.6195409166812896,0.43711883,0.655327,oracle,3
0.23857829,0.2386140525341034,0.028831944,0.1633803305774927,0.1829553868621588,0.2952885419130325,0.31455704256892186,0.12848803,0.3465509,observed,3
0.2958943843841553,0.2959345877170563,0.045997234298623596,0.17673264883458614,0.20549225807189941,0.3859211586415768,0.41419792249798776,0.06432130932807922,0.5526848435401917,cut-2S,3
0.2981008291244507,0.293788880109787,0.06576409950759596,0.15583311833441257,0.18318986743688584,0.43446299210190775,0.4780515192449093,0.07144557684659958,0.6626426577568054,cut-3S,3
0.5550903,0.5551162958145142,0.046090458,0.4376585376262665,0.46631883829832077,0.6451666250824928,0.6785111922025678,0.37836945,0.7203424,plugin,3
0.4961884,0.4960176944732666,0.03139931,0.4140258939564228,0.4344066455960274,0.5581491008400917,0.5780352300405499,0.3838475,0.60582155,oracle,4
0.24024266,0.2400965690612793,0.028479919,0.16572993837296962,0.18430422209203243,0.29612600132822986,0.31373610526323314,0.13098636,0.33205405,observed,4
0.26330748200416565,0.2635294198989868,0.048586130694258794,0.13559083305299283,0.1672565896064043,0.35798669159412383,0.38825008973479275,0.0007347175269387662,0.5143223404884338,cut-2S,4
0.26314622163772583,0.2596780061721802,0.06504554653843157,0.1177655017748475,0.14717381671071053,0.3973993659019471,0.44142845764756206,0.01950155757367611,0.6015360355377197,cut-3S,4
0.54582053,0.5458148717880249,0.05136243,0.4128898777067661,0.44375911429524423,0.6447356954216957,0.6763038983941078,0.36986688,0.75851536,plugin,4
