idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
17.0,0.90500003,0.90500003,0.91,-0.0050000004,0.030000001,0.030000001,0.024,0.026,0.84700006,0.96300006,1.0,Linear_oracle,dynamic
17.0,0.87200004,0.87100005,0.91,-0.038000003,0.037,0.053000003,0.044000003,0.049000002,0.799,0.94500005,1.0,GP_oracle,dynamic
17.0,3.5340002,3.5340002,3.558,-0.024,0.117000006,0.119,0.095000006,0.027,3.305,3.762,1.0,Linear_oracle,stoch
17.0,3.328,3.3290002,3.558,-0.23,0.16100001,0.28,0.24000001,0.068,3.0110002,3.6390002,1.0,GP_oracle,stoch
17.0,0.63500005,0.63600004,0.91,-0.275,0.052,0.28,0.275,0.30200002,0.531,0.73700005,0.0,Linear_observed,dynamic
17.0,0.47700003,0.47700003,0.91,-0.43300003,0.095000006,0.44300002,0.43300003,0.47500002,0.291,0.666,0.0,GP_observed,dynamic
17.0,2.2680001,2.269,3.558,-1.2900001,0.179,1.302,1.2900001,0.363,1.909,2.614,0.0,Linear_observed,stoch
17.0,2.6450002,2.6450002,3.558,-0.91300005,0.201,0.934,0.91200006,0.256,2.246,3.0440001,0.0,GP_observed,stoch
17.0,0.786,0.786,0.91,-0.124000005,0.045,0.132,0.124000005,0.136,0.69900006,0.87500006,0.0,Linear_3S,dynamic
17.0,0.611,0.61200005,0.91,-0.29900002,0.065000005,0.30600002,0.29900002,0.32900003,0.48100004,0.73600006,0.0,GP_3S,dynamic
17.0,3.0660002,3.071,3.558,-0.492,0.16800001,0.51900005,0.492,0.13800001,2.7380002,3.397,0.0,Linear_3S,stoch
17.0,2.2640002,2.266,3.558,-1.294,0.25100002,1.3180001,1.294,0.36400002,1.7670001,2.755,0.0,GP_3S,stoch
17.0,0.86800003,0.86800003,0.91,-0.042000003,0.035,0.055000003,0.046000004,0.05,0.8,0.93600005,1.0,Linear_1S,dynamic
17.0,0.753,0.754,0.91,-0.157,0.062000003,0.16900001,0.157,0.17300001,0.62600005,0.869,0.0,GP_1S,dynamic
17.0,3.3950002,3.3950002,3.558,-0.163,0.13800001,0.21300001,0.179,0.05,3.1250002,3.6650002,1.0,Linear_1S,stoch
17.0,2.8240001,2.828,3.558,-0.734,0.268,0.781,0.734,0.20600002,2.2810001,3.3330002,0.0,GP_1S,stoch
50.0,0.845,0.845,0.79800004,0.047000002,0.028,0.055000003,0.048,0.061000004,0.78900003,0.90000004,1.0,Linear_oracle,dynamic
50.0,0.80700004,0.80700004,0.79800004,0.009000001,0.035,0.036000002,0.029000001,0.036000002,0.73800004,0.87500006,1.0,GP_oracle,dynamic
50.0,3.6290002,3.6310003,3.4250002,0.20400001,0.12200001,0.238,0.209,0.061000004,3.3860002,3.8660002,1.0,Linear_oracle,stoch
50.0,3.2970002,3.2990003,3.4250002,-0.128,0.19100001,0.23,0.185,0.054,2.9160001,3.6640003,1.0,GP_oracle,stoch
50.0,0.58100003,0.58100003,0.79800004,-0.21700001,0.054,0.224,0.21700001,0.272,0.47500002,0.688,0.0,Linear_observed,dynamic
50.0,0.40100002,0.40100002,0.79800004,-0.397,0.066,0.402,0.39600003,0.497,0.27,0.532,0.0,GP_observed,dynamic
50.0,2.2870002,2.2870002,3.4250002,-1.138,0.201,1.1550001,1.138,0.33200002,1.8970001,2.683,0.0,Linear_observed,stoch
50.0,2.434,2.434,3.4250002,-0.99100006,0.22200002,1.0150001,0.99100006,0.289,2.0040002,2.871,0.0,GP_observed,stoch
50.0,0.725,0.725,0.79800004,-0.07300001,0.046000004,0.086,0.075,0.094000004,0.638,0.81500006,1.0,Linear_3S,dynamic
50.0,0.57500005,0.57600003,0.79800004,-0.223,0.060000002,0.231,0.223,0.279,0.455,0.69100004,0.0,GP_3S,dynamic
50.0,3.1330001,3.134,3.4250002,-0.29200003,0.18200001,0.344,0.3,0.08800001,2.7830002,3.4880002,1.0,Linear_3S,stoch
50.0,2.1750002,2.1750002,3.4250002,-1.25,0.29500002,1.284,1.25,0.365,1.5920001,2.762,0.0,GP_3S,stoch
50.0,0.827,0.827,0.79800004,0.029000001,0.033,0.044000003,0.036000002,0.045,0.76100004,0.89300007,1.0,Linear_1S,dynamic
50.0,0.74,0.74100006,0.79800004,-0.058000002,0.053000003,0.078,0.064,0.081,0.633,0.841,1.0,GP_1S,dynamic
50.0,3.5830002,3.584,3.4250002,0.158,0.14600001,0.215,0.179,0.052,3.2960002,3.8730001,1.0,Linear_1S,stoch
50.0,2.904,2.913,3.4250002,-0.521,0.316,0.61,0.531,0.155,2.2540002,3.4950001,1.0,GP_1S,stoch
83.0,1.281,1.2800001,1.268,0.013,0.042000003,0.044000003,0.035,0.027,1.199,1.363,1.0,Linear_oracle,dynamic
83.0,1.235,1.235,1.268,-0.033,0.054,0.063,0.051000003,0.040000003,1.13,1.3440001,1.0,GP_oracle,dynamic
83.0,3.6490002,3.6490002,3.614,0.035,0.11400001,0.120000005,0.096,0.026,3.4240003,3.874,1.0,Linear_oracle,stoch
83.0,3.4320002,3.4350002,3.614,-0.18200001,0.16800001,0.24800001,0.20500001,0.057000004,3.0890002,3.7530003,1.0,GP_oracle,stoch
83.0,0.87500006,0.87500006,1.268,-0.393,0.07,0.39900002,0.393,0.31,0.73600006,1.014,0.0,Linear_observed,dynamic
83.0,0.71500003,0.71500003,1.268,-0.55300003,0.081,0.558,0.55200005,0.43600002,0.555,0.874,0.0,GP_observed,dynamic
83.0,2.526,2.526,3.614,-1.088,0.187,1.1040001,1.088,0.30100003,2.1590002,2.8980002,0.0,Linear_observed,stoch
83.0,2.582,2.5790002,3.614,-1.0320001,0.224,1.056,1.0320001,0.286,2.148,3.0340002,0.0,GP_observed,stoch
83.0,1.046,1.0450001,1.268,-0.22200002,0.067,0.23200001,0.22200002,0.17500001,0.91800004,1.176,0.0,Linear_3S,dynamic
83.0,0.836,0.84000003,1.268,-0.432,0.093,0.44200003,0.432,0.34100002,0.64100003,1.008,0.0,GP_3S,dynamic
83.0,3.0770001,3.078,3.614,-0.537,0.18,0.56600004,0.537,0.149,2.732,3.4240003,0.0,Linear_3S,stoch
83.0,2.332,2.334,3.614,-1.2820001,0.275,1.3110001,1.2820001,0.35500002,1.7800001,2.864,0.0,GP_3S,stoch
83.0,1.22,1.22,1.268,-0.048,0.051000003,0.07,0.058000002,0.045,1.12,1.319,1.0,Linear_1S,dynamic
83.0,1.1220001,1.123,1.268,-0.14600001,0.082,0.16800001,0.149,0.117000006,0.95600003,1.281,1.0,GP_1S,dynamic
83.0,3.561,3.561,3.614,-0.053000003,0.143,0.15200001,0.12200001,0.034,3.279,3.8420002,1.0,Linear_1S,stoch
83.0,3.131,3.14,3.614,-0.483,0.27800003,0.558,0.49100003,0.136,2.548,3.6480002,1.0,GP_1S,stoch
116.0,1.0350001,1.0350001,1.0840001,-0.049000002,0.040000003,0.064,0.054,0.05,0.95600003,1.113,1.0,Linear_oracle,dynamic
116.0,0.989,0.99000007,1.0840001,-0.095000006,0.049000002,0.10700001,0.096,0.08800001,0.89000005,1.0840001,0.0,GP_oracle,dynamic
116.0,3.4190001,3.4190001,3.5860002,-0.16700001,0.128,0.21000001,0.179,0.05,3.1660001,3.673,1.0,Linear_oracle,stoch
116.0,3.1690001,3.1710002,3.5860002,-0.41700003,0.16800001,0.44900003,0.41700003,0.116000004,2.8330002,3.492,0.0,GP_oracle,stoch
116.0,0.786,0.786,1.0840001,-0.298,0.072000004,0.307,0.298,0.275,0.646,0.929,0.0,Linear_observed,dynamic
116.0,0.73600006,0.735,1.0840001,-0.34800002,0.07300001,0.356,0.349,0.32200003,0.59400004,0.88100004,0.0,GP_observed,dynamic
116.0,2.482,2.482,3.5860002,-1.1040001,0.209,1.123,1.1040001,0.30800003,2.0740001,2.897,0.0,Linear_observed,stoch
116.0,2.673,2.661,3.5860002,-0.91300005,0.30800003,0.96300006,0.91300005,0.25500003,2.104,3.302,0.0,GP_observed,stoch
116.0,0.89300007,0.89300007,1.0840001,-0.19100001,0.060000002,0.201,0.19100001,0.177,0.77800006,1.011,0.0,Linear_3S,dynamic
116.0,0.80100006,0.80500007,1.0840001,-0.28300002,0.075,0.293,0.28300002,0.261,0.642,0.93700004,0.0,GP_3S,dynamic
116.0,2.9210002,2.9220002,3.5860002,-0.665,0.18,0.689,0.665,0.185,2.5730002,3.2710001,0.0,Linear_3S,stoch
116.0,2.476,2.4810002,3.5860002,-1.11,0.238,1.1350001,1.11,0.30900002,1.9980001,2.93,0.0,GP_3S,stoch
116.0,1.0430001,1.0430001,1.0840001,-0.041,0.048,0.063,0.052,0.048,0.94900006,1.138,1.0,Linear_1S,dynamic
116.0,0.97200006,0.975,1.0840001,-0.112,0.063,0.12900001,0.113000005,0.105000004,0.83500004,1.088,1.0,GP_1S,dynamic
116.0,3.387,3.3850002,3.5860002,-0.19900002,0.15100001,0.25,0.21200001,0.059000004,3.0890002,3.6850002,1.0,Linear_1S,stoch
116.0,3.0870001,3.0890002,3.5860002,-0.499,0.22600001,0.54700005,0.50100005,0.14,2.63,3.5260003,0.0,GP_1S,stoch
149.0,0.74500006,0.74500006,0.79600006,-0.051000003,0.026,0.058000002,0.052,0.065000005,0.693,0.79700005,1.0,Linear_oracle,dynamic
149.0,0.716,0.71800005,0.79600006,-0.080000006,0.034,0.087000005,0.080000006,0.101,0.64400005,0.77900004,0.0,GP_oracle,dynamic
149.0,3.3120003,3.311,3.5290003,-0.21700001,0.115,0.246,0.22000001,0.062000003,3.0870001,3.5370002,1.0,Linear_oracle,stoch
149.0,3.1690001,3.1720002,3.5290003,-0.36,0.164,0.39600003,0.36100003,0.102000006,2.8430002,3.489,0.0,GP_oracle,stoch
149.0,0.56,0.56,0.79600006,-0.23600002,0.043,0.24000001,0.23600002,0.29700002,0.47400004,0.64500004,0.0,Linear_observed,dynamic
149.0,0.45600003,0.45600003,0.79600006,-0.34,0.052,0.344,0.34,0.42700002,0.35300002,0.559,0.0,GP_observed,dynamic
149.0,2.367,2.368,3.5290003,-1.1620001,0.16600001,1.174,1.1620001,0.32900003,2.036,2.6910002,0.0,Linear_observed,stoch
149.0,2.397,2.3960001,3.5290003,-1.1320001,0.18100001,1.1470001,1.1320001,0.321,2.043,2.755,0.0,GP_observed,stoch
149.0,0.66400003,0.66400003,0.79600006,-0.132,0.042000003,0.13800001,0.132,0.16600001,0.58400005,0.74700004,0.0,Linear_3S,dynamic
149.0,0.56100005,0.564,0.79600006,-0.23500001,0.057000004,0.24200001,0.23600002,0.296,0.44300002,0.665,0.0,GP_3S,dynamic
149.0,2.9250002,2.9280002,3.5290003,-0.60400003,0.16700001,0.62700003,0.60400003,0.171,2.604,3.2510002,0.0,Linear_3S,stoch
149.0,2.305,2.308,3.5290003,-1.2240001,0.24300002,1.248,1.2240001,0.347,1.8180001,2.776,0.0,GP_3S,stoch
149.0,0.75100005,0.75100005,0.79600006,-0.045,0.032,0.055000003,0.048,0.060000002,0.688,0.814,1.0,Linear_1S,dynamic
149.0,0.69900006,0.70100003,0.79600006,-0.097,0.048,0.108,0.098000005,0.123,0.60200006,0.78900003,0.0,GP_1S,dynamic
149.0,3.2870002,3.2870002,3.5290003,-0.24200001,0.135,0.277,0.246,0.07,3.0200002,3.5540001,1.0,Linear_1S,stoch
149.0,2.901,2.9050002,3.5290003,-0.628,0.261,0.68,0.629,0.178,2.3760002,3.394,0.0,GP_1S,stoch
182.0,0.81200004,0.81200004,0.81900007,-0.007,0.025,0.026,0.021000002,0.025,0.762,0.86100006,1.0,Linear_oracle,dynamic
182.0,0.76000005,0.76000005,0.81900007,-0.059000004,0.038000003,0.07,0.061000004,0.075,0.68500006,0.83500004,1.0,GP_oracle,dynamic
182.0,3.5070002,3.5070002,3.5410001,-0.034,0.109000005,0.115,0.091000006,0.026,3.288,3.7210002,1.0,Linear_oracle,stoch
182.0,3.153,3.1580002,3.5410001,-0.388,0.21300001,0.44300002,0.393,0.11100001,2.7120001,3.558,1.0,GP_oracle,stoch
182.0,0.59400004,0.59400004,0.81900007,-0.22500001,0.043,0.22900002,0.22500001,0.275,0.51000005,0.679,0.0,Linear_observed,dynamic
182.0,0.45600003,0.45600003,0.81900007,-0.363,0.074,0.37,0.363,0.44300002,0.31300002,0.60200006,0.0,GP_observed,dynamic
182.0,2.351,2.352,3.5410001,-1.19,0.16100001,1.2010001,1.19,0.33600003,2.032,2.6720002,0.0,Linear_observed,stoch
182.0,2.2800002,2.2800002,3.5410001,-1.261,0.172,1.273,1.261,0.356,1.945,2.6200001,0.0,GP_observed,stoch
182.0,0.72900003,0.72900003,0.81900007,-0.09,0.039,0.098000005,0.09,0.11000001,0.65400004,0.808,0.0,Linear_3S,dynamic
182.0,0.59900004,0.6,0.81900007,-0.22000001,0.058000002,0.22800002,0.22000001,0.26900002,0.48100004,0.71000004,0.0,GP_3S,dynamic
182.0,3.1380002,3.1390002,3.5410001,-0.40300003,0.15900001,0.43300003,0.404,0.11400001,2.834,3.4510002,0.0,Linear_3S,stoch
182.0,2.398,2.394,3.5410001,-1.143,0.316,1.1860001,1.143,0.323,1.7850001,3.035,0.0,GP_3S,stoch
182.0,0.82100004,0.82100004,0.81900007,0.002,0.029000001,0.029000001,0.023000002,0.028,0.76400006,0.87700003,1.0,Linear_1S,dynamic
182.0,0.77900004,0.781,0.81900007,-0.040000003,0.053000003,0.067,0.053000003,0.065000005,0.66700006,0.878,1.0,GP_1S,dynamic
182.0,3.5410001,3.5400002,3.5410001,0.0,0.126,0.126,0.1,0.028,3.295,3.788,1.0,Linear_1S,stoch
182.0,3.2310002,3.2430003,3.5410001,-0.31,0.30200002,0.43300003,0.351,0.09900001,2.5900002,3.7910001,1.0,GP_1S,stoch
215.0,1.1700001,1.169,1.199,-0.029000001,0.044000003,0.053000003,0.043,0.036000002,1.0810001,1.256,1.0,Linear_oracle,dynamic
215.0,1.102,1.102,1.199,-0.097,0.05,0.11000001,0.098000005,0.082,1.0,1.2010001,1.0,GP_oracle,dynamic
215.0,3.5260003,3.525,3.6160002,-0.09,0.134,0.162,0.13000001,0.036000002,3.2570002,3.7890003,1.0,Linear_oracle,stoch
215.0,3.2660003,3.2680001,3.6160002,-0.35000002,0.15300001,0.38200003,0.351,0.097,2.9540002,3.5620003,0.0,GP_oracle,stoch
215.0,0.87600005,0.87500006,1.199,-0.323,0.075,0.33200002,0.323,0.27,0.72800004,1.023,0.0,Linear_observed,dynamic
215.0,0.62700003,0.628,1.199,-0.572,0.09200001,0.57900006,0.572,0.47700003,0.44700003,0.808,0.0,GP_observed,dynamic
215.0,2.4740002,2.4740002,3.6160002,-1.1420001,0.20400001,1.1600001,1.1420001,0.316,2.0700002,2.878,0.0,Linear_observed,stoch
215.0,3.374,3.357,3.6160002,-0.24200001,0.462,0.521,0.42200002,0.117000006,2.4950001,4.3170004,1.0,GP_observed,stoch
215.0,0.96700007,0.96700007,1.199,-0.23200001,0.064,0.24000001,0.23200001,0.193,0.846,1.095,0.0,Linear_3S,dynamic
215.0,0.855,0.86100006,1.199,-0.344,0.085,0.354,0.344,0.287,0.67300004,1.008,0.0,GP_3S,dynamic
215.0,2.976,2.979,3.6160002,-0.64000005,0.192,0.66800004,0.64000005,0.177,2.607,3.354,0.0,Linear_3S,stoch
215.0,2.6120002,2.6120002,3.6160002,-1.0040001,0.21100001,1.0250001,1.003,0.277,2.2020001,3.0230002,0.0,GP_3S,stoch
215.0,1.1110001,1.1110001,1.199,-0.08800001,0.051000003,0.101,0.089,0.075,1.0120001,1.212,1.0,Linear_1S,dynamic
215.0,0.99700004,1.0,1.199,-0.202,0.067,0.21300001,0.202,0.16900001,0.855,1.121,0.0,GP_1S,dynamic
215.0,3.4320002,3.4320002,3.6160002,-0.18400002,0.16000001,0.24300002,0.20400001,0.056,3.1200001,3.7510002,1.0,Linear_1S,stoch
215.0,3.019,3.0240002,3.6160002,-0.597,0.201,0.629,0.597,0.165,2.6120002,3.4020002,0.0,GP_1S,stoch
248.0,1.1270001,1.1270001,1.125,0.002,0.039,0.039,0.031000001,0.028,1.049,1.2030001,1.0,Linear_oracle,dynamic
248.0,1.0840001,1.0860001,1.125,-0.041,0.047000002,0.063,0.05,0.044000003,0.984,1.171,1.0,GP_oracle,dynamic
248.0,3.528,3.528,3.5230002,0.0050000004,0.12100001,0.12100001,0.097,0.027,3.2900002,3.7640002,1.0,Linear_oracle,stoch
248.0,3.295,3.2970002,3.5230002,-0.22800002,0.149,0.273,0.23600002,0.067,2.992,3.5820003,1.0,GP_oracle,stoch
