idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
114.0,1.9130001,1.9120001,2.552,-0.63900006,0.124000005,0.92300004,0.933,0.71500003,0.72400004,1.667,2.1560001,0.0,0.23200001,Linear_observed,stoch
114.0,1.8850001,1.8830001,2.552,-0.66700006,0.172,1.1110001,1.166,0.808,0.84800005,1.554,2.226,0.0,0.404,GP_observed,stoch
114.0,0.49100003,0.48900002,0.57900006,-0.08800001,0.032,0.22200002,0.257,0.162,0.192,0.43100002,0.558,0.0,0.84000003,Linear_3S,dynamic
114.0,2.0370002,2.033,2.552,-0.51500005,0.125,0.708,0.767,0.56,0.605,1.7990001,2.288,0.0,0.58000004,Linear_3S,stoch
114.0,0.49600002,0.49500003,0.57900006,-0.083000004,0.039,0.24100001,0.35200003,0.17,0.23900001,0.423,0.577,0.0,0.96400005,GP_3S,dynamic
114.0,1.96,1.9580001,2.552,-0.592,0.134,0.776,0.933,0.61700004,0.72400004,1.7,2.2280002,0.0,0.88000005,GP_3S,stoch
114.0,0.63600004,0.63600004,0.57900006,0.057000004,0.027,0.19900002,0.20400001,0.164,0.16700001,0.583,0.688,0.0,0.208,Linear_1S,dynamic
114.0,0.63000005,0.63100004,0.57900006,0.051000003,0.032,0.256,0.289,0.192,0.20600002,0.564,0.69100004,1.0,0.446,GP_1S,dynamic
114.0,2.6910002,2.6910002,2.552,0.13900001,0.117000006,0.44200003,0.45900002,0.35200003,0.36400002,2.4550002,2.917,1.0,0.39400002,Linear_1S,stoch
114.0,2.647,2.6490002,2.552,0.095000006,0.14600001,0.62,0.68100005,0.423,0.45600003,2.361,2.9320002,1.0,0.59800005,GP_1S,stoch
169.0,0.74500006,0.74500006,0.74600005,-0.001,0.020000001,0.002,0.037,0.001,0.020000001,0.70600003,0.78400004,1.0,1.0,Linear_oracle,dynamic
169.0,0.735,0.734,0.74600005,-0.011000001,0.022000002,0.112,0.17500001,0.054,0.079,0.69200003,0.77800006,1.0,1.0,GP_oracle,dynamic
