post_mean,post_median,post_std,q025,q975,estimand,model,method
0.2160017043352127,0.21487843990325928,0.02474462427198887,0.1708471179008484,0.2685576379299164,stoch_30,observed,observed
0.18847179412841797,0.18498626351356506,0.034319665282964706,0.1303488314151764,0.26402366161346436,stoch_50,observed,observed
0.1718987077474594,0.16410097479820251,0.04908911883831024,0.09861741214990616,0.2861758768558502,stoch_70,observed,observed
0.2298184484243393,0.22963806986808777,0.01655590906739235,0.19838279485702515,0.26318594813346863,stoch_30,one_noisy,onestage
0.20156937837600708,0.20000824332237244,0.022551078349351883,0.16158342361450195,0.2504611015319824,stoch_50,one_noisy,onestage
0.17842145264148712,0.1736689656972885,0.03280269727110863,0.12687022984027863,0.25451943278312683,stoch_70,one_noisy,onestage
0.25224652886390686,0.2517266571521759,0.021672332659363747,0.21143032610416412,0.2957286536693573,stoch_30,repeated_noisy,onestage
0.25541162490844727,0.2534979581832886,0.04118967801332474,0.18029434978961945,0.341516375541687,stoch_50,repeated_noisy,onestage
0.2514846920967102,0.2447252869606018,0.065190389752388,0.14280563592910767,0.39421483874320984,stoch_70,repeated_noisy,onestage
0.23013077676296234,0.22978709638118744,0.018416300415992737,0.19565340876579285,0.26724740862846375,stoch_30,multilayer,onestage
0.20756398141384125,0.20503297448158264,0.02913830243051052,0.1576123982667923,0.27052953839302063,stoch_50,multilayer,onestage
0.19318881630897522,0.18747253715991974,0.044273752719163895,0.12332119047641754,0.2897258698940277,stoch_70,multilayer,onestage
0.23080609738826752,0.2311689853668213,0.016321904957294464,0.19918406009674072,0.26228857040405273,stoch_30,one_noisy,multistage
0.20279350876808167,0.2015370875597,0.020626841112971306,0.16699860990047455,0.24516355991363525,stoch_50,one_noisy,multistage
0.18053273856639862,0.17661675810813904,0.029848773032426834,0.1336483657360077,0.24788744747638702,stoch_70,one_noisy,multistage
0.2502000629901886,0.250460147857666,0.01970513164997101,0.21060025691986084,0.2882034182548523,stoch_30,repeated_noisy,multistage
0.25156667828559875,0.2495989203453064,0.039314109832048416,0.1797293722629547,0.32927340269088745,stoch_50,repeated_noisy,multistage
0.2502500116825104,0.24247734248638153,0.065957210958004,0.13991209864616394,0.38582712411880493,stoch_70,repeated_noisy,multistage
0.23112662136554718,0.23153984546661377,0.01906874030828476,0.19245876371860504,0.26735714077949524,stoch_30,multilayer,multistage
0.20881861448287964,0.20755358040332794,0.028953976929187775,0.15650412440299988,0.2683764100074768,stoch_50,multilayer,multistage
0.19564996659755707,0.19125893712043762,0.04298583045601845,0.12393396347761154,0.2860028147697449,stoch_70,multilayer,multistage
