idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
123.0,1.649,1.6470001,2.5370002,-0.8880001,0.109000005,1.107,1.113,0.91300005,0.91600007,1.4310001,1.8620001,0.0,0.098000005,Linear_observed,stoch
123.0,1.7490001,1.7500001,2.5370002,-0.78800005,0.119,1.2390001,1.276,0.99600005,1.013,1.5090001,1.9820001,0.0,0.28800002,GP_observed,stoch
123.0,0.441,0.441,0.544,-0.10300001,0.030000001,0.24300002,0.26900002,0.178,0.201,0.38500002,0.504,0.0,0.776,Linear_3S,dynamic
123.0,2.0830002,2.082,2.5370002,-0.45400003,0.126,0.651,0.71300006,0.513,0.563,1.838,2.335,0.0,0.614,Linear_3S,stoch
123.0,0.41400003,0.41400003,0.544,-0.13000001,0.035,0.29000002,0.38200003,0.19600001,0.25,0.34500003,0.483,0.0,0.91800004,GP_3S,dynamic
123.0,1.9360001,1.9360001,2.5370002,-0.601,0.13900001,0.81500006,0.96800005,0.63100004,0.73,1.6630001,2.206,0.0,0.88400006,GP_3S,stoch
123.0,0.577,0.57600003,0.544,0.033,0.025,0.21000001,0.21400002,0.171,0.17300001,0.528,0.62600005,1.0,0.18,Linear_1S,dynamic
123.0,0.564,0.56600004,0.544,0.020000001,0.034,0.305,0.34,0.209,0.223,0.49300003,0.628,1.0,0.42400002,GP_1S,dynamic
123.0,2.7500002,2.7480001,2.5370002,0.21300001,0.12200001,0.45800003,0.476,0.37,0.38200003,2.512,2.992,1.0,0.38200003,Linear_1S,stoch
123.0,2.7440002,2.743,2.5370002,0.20700002,0.17600001,0.76900005,0.83800006,0.521,0.55600005,2.39,3.0870001,1.0,0.568,GP_1S,stoch
178.0,0.82500005,0.82500005,0.81000006,0.015000001,0.020000001,0.035,0.052,0.016,0.026,0.78800005,0.864,1.0,1.0,Linear_oracle,dynamic
178.0,0.799,0.799,0.81000006,-0.011000001,0.021000002,0.201,0.231,0.09200001,0.108,0.757,0.841,1.0,0.846,GP_oracle,dynamic
178.0,2.726,2.726,2.6790001,0.047000002,0.069000006,0.048,0.09,0.048,0.069000006,2.5930002,2.8600001,1.0,1.0,Linear_oracle,stoch
178.0,2.657,2.6580002,2.6790001,-0.022000002,0.072000004,0.49,0.523,0.22200002,0.23900001,2.5180001,2.7960002,1.0,0.73,GP_oracle,stoch
