idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
162,0.64000005,0.63900006,0.71900004,-0.079,0.036000002,0.24300002,0.303,0.18200001,0.231,0.574,0.71300006,0,0.90000004,Linear_3S,dynamic
162,2.374,2.371,2.6450002,-0.27100003,0.11400001,0.485,0.59000003,0.38200003,0.46400002,2.157,2.6020002,0,0.846,Linear_3S,stoch
162,0.628,0.62700003,0.71900004,-0.091000006,0.039,0.26500002,0.37300003,0.19700001,0.27,0.555,0.707,0,0.92200005,GP_3S,dynamic
162,2.272,2.2700002,2.6450002,-0.37300003,0.127,0.554,0.77400005,0.44300002,0.61200005,2.0300002,2.529,0,0.966,GP_3S,stoch
162,0.78400004,0.78400004,0.71900004,0.065000005,0.026,0.24100001,0.245,0.193,0.194,0.73200005,0.83500004,0,0.18,Linear_1S,dynamic
162,0.767,0.767,0.71900004,0.048,0.030000001,0.284,0.319,0.209,0.224,0.70900005,0.82600003,1,0.46800002,GP_1S,dynamic
162,2.9520001,2.9510002,2.6450002,0.307,0.10300001,0.503,0.51600003,0.402,0.41000003,2.7480001,3.1550002,0,0.28,Linear_1S,stoch
162,2.831,2.8300002,2.6450002,0.186,0.12200001,0.499,0.572,0.38200003,0.42000002,2.5970001,3.0690002,1,0.55,GP_1S,stoch
217,0.65300006,0.652,0.647,0.006,0.017,0.016,0.038000003,0.006,0.019000001,0.619,0.68500006,1,1,Linear_oracle,dynamic
217,0.64100003,0.64100003,0.647,-0.006,0.018000001,0.065000005,0.108,0.017,0.048,0.605,0.67600006,1,1,GP_oracle,dynamic
217,2.66,2.66,2.64,0.020000001,0.074,0.020000001,0.083000004,0.020000001,0.062000003,2.5140002,2.8040001,1,1,Linear_oracle,stoch
217,2.627,2.6260002,2.64,-0.013,0.081,0.18,0.245,0.05,0.120000005,2.4680002,2.786,1,1,GP_oracle,stoch
217,0.47300002,0.47200003,0.647,-0.17400001,0.038000003,0.3,0.305,0.21800001,0.224,0.39900002,0.549,0,0.27400002,Linear_observed,dynamic
217,0.25300002,0.25300002,0.647,-0.39400002,0.07,0.476,0.50200003,0.4,0.41000003,0.115,0.388,0,0.33400002,GP_observed,dynamic
217,1.5760001,1.5740001,2.64,-1.064,0.123,1.263,1.269,1.072,1.074,1.338,1.8190001,0,0.08400001,Linear_observed,stoch
217,1.6110001,1.6110001,2.64,-1.029,0.12900001,1.3230001,1.3610001,1.0830001,1.107,1.3590001,1.868,0,0.246,GP_observed,stoch
