idx,mean,median,TRUE,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
139,3.278,3.278,4.5670004,-1.289,0.12900001,2.0570002,1.6250001,0.83800006,3.028,3.5310001,0,0.19000001,GP_observed,dynamic
139,5.1080003,5.1080003,5.9540005,-0.846,0.105000004,1.5790001,1.088,0.18,4.9030004,5.3100004,0,0.21000001,Linear_observed,stoch
139,6.294,6.294,5.9540005,0.34,0.19000001,1.222,0.92,0.164,5.9210005,6.663,1,0.358,GP_observed,stoch
139,4.4760003,4.4750004,4.5670004,-0.091000006,0.072000004,0.51900005,0.39600003,0.314,4.3380003,4.6200004,1,0.896,Linear_3S,dynamic
139,4.373,4.372,4.5670004,-0.194,0.08400001,0.683,0.46500003,0.34,4.209,4.5400004,0,0.82600003,GP_3S,dynamic
139,5.6510005,5.649,5.9540005,-0.303,0.102000006,0.60800004,0.46400002,0.078,5.4490004,5.8550005,0,0.83000004,Linear_3S,stoch
139,5.3690004,5.373,5.9540005,-0.58500004,0.13900001,1.0680001,0.70500004,0.11100001,5.085,5.63,0,0.814,GP_3S,stoch
139,4.5350003,4.5360003,4.5670004,-0.032,0.056,0.46400002,0.36400002,0.31100002,4.426,4.6450005,1,0.36200002,Linear_1S,dynamic
139,4.5280004,4.5280004,4.5670004,-0.039,0.079,0.646,0.42800003,0.377,4.373,4.6850004,1,0.558,GP_1S,dynamic
139,5.8360004,5.8350005,5.9540005,-0.11800001,0.085,0.48000002,0.379,0.069000006,5.67,6.0020003,1,0.36,Linear_1S,stoch
139,5.709,5.715,5.9540005,-0.245,0.134,0.88400006,0.56600004,0.095000006,5.432,5.9570003,1,0.52000004,GP_1S,stoch
194,5.879,5.8780003,5.7960005,0.083000004,0.076000005,0.14600001,0.113000005,0.020000001,5.7300005,6.0270004,1,1,Linear_oracle,dynamic
194,5.6930003,5.695,5.7960005,-0.10300001,0.108,0.83300006,0.36900002,0.07300001,5.4750004,5.9,1,0.92,GP_oracle,dynamic
194,6.0480003,6.0480003,5.9570003,0.091000006,0.083000004,0.123,0.1,0.015000001,5.886,6.2110004,1,1,Linear_oracle,stoch
194,5.794,5.7970004,5.9570003,-0.163,0.115,1.0040001,0.44300002,0.065000005,5.5620003,6.0140004,1,0.89000005,GP_oracle,stoch
194,4.8190002,4.8190002,5.7960005,-0.97700006,0.079,1.549,1.107,0.25800002,4.663,4.9740005,0,0.19600001,Linear_observed,dynamic
194,4.9550004,4.9550004,5.7960005,-0.841,0.12100001,1.547,1.2040001,0.30400002,4.7200003,5.195,0,0.30200002,GP_observed,dynamic
194,5.433,5.432,5.9570003,-0.52400005,0.124000005,1.396,0.99700004,0.177,5.19,5.6780005,0,0.24200001,Linear_observed,stoch
194,6.176,6.1780005,5.9570003,0.21900001,0.216,1.442,1.123,0.201,5.747,6.5940003,1,0.24400002,GP_observed,stoch
194,5.585,5.5820003,5.7960005,-0.21100001,0.104,0.572,0.44900003,0.10700001,5.38,5.794,0,0.92200005,Linear_3S,dynamic
194,5.2580004,5.2590003,5.7960005,-0.53800005,0.128,1.1880001,0.711,0.15100001,5.0020003,5.5070004,0,0.882,GP_3S,dynamic
194,5.6860003,5.683,5.9570003,-0.27100003,0.11000001,0.57500005,0.44000003,0.078,5.4700003,5.906,0,0.88000005,Linear_3S,stoch
194,5.3360004,5.3380003,5.9570003,-0.62100005,0.136,1.3330001,0.76400006,0.119,5.0620003,5.596,0,0.836,GP_3S,stoch
194,5.7850003,5.7850003,5.7960005,-0.011000001,0.085,0.49300003,0.39400002,0.102000006,5.617,5.952,1,0.356,Linear_1S,dynamic
194,5.544,5.545,5.7960005,-0.252,0.12100001,1.0760001,0.63000005,0.14400001,5.302,5.782,0,0.564,GP_1S,dynamic
194,5.912,5.912,5.9570003,-0.045,0.09200001,0.45800003,0.36600003,0.069000006,5.729,6.0920005,1,0.358,Linear_1S,stoch
194,5.6320004,5.6330004,5.9570003,-0.32500002,0.125,1.202,0.67200005,0.10700001,5.38,5.873,0,0.48800004,GP_1S,stoch
249,5.352,5.3510003,5.3190002,0.033,0.056,0.087000005,0.058000002,0.015000001,5.242,5.4620004,1,1,Linear_oracle,dynamic
249,5.2700005,5.2700005,5.3190002,-0.049000002,0.075,0.59300005,0.30200002,0.20400001,5.1210003,5.4150004,1,0.832,GP_oracle,dynamic
249,6.1280003,6.1280003,6.0660005,0.062000003,0.071,0.104,0.07,0.011000001,5.9870005,6.2660003,1,1,Linear_oracle,stoch
249,5.977,5.978,6.0660005,-0.089,0.09,0.82100004,0.41900003,0.066,5.7990003,6.1510005,1,0.65400004,GP_oracle,stoch
249,4.269,4.269,5.3190002,-1.0500001,0.07300001,1.616,1.151,0.30200002,4.1260004,4.4110003,0,0.17400001,Linear_observed,dynamic
249,4.0620003,4.0620003,5.3190002,-1.2570001,0.117000006,2.252,1.7750001,0.60700005,3.8330002,4.293,0,0.18400002,GP_observed,dynamic
249,5.3290005,5.328,6.0660005,-0.73700005,0.112,1.544,1.095,0.178,5.1080003,5.5460005,0,0.20600002,Linear_observed,stoch
249,6.445,6.445,6.0660005,0.379,0.16900001,1.3490001,1.0660001,0.18800001,6.1130004,6.7700005,0,0.24400002,GP_observed,stoch
249,5.1870003,5.1850004,5.3190002,-0.132,0.085,0.58000004,0.45800003,0.141,5.0220003,5.3580003,1,0.90400004,Linear_3S,dynamic
249,4.9740005,4.9740005,5.3190002,-0.34500003,0.102000006,0.89900005,0.62700003,0.284,4.7710004,5.1730003,0,0.818,GP_3S,dynamic
249,5.8780003,5.8760004,6.0660005,-0.18800001,0.10300001,0.546,0.42800003,0.076000005,5.6740003,6.083,1,0.89400005,Linear_3S,stoch
249,5.5940003,5.5950003,6.0660005,-0.47200003,0.128,1.1340001,0.72400004,0.115,5.335,5.841,0,0.81000006,GP_3S,stoch
249,5.3100004,5.3100004,5.3190002,-0.009000001,0.064,0.558,0.44000003,0.13900001,5.1850004,5.4350004,1,0.3,Linear_1S,dynamic
249,5.1860003,5.1870003,5.3190002,-0.133,0.09,0.82600003,0.58400005,0.28800002,5.006,5.359,1,0.45200002,GP_1S,dynamic
249,6.084,6.084,6.0660005,0.018000001,0.083000004,0.5,0.397,0.074,5.9230003,6.247,1,0.296,Linear_1S,stoch
249,5.899,5.9020004,6.0660005,-0.16700001,0.109000005,0.99200004,0.65300006,0.11100001,5.6740003,6.1060004,1,0.42600003,GP_1S,stoch
304,4.846,4.846,4.9440002,-0.098000005,0.053000003,0.14500001,0.112,0.024,4.742,4.9500003,1,0.86600006,Linear_oracle,dynamic
304,4.789,4.7900004,4.9440002,-0.155,0.067,0.528,0.23200001,0.058000002,4.656,4.92,0,0.882,GP_oracle,dynamic
304,5.696,5.696,5.8190002,-0.123,0.071,0.13800001,0.123,0.020000001,5.558,5.834,1,1,Linear_oracle,stoch
304,5.517,5.517,5.8190002,-0.30200002,0.081,0.65000004,0.328,0.157,5.359,5.675,0,0.628,GP_oracle,stoch
304,4.1800003,4.1800003,4.9440002,-0.76400006,0.066,1.4430001,0.94200003,0.208,4.0490003,4.308,0,0.202,Linear_observed,dynamic
304,4.0010004,4,4.9440002,-0.943,0.098000005,1.7190001,1.312,0.381,3.811,4.195,0,0.21800001,GP_observed,dynamic
304,5.136,5.137,5.8190002,-0.683,0.108,1.463,0.98600006,0.312,4.9230003,5.346,0,0.22000001,Linear_observed,stoch
304,6.2690005,6.2700005,5.8190002,0.45000002,0.15100001,1.3060001,1.024,0.36200002,5.973,6.5620003,0,0.27800003,GP_observed,stoch
304,4.75,4.749,4.9440002,-0.194,0.074,0.614,0.48000002,0.133,4.6070004,4.9,0,0.83000004,Linear_3S,dynamic
304,4.578,4.577,4.9440002,-0.36600003,0.086,0.822,0.583,0.155,4.4110003,4.7460003,0,0.748,GP_3S,dynamic
304,5.5220003,5.5200005,5.8190002,-0.29700002,0.096,0.61200005,0.47300002,0.123,5.3320003,5.7130003,0,0.84400004,Linear_3S,stoch
304,5.2060003,5.209,5.8190002,-0.61300004,0.120000005,1.0350001,0.698,0.22800002,4.964,5.4340005,0,0.786,GP_3S,stoch
304,4.8500004,4.8490005,4.9440002,-0.094000004,0.058000002,0.532,0.42900002,0.126,4.734,4.964,1,0.316,Linear_1S,dynamic
304,4.7180004,4.7190003,4.9440002,-0.22600001,0.078,0.748,0.522,0.14400001,4.565,4.8710003,0,0.42400002,GP_1S,dynamic
304,5.7300005,5.729,5.8190002,-0.089,0.080000006,0.476,0.379,0.132,5.5740004,5.886,1,0.316,Linear_1S,stoch
304,5.4540005,5.4570003,5.8190002,-0.365,0.108,0.85300004,0.559,0.18100001,5.229,5.6580005,0,0.462,GP_1S,stoch
359,4.7060003,4.7060003,4.676,0.030000001,0.053000003,0.072000004,0.059000004,0.029000001,4.603,4.8110003,1,0.98800004,Linear_oracle,dynamic
359,4.6990004,4.6980004,4.676,0.023000002,0.075,0.33100003,0.165,0.10700001,4.55,4.8440003,1,0.94600004,GP_oracle,dynamic
359,5.885,5.885,5.8840003,0.001,0.074,0.096,0.074,0.015000001,5.741,6.0290003,1,0.99000007,Linear_oracle,stoch
359,5.7650003,5.7660003,5.8840003,-0.119,0.105000004,0.85800004,0.388,0.060000002,5.55,5.965,1,0.86800003,GP_oracle,stoch
359,3.7100003,3.7100003,4.676,-0.966,0.079,1.473,1.0320001,0.277,3.5560002,3.864,0,0.208,Linear_observed,dynamic
359,3.0410001,3.0410001,4.676,-1.6350001,0.126,2.308,1.8210001,0.65900004,2.7930002,3.2860003,0,0.21800001,GP_observed,dynamic
359,4.985,4.985,5.8840003,-0.89900005,0.105000004,1.626,1.108,0.178,4.7790003,5.1930003,0,0.20600002,Linear_observed,stoch
359,6.28,6.281,5.8840003,0.39600003,0.156,1.2240001,0.93700004,0.171,5.972,6.583,0,0.35000002,GP_observed,stoch
359,4.6590004,4.657,4.676,-0.017,0.078,0.49500003,0.388,0.15300001,4.511,4.815,1,0.91400003,Linear_3S,dynamic
