idx,mean,median,true,bias,std,RMSE,MAE,q025,q975,covering,mean_ind_cover,method,estimand
3.0,1.177,1.177,1.172,0.0050000004,0.033,0.006,0.0050000004,1.1120001,1.241,1.0,1.0,Linear_oracle,dynamic
3.0,1.151,1.148,1.172,-0.021000002,0.047000002,0.19900002,0.094000004,1.065,1.2520001,1.0,0.998,GP_oracle,dynamic
3.0,3.8170002,3.818,3.801,0.016,0.106000006,0.017,0.016,3.6090002,4.026,1.0,1.0,Linear_oracle,stoch
3.0,3.5930002,3.6000001,3.801,-0.208,0.18400002,0.418,0.216,3.2150002,3.9410002,1.0,0.98600006,GP_oracle,stoch
3.0,0.8880001,0.8880001,1.172,-0.284,0.066,0.48800004,0.38700002,0.758,1.0170001,0.0,0.238,Linear_observed,dynamic
3.0,0.83100003,0.83100003,1.172,-0.34100002,0.067,0.688,0.563,0.70000005,0.96400005,0.0,0.272,GP_observed,dynamic
3.0,2.7140002,2.7150002,3.801,-1.087,0.19000001,1.338,1.093,2.342,3.084,0.0,0.16000001,Linear_observed,stoch
3.0,3.4570003,3.4550002,3.801,-0.344,0.27400002,1.3850001,1.2030001,2.9210002,3.9970002,1.0,0.238,GP_observed,stoch
3.0,1.054,1.052,1.172,-0.11800001,0.051000003,0.289,0.22800002,0.96300006,1.161,0.0,0.864,Linear_3S,dynamic
3.0,0.84700006,0.85,1.172,-0.32500002,0.08400001,0.51500005,0.38200003,0.675,1.0020001,0.0,0.87600005,GP_3S,dynamic
3.0,3.43,3.4240003,3.801,-0.37100002,0.155,0.47200003,0.395,3.1520002,3.7540002,0.0,0.75600004,Linear_3S,stoch
3.0,2.3530002,2.354,3.801,-1.4480001,0.293,1.5000001,1.4490001,1.7800001,2.917,0.0,0.14600001,GP_3S,stoch
3.0,1.213,1.212,1.172,0.041,0.043,0.26200002,0.21000001,1.128,1.2980001,1.0,0.27800003,Linear_1S,dynamic
3.0,1.151,1.149,1.172,-0.021000002,0.078,0.36200002,0.261,1.001,1.3180001,1.0,0.564,GP_1S,dynamic
3.0,3.9370003,3.936,3.801,0.136,0.13800001,0.294,0.23400001,3.6650002,4.21,1.0,0.63600004,Linear_1S,stoch
3.0,3.4450002,3.4680002,3.801,-0.356,0.35700002,0.60400003,0.41400003,2.6880002,4.092,1.0,0.96000004,GP_1S,stoch
58.0,1.0940001,1.0940001,1.1040001,-0.010000001,0.030000001,0.011000001,0.009000001,1.034,1.154,1.0,1.0,Linear_oracle,dynamic
58.0,1.0810001,1.0810001,1.1040001,-0.023000002,0.047000002,0.32000002,0.15900001,0.9850001,1.172,1.0,0.71400005,GP_oracle,dynamic
58.0,3.8980002,3.8980002,3.9310002,-0.033,0.11000001,0.035,0.033,3.68,4.116,1.0,1.0,Linear_oracle,stoch
58.0,3.9620001,3.9610002,3.9310002,0.031000001,0.17300001,0.79800004,0.47900003,3.63,4.309,1.0,0.896,GP_oracle,stoch
58.0,0.8880001,0.8880001,1.1040001,-0.216,0.064,0.425,0.335,0.763,1.0150001,0.0,0.27800003,Linear_observed,dynamic
58.0,0.652,0.652,1.1040001,-0.45200002,0.07,0.62700003,0.54200006,0.514,0.78900003,0.0,0.22000001,GP_observed,dynamic
58.0,2.713,2.7120001,3.9310002,-1.218,0.18800001,1.445,1.2190001,2.348,3.0820003,0.0,0.086,Linear_observed,stoch
58.0,2.9650002,2.963,3.9310002,-0.966,0.22100002,1.6040001,1.3130001,2.5300002,3.4,0.0,0.35000002,GP_observed,stoch
58.0,0.9620001,0.96000004,1.1040001,-0.142,0.043,0.268,0.21000001,0.88100004,1.051,0.0,0.85200006,Linear_3S,dynamic
58.0,0.776,0.781,1.1040001,-0.328,0.083000004,0.52500004,0.365,0.6,0.92300004,0.0,0.82600003,GP_3S,dynamic
58.0,3.3390002,3.334,3.9310002,-0.592,0.143,0.67,0.595,3.072,3.634,0.0,0.42600003,Linear_3S,stoch
58.0,2.5970001,2.5970001,3.9310002,-1.3340001,0.24100001,1.4610001,1.335,2.124,3.0630002,0.0,0.20400001,GP_3S,stoch
58.0,1.0730001,1.0730001,1.1040001,-0.031000001,0.037,0.223,0.17600001,1.0,1.146,1.0,0.298,Linear_1S,dynamic
58.0,1.0220001,1.0220001,1.1040001,-0.082,0.064,0.38000003,0.256,0.89500004,1.1500001,1.0,0.51000005,GP_1S,dynamic
58.0,3.7350001,3.7340002,3.9310002,-0.19600001,0.132,0.326,0.261,3.4770002,3.9950001,1.0,0.564,Linear_1S,stoch
58.0,3.5210001,3.5270002,3.9310002,-0.41000003,0.25,0.809,0.46400002,3.012,3.999,1.0,0.82400006,GP_1S,stoch
113.0,1.5510001,1.5510001,1.5320001,0.019000001,0.041,0.022000002,0.018000001,1.4690001,1.6320001,1.0,1.0,Linear_oracle,dynamic
113.0,1.4840001,1.483,1.5320001,-0.048,0.058000002,0.097,0.065000005,1.373,1.6010001,1.0,1.0,GP_oracle,dynamic
113.0,3.7920003,3.7920003,3.7470002,0.045,0.09900001,0.046000004,0.045,3.5950003,3.9870002,1.0,1.0,Linear_oracle,stoch
113.0,3.4900002,3.489,3.7470002,-0.257,0.16100001,0.29500002,0.263,3.1740003,3.8040001,1.0,1.0,GP_oracle,stoch
113.0,0.98300004,0.98300004,1.5320001,-0.549,0.074,0.70600003,0.583,0.837,1.126,0.0,0.16000001,Linear_observed,dynamic
113.0,0.61700004,0.61600006,1.5320001,-0.915,0.08800001,1.0370001,0.94900006,0.448,0.79200006,0.0,0.082,GP_observed,dynamic
113.0,2.338,2.338,3.7470002,-1.409,0.164,1.6,1.4100001,2.016,2.6560001,0.0,0.014,Linear_observed,stoch
113.0,2.729,2.729,3.7470002,-1.018,0.17600001,1.5610001,1.332,2.391,3.0800002,0.0,0.21000001,GP_observed,stoch
113.0,1.3640001,1.3620001,1.5320001,-0.16800001,0.062000003,0.34300002,0.272,1.2490001,1.491,0.0,0.87000006,Linear_3S,dynamic
113.0,1.082,1.085,1.5320001,-0.45000002,0.093,0.57500005,0.47400004,0.89100003,1.2550001,0.0,0.77800006,GP_3S,dynamic
113.0,3.3850002,3.38,3.7470002,-0.36200002,0.143,0.45900002,0.38500002,3.118,3.6750002,0.0,0.772,Linear_3S,stoch
113.0,2.433,2.4380002,3.7470002,-1.314,0.238,1.3570001,1.314,1.9510001,2.8850002,0.0,0.21400002,GP_3S,stoch
113.0,1.5400001,1.5400001,1.5320001,0.008,0.051000003,0.291,0.22800002,1.44,1.6420001,1.0,0.30800003,Linear_1S,dynamic
113.0,1.4070001,1.4080001,1.5320001,-0.125,0.09,0.34,0.261,1.2260001,1.5830001,1.0,0.578,GP_1S,dynamic
113.0,3.8100002,3.8090003,3.7470002,0.063,0.125,0.259,0.209,3.565,4.058,1.0,0.642,Linear_1S,stoch
113.0,3.2680001,3.2770002,3.7470002,-0.47900003,0.27400002,0.572,0.48800004,2.71,3.7860003,1.0,0.70000005,GP_1S,stoch
168.0,1.072,1.072,1.098,-0.026,0.032,0.031000001,0.029000001,1.0090001,1.1350001,1.0,1.0,Linear_oracle,dynamic
168.0,1.0940001,1.093,1.098,-0.004,0.048,0.086,0.058000002,1.0040001,1.1930001,1.0,1.0,GP_oracle,dynamic
168.0,3.8790002,3.8790002,3.9640002,-0.085,0.112,0.091000006,0.085,3.657,4.099,1.0,1.0,Linear_oracle,stoch
168.0,3.8650002,3.864,3.9640002,-0.09900001,0.17300001,0.31,0.12100001,3.5310001,4.208,1.0,1.0,GP_oracle,stoch
168.0,0.698,0.69900006,1.098,-0.4,0.053000003,0.512,0.42400002,0.591,0.80300003,0.0,0.16800001,Linear_observed,dynamic
168.0,0.45700002,0.45700002,1.098,-0.64100003,0.07700001,0.74600005,0.665,0.30600002,0.60700005,0.0,0.156,GP_observed,dynamic
168.0,2.5470002,2.548,3.9640002,-1.417,0.18100001,1.608,1.417,2.184,2.9020002,0.0,0.040000003,Linear_observed,stoch
168.0,2.9350002,2.9310002,3.9640002,-1.029,0.24000001,1.6090001,1.3770001,2.47,3.4120002,0.0,0.32200003,GP_observed,stoch
168.0,0.9480001,0.947,1.098,-0.15,0.046000004,0.28500003,0.224,0.864,1.042,0.0,0.86800003,Linear_3S,dynamic
168.0,0.813,0.81500006,1.098,-0.28500003,0.066,0.425,0.33200002,0.67600006,0.93700004,0.0,0.836,GP_3S,dynamic
168.0,3.4010003,3.397,3.9640002,-0.563,0.149,0.648,0.56700003,3.1260002,3.7120001,0.0,0.49600002,Linear_3S,stoch
168.0,2.739,2.739,3.9640002,-1.225,0.22900002,1.309,1.225,2.292,3.183,0.0,0.27,GP_3S,stoch
168.0,1.0680001,1.0680001,1.098,-0.030000001,0.040000003,0.24200001,0.19000001,0.989,1.146,1.0,0.272,Linear_1S,dynamic
168.0,1.026,1.026,1.098,-0.072000004,0.060000002,0.31300002,0.23500001,0.90900004,1.146,1.0,0.52400005,GP_1S,dynamic
168.0,3.8040001,3.8040001,3.9640002,-0.16000001,0.136,0.32500002,0.252,3.5360003,4.0740004,1.0,0.60200006,Linear_1S,stoch
168.0,3.5140002,3.5200002,3.9640002,-0.45000002,0.24300002,0.688,0.48600003,3.0080001,3.9770002,1.0,0.762,GP_1S,stoch
223.0,1.319,1.319,1.319,0.0,0.038000003,0.025,0.017,1.2440001,1.394,1.0,1.0,Linear_oracle,dynamic
223.0,1.1700001,1.174,1.319,-0.149,0.065000005,0.33,0.18400002,1.031,1.2850001,0.0,0.666,GP_oracle,dynamic
223.0,3.9960003,3.9960003,3.992,0.004,0.11800001,0.010000001,0.006,3.762,4.227,1.0,1.0,Linear_oracle,stoch
223.0,3.4220002,3.4250002,3.992,-0.57000005,0.194,0.67200005,0.57100004,3.0300002,3.7910001,0.0,0.32200003,GP_oracle,stoch
223.0,1.036,1.036,1.319,-0.28300002,0.074,0.48700002,0.36900002,0.89100003,1.182,0.0,0.30400002,Linear_observed,dynamic
223.0,0.748,0.748,1.319,-0.57100004,0.079,0.73700005,0.65000004,0.595,0.90400004,0.0,0.18400002,GP_observed,dynamic
223.0,2.677,2.6780002,3.992,-1.315,0.18300001,1.5120001,1.315,2.3170002,3.0400002,0.0,0.044000003,Linear_observed,stoch
223.0,2.926,2.927,3.992,-1.0660001,0.2,1.5560001,1.3280001,2.5400002,3.3240001,0.0,0.27600002,GP_observed,stoch
223.0,1.1830001,1.1810001,1.319,-0.136,0.052,0.26900002,0.208,1.0890001,1.2930001,0.0,0.87600005,Linear_3S,dynamic
223.0,0.92200005,0.92600006,1.319,-0.397,0.087000005,0.73200005,0.46500003,0.74300003,1.0830001,0.0,0.77400005,GP_3S,dynamic
223.0,3.542,3.535,3.992,-0.45000002,0.148,0.54300004,0.46100003,3.2710001,3.8550003,0.0,0.624,Linear_3S,stoch
223.0,2.7110002,2.707,3.992,-1.281,0.187,1.44,1.2820001,2.354,3.0890002,0.0,0.388,GP_3S,stoch
223.0,1.307,1.307,1.319,-0.012,0.043,0.23400001,0.18400002,1.222,1.3920001,1.0,0.3,Linear_1S,dynamic
223.0,1.0550001,1.056,1.319,-0.264,0.081,0.628,0.386,0.892,1.2110001,0.0,0.388,GP_1S,dynamic
223.0,3.9280002,3.9290001,3.992,-0.064,0.133,0.29000002,0.23500001,3.6660001,4.188,1.0,0.62600005,Linear_1S,stoch
223.0,3.051,3.048,3.992,-0.94100004,0.21700001,1.146,0.95300007,2.6320002,3.489,0.0,0.21400002,GP_1S,stoch
278.0,1.317,1.317,1.338,-0.021000002,0.040000003,0.024,0.021000002,1.238,1.396,1.0,1.0,Linear_oracle,dynamic
278.0,1.274,1.274,1.338,-0.064,0.048,0.21000001,0.105000004,1.1780001,1.368,1.0,0.9480001,GP_oracle,dynamic
278.0,3.8560002,3.8550003,3.9160001,-0.060000002,0.116000004,0.062000003,0.060000002,3.6280003,4.084,1.0,1.0,Linear_oracle,stoch
278.0,3.5630002,3.5660002,3.9160001,-0.35300002,0.149,0.59900004,0.35200003,3.262,3.8450003,0.0,0.83400005,GP_oracle,stoch
278.0,0.96300006,0.96300006,1.338,-0.37500003,0.069000006,0.52400005,0.43,0.827,1.1,0.0,0.23,Linear_observed,dynamic
278.0,0.71900004,0.72,1.338,-0.619,0.083000004,0.75200003,0.66400003,0.55700004,0.88100004,0.0,0.186,GP_observed,dynamic
278.0,2.7210002,2.72,3.9160001,-1.195,0.18400002,1.4430001,1.2,2.3560002,3.085,0.0,0.124000005,Linear_observed,stoch
278.0,3.4550002,3.4550002,3.9160001,-0.46100003,0.275,1.5300001,1.348,2.917,3.9950001,1.0,0.246,GP_observed,stoch
278.0,1.176,1.1750001,1.338,-0.162,0.048,0.31,0.24300002,1.0830001,1.273,0.0,0.85800004,Linear_3S,dynamic
278.0,1.0400001,1.046,1.338,-0.298,0.08400001,0.508,0.36800003,0.859,1.19,0.0,0.89800006,GP_3S,dynamic
278.0,3.4370003,3.436,3.9160001,-0.47900003,0.128,0.568,0.49100003,3.186,3.6940002,0.0,0.536,Linear_3S,stoch
278.0,2.801,2.802,3.9160001,-1.115,0.209,1.3340001,1.1140001,2.388,3.2050002,0.0,0.574,GP_3S,stoch
278.0,1.296,1.2950001,1.338,-0.042000003,0.045,0.26700002,0.21100001,1.207,1.3850001,1.0,0.296,Linear_1S,dynamic
278.0,1.2650001,1.2650001,1.338,-0.07300001,0.07,0.349,0.256,1.126,1.404,1.0,0.578,GP_1S,dynamic
278.0,3.775,3.7740002,3.9160001,-0.141,0.12900001,0.31300002,0.25100002,3.5200002,4.0290003,1.0,0.574,Linear_1S,stoch
278.0,3.5410001,3.548,3.9160001,-0.37500003,0.21200001,0.77800006,0.462,3.101,3.9470003,1.0,0.786,GP_1S,stoch
333.0,0.832,0.832,0.87000006,-0.038000003,0.024,0.11800001,0.037,0.786,0.87900007,1.0,0.90400004,Linear_oracle,dynamic
333.0,0.781,0.78200006,0.87000006,-0.089,0.033,0.185,0.096,0.71400005,0.845,0.0,0.878,GP_oracle,dynamic
333.0,3.5590003,3.5590003,3.7140002,-0.155,0.102000006,0.156,0.156,3.3580003,3.7600002,1.0,0.91600007,Linear_oracle,stoch
333.0,3.2110002,3.2120001,3.7140002,-0.503,0.15900001,0.53800005,0.503,2.894,3.522,0.0,0.11800001,GP_oracle,stoch
333.0,0.82000005,0.82000005,0.87000006,-0.05,0.052,0.31500003,0.256,0.72,0.924,1.0,0.26000002,Linear_observed,dynamic
333.0,0.77000004,0.771,0.87000006,-0.1,0.047000002,0.62,0.49600002,0.67800003,0.86300004,0.0,0.20600002,GP_observed,dynamic
333.0,2.9940002,2.9940002,3.7140002,-0.72,0.18,1.024,0.762,2.6460001,3.3500001,0.0,0.36,Linear_observed,stoch
333.0,3.3220003,3.3200002,3.7140002,-0.39200002,0.22000001,1.5070001,1.3180001,2.8890002,3.759,1.0,0.2,GP_observed,stoch
333.0,0.75900006,0.758,0.87000006,-0.11100001,0.035,0.259,0.2,0.693,0.832,0.0,0.85600007,Linear_3S,dynamic
333.0,0.58100003,0.586,0.87000006,-0.289,0.068,0.43600002,0.31500003,0.437,0.702,0.0,0.79600006,GP_3S,dynamic
333.0,3.1520002,3.147,3.7140002,-0.56200004,0.134,0.628,0.56600004,2.903,3.423,0.0,0.46800002,Linear_3S,stoch
333.0,2.246,2.2480001,3.7140002,-1.468,0.23700002,1.5100001,1.468,1.774,2.7040002,0.0,0.072000004,GP_3S,stoch
333.0,0.859,0.859,0.87000006,-0.011000001,0.029000001,0.23200001,0.18400002,0.80300003,0.91700006,1.0,0.18200001,Linear_1S,dynamic
333.0,0.813,0.813,0.87000006,-0.057000004,0.053000003,0.287,0.21200001,0.707,0.91800004,1.0,0.45200002,GP_1S,dynamic
333.0,3.5660002,3.565,3.7140002,-0.148,0.119,0.286,0.22000001,3.334,3.8040001,1.0,0.59400004,Linear_1S,stoch
333.0,3.275,3.278,3.7140002,-0.439,0.261,0.59300005,0.455,2.7470002,3.7870002,1.0,0.82000005,GP_1S,stoch
388.0,1.1240001,1.1240001,1.13,-0.006,0.033,0.007,0.006,1.059,1.189,1.0,1.0,Linear_oracle,dynamic
388.0,1.057,1.0630001,1.13,-0.07300001,0.053000003,0.2,0.08400001,0.93100005,1.146,1.0,1.0,GP_oracle,dynamic
388.0,3.8700001,3.8690002,3.8910003,-0.021000002,0.116000004,0.022000002,0.021000002,3.6380002,4.098,1.0,1.0,Linear_oracle,stoch
388.0,3.5460002,3.5490003,3.8910003,-0.34500003,0.15900001,0.44400004,0.34500003,3.2240002,3.8490002,0.0,0.998,GP_oracle,stoch
388.0,0.86700004,0.86800003,1.13,-0.263,0.079,0.44900003,0.337,0.71400005,1.0220001,0.0,0.33,Linear_observed,dynamic
388.0,0.86500007,0.864,1.13,-0.26500002,0.075,0.827,0.68200004,0.717,1.011,0.0,0.21400002,GP_observed,dynamic
388.0,2.5100002,2.512,3.8910003,-1.381,0.21800001,1.5840001,1.381,2.088,2.937,0.0,0.042000003,Linear_observed,stoch
388.0,3.4620001,3.4580002,3.8910003,-0.42900002,0.31300002,1.631,1.434,2.861,4.086,1.0,0.25800002,GP_observed,stoch
388.0,1.0450001,1.0430001,1.13,-0.085,0.048,0.23500001,0.18,0.95500004,1.144,1.0,0.92200005,Linear_3S,dynamic
388.0,0.83100003,0.83800006,1.13,-0.29900002,0.097,0.717,0.395,0.625,1.003,0.0,0.91200006,GP_3S,dynamic
388.0,3.5080001,3.5040002,3.8910003,-0.38300002,0.156,0.49400002,0.41000003,3.219,3.828,0.0,0.734,Linear_3S,stoch
388.0,2.552,2.5500002,3.8910003,-1.3390001,0.22800002,1.526,1.3390001,2.112,3.006,0.0,0.45800003,GP_3S,stoch
388.0,1.171,1.171,1.13,0.041,0.041,0.22000001,0.17600001,1.09,1.251,1.0,0.27,Linear_1S,dynamic
388.0,1.039,1.0480001,1.13,-0.091000006,0.080000006,0.411,0.259,0.84900004,1.172,1.0,0.588,GP_1S,dynamic
