idx,mean,median,true,bias,std,RMSE,q025,q975,covering,method,estimand
17.0,0.79200006,0.791,0.87700003,-0.085,0.047000002,0.097,0.702,0.883,1.0,Linear_oracle,dynamic
17.0,0.74500006,0.74500006,0.87700003,-0.132,0.048,0.141,0.64900005,0.84000003,0.0,GP_oracle,dynamic
17.0,2.255,2.255,2.4480002,-0.193,0.11100001,0.22200002,2.0440001,2.4750001,1.0,Linear_oracle,stoch
17.0,2.0300002,2.033,2.4480002,-0.418,0.142,0.441,1.7400001,2.3000002,0.0,GP_oracle,stoch
17.0,0.018000001,0.018000001,0.87700003,-0.859,0.07700001,0.86300004,-0.135,0.165,0.0,Linear_observed,dynamic
17.0,0.19800001,0.18,0.87700003,-0.679,0.33900002,0.75900006,-0.441,0.92700005,1.0,GP_observed,dynamic
17.0,-0.16900001,-0.165,2.4480002,-2.617,0.33900002,2.6390002,-0.837,0.48000002,0.0,Linear_observed,stoch
17.0,0.446,0.446,2.4480002,-2.002,0.528,2.0700002,-0.55300003,1.5350001,0.0,GP_observed,stoch
17.0,0.18100001,0.065000005,0.87700003,-0.69600004,0.24200001,0.73700005,-0.048,0.67,0.0,Linear_3S,dynamic
17.0,0.351,0.35200003,0.87700003,-0.526,0.25500003,0.58500004,-0.104,0.78400004,0.0,GP_3S,dynamic
17.0,0.39100003,-0.058000002,2.4480002,-2.0570002,0.97400004,2.276,-0.596,2.2870002,0.0,Linear_3S,stoch
17.0,0.586,0.53300005,2.4480002,-1.8620001,0.531,1.9360001,-0.30100003,1.7470001,0.0,GP_3S,stoch
17.0,-0.44500002,-0.44500002,0.87700003,-1.322,0.179,1.335,-0.80200005,-0.094000004,0.0,Linear_1S,dynamic
17.0,0.757,0.74600005,0.87700003,-0.120000005,0.72200006,0.731,-0.688,2.2670002,1.0,GP_1S,dynamic
17.0,-2.094,-2.0930002,2.4480002,-4.5420003,0.76400006,4.6060004,-3.6130002,-0.595,0.0,Linear_1S,stoch
17.0,1.105,1.153,2.4480002,-1.343,1.042,1.7,-1.153,3.1780002,1.0,GP_1S,stoch
50.0,0.77300006,0.77300006,0.81000006,-0.037,0.033,0.049000002,0.708,0.83900005,1.0,Linear_oracle,dynamic
50.0,0.73700005,0.73700005,0.81000006,-0.07300001,0.037,0.082,0.665,0.808,0.0,GP_oracle,dynamic
50.0,2.352,2.352,2.4610002,-0.109000005,0.09900001,0.148,2.157,2.549,1.0,Linear_oracle,stoch
50.0,2.2310002,2.2340002,2.4610002,-0.23,0.12200001,0.261,1.9840001,2.4650002,1.0,GP_oracle,stoch
50.0,-0.16000001,-0.16100001,0.81000006,-0.97,0.086,0.97400004,-0.33100003,0.008,0.0,Linear_observed,dynamic
50.0,0.37600002,0.356,0.81000006,-0.43400002,0.40100002,0.591,-0.38200003,1.192,1.0,GP_observed,dynamic
50.0,-0.91200006,-0.91300005,2.4610002,-3.3730001,0.32900003,3.3890002,-1.557,-0.27,0.0,Linear_observed,stoch
50.0,-0.022000002,-0.042000003,2.4610002,-2.483,0.58900005,2.552,-1.149,1.153,0.0,GP_observed,stoch
50.0,0.377,0.69500005,0.81000006,-0.43300003,0.44300002,0.619,-0.178,0.906,1.0,Linear_3S,dynamic
50.0,0.532,0.73800004,0.81000006,-0.27800003,0.45400003,0.532,-0.606,1.0090001,1.0,GP_3S,dynamic
50.0,0.82500005,1.9710001,2.4610002,-1.636,1.478,2.2050002,-1.0960001,2.5110002,1.0,Linear_3S,stoch
50.0,0.934,0.91600007,2.4610002,-1.5270001,1.176,1.927,-1.1010001,2.7370002,1.0,GP_3S,stoch
50.0,2.128,2.1320002,0.81000006,1.3180001,0.286,1.3490001,1.5630001,2.6820002,0.0,Linear_1S,dynamic
50.0,0.19100001,0.162,0.81000006,-0.619,1.1240001,1.284,-2.0110002,2.529,1.0,GP_1S,dynamic
50.0,6.727,6.7370005,2.4610002,4.2660003,0.91,4.361,4.932,8.484,0.0,Linear_1S,stoch
