idx,mean,median,true,bias,std,RMSE,MAE,q025,q975,covering,mean_ind_cover,method,estimand
35.0,1.1060001,1.1060001,1.1090001,-0.003,0.031000001,0.007,0.003,1.0450001,1.167,1.0,1.0,Linear_oracle,dynamic
35.0,1.102,1.0960001,1.1090001,-0.007,0.057000004,0.172,0.09,1.001,1.2270001,1.0,0.998,GP_oracle,dynamic
35.0,3.9510002,3.9510002,3.9620001,-0.011000001,0.11100001,0.011000001,0.011000001,3.7330003,4.17,1.0,1.0,Linear_oracle,stoch
35.0,3.8200002,3.8220003,3.9620001,-0.142,0.18400002,0.372,0.16800001,3.446,4.1740003,1.0,0.998,GP_oracle,stoch
35.0,0.731,0.731,1.1090001,-0.37800002,0.058000002,0.507,0.411,0.619,0.845,0.0,0.18200001,Linear_observed,dynamic
35.0,0.546,0.545,1.1090001,-0.563,0.076000005,0.65000004,0.57000005,0.39600003,0.698,0.0,0.18800001,GP_observed,dynamic
35.0,2.384,2.384,3.9620001,-1.5780001,0.17400001,1.7550001,1.5780001,2.0470002,2.7310002,0.0,0.014,Linear_observed,stoch
35.0,2.5070002,2.505,3.9620001,-1.455,0.21000001,1.741,1.5130001,2.1060002,2.9190001,0.0,0.238,GP_observed,stoch
35.0,0.97400004,0.97200006,1.1090001,-0.135,0.047000002,0.273,0.21000001,0.887,1.072,0.0,0.88400006,Linear_3S,dynamic
35.0,4.7120004,4.7120004,1.1090001,3.6030002,0.08400001,4.0540004,3.6030002,4.5480003,4.872,0.0,0.37600002,GP_3S,dynamic
35.0,3.4370003,3.4320002,3.9620001,-0.52500004,0.15400001,0.61300004,0.53300005,3.1580002,3.7610002,0.0,0.56200004,Linear_3S,stoch
35.0,2.674,2.6790001,3.9620001,-1.2880001,0.266,1.332,1.2880001,2.14,3.1820002,0.0,0.15,GP_3S,stoch
35.0,1.103,1.1040001,1.1090001,-0.006,0.039,0.22700001,0.179,1.0270001,1.1810001,1.0,0.29000002,Linear_1S,dynamic
35.0,1.0600001,1.057,1.1090001,-0.049000002,0.078,0.277,0.209,0.91400003,1.2310001,1.0,0.64000005,GP_1S,dynamic
35.0,3.89,3.8910003,3.9620001,-0.072000004,0.13700001,0.28300002,0.223,3.624,4.162,1.0,0.67,Linear_1S,stoch
35.0,3.6440003,3.6450002,3.9620001,-0.31800002,0.286,0.52500004,0.37600002,3.0790002,4.214,1.0,0.91600007,GP_1S,stoch
90.0,1.2190001,1.2190001,1.195,0.024,0.034,0.027,0.024,1.151,1.2850001,1.0,1.0,Linear_oracle,dynamic
90.0,1.176,1.179,1.195,-0.019000001,0.046000004,0.177,0.067,1.0760001,1.258,1.0,0.99200004,GP_oracle,dynamic
90.0,4.0550003,4.056,3.9740002,0.081,0.115,0.086,0.081,3.8290002,4.2780004,1.0,1.0,Linear_oracle,stoch
90.0,3.9050002,3.9050002,3.9740002,-0.069000006,0.162,0.41900003,0.16800001,3.5920002,4.224,1.0,0.97400004,GP_oracle,stoch
90.0,0.84300005,0.84400004,1.195,-0.35200003,0.068,0.497,0.39600003,0.708,0.97800004,0.0,0.23,Linear_observed,dynamic
90.0,0.69900006,0.69900006,1.195,-0.49600002,0.07,0.68500006,0.60200006,0.559,0.83500004,0.0,0.194,GP_observed,dynamic
90.0,2.486,2.4880002,3.9740002,-1.488,0.19000001,1.6750001,1.4870001,2.112,2.861,0.0,0.016,Linear_observed,stoch
90.0,3.1250002,3.1230001,3.9740002,-0.84900004,0.27600002,1.572,1.32,2.591,3.67,0.0,0.34,GP_observed,stoch
90.0,1.1040001,1.102,1.195,-0.091000006,0.051000003,0.264,0.20600002,1.011,1.2110001,1.0,0.92800003,Linear_3S,dynamic
90.0,5.111,5.1150002,1.195,3.9160001,0.13800001,4.3560004,3.9160001,4.829,5.3690004,0.0,0.30400002,GP_3S,dynamic
90.0,3.6950002,3.6880002,3.9740002,-0.279,0.16100001,0.411,0.33400002,3.3990002,4.033,1.0,0.85400003,Linear_3S,stoch
90.0,2.752,2.749,3.9740002,-1.222,0.25300002,1.358,1.223,2.26,3.2480001,0.0,0.574,GP_3S,stoch
90.0,1.2570001,1.2570001,1.195,0.062000003,0.043,0.256,0.20400001,1.172,1.3410001,1.0,0.27400002,Linear_1S,dynamic
90.0,1.179,1.1810001,1.195,-0.016,0.068,0.33600003,0.238,1.0380001,1.3130001,1.0,0.588,GP_1S,dynamic
90.0,4.2120004,4.2130003,3.9740002,0.238,0.14600001,0.381,0.31,3.926,4.498,1.0,0.512,Linear_1S,stoch
90.0,3.759,3.7680001,3.9740002,-0.215,0.27600002,0.544,0.363,3.19,4.282,1.0,0.95600003,GP_1S,stoch
145.0,1.067,1.067,1.018,0.049000002,0.031000001,0.057000004,0.049000002,1.006,1.1270001,1.0,1.0,Linear_oracle,dynamic
145.0,0.98,0.98300004,1.018,-0.038000003,0.047000002,0.209,0.1,0.88000005,1.064,1.0,0.896,GP_oracle,dynamic
145.0,4.247,4.248,4.045,0.202,0.125,0.21300001,0.20300001,4.0010004,4.4940004,1.0,1.0,Linear_oracle,stoch
145.0,3.8130002,3.8200002,4.045,-0.23200001,0.19500001,0.47500002,0.27400002,3.4150002,4.177,1.0,0.98600006,GP_oracle,stoch
145.0,0.83400005,0.83400005,1.018,-0.18400002,0.055000003,0.38900003,0.29900002,0.72700006,0.943,0.0,0.282,Linear_observed,dynamic
145.0,0.65000004,0.64900005,1.018,-0.36800003,0.068,0.49600002,0.411,0.518,0.78300005,0.0,0.36400002,GP_observed,dynamic
145.0,2.9450002,2.947,4.045,-1.1,0.19100001,1.34,1.108,2.5740001,3.325,0.0,0.172,Linear_observed,stoch
