idx,mean,median,true,bias,std,RMSE,q025,q975,covering,method,estimand
24.0,0.79200006,0.79200006,0.87700003,-0.085,0.047000002,0.097,0.69900006,0.883,1.0,Linear_oracle,dynamic
24.0,0.74500006,0.744,0.87700003,-0.132,0.049000002,0.141,0.64900005,0.841,0.0,GP_oracle,dynamic
24.0,2.255,2.255,2.4480002,-0.193,0.11100001,0.22200002,2.035,2.4740002,1.0,Linear_oracle,stoch
24.0,2.0310001,2.035,2.4480002,-0.41700003,0.142,0.44000003,1.743,2.302,0.0,GP_oracle,stoch
24.0,0.019000001,0.018000001,0.87700003,-0.85800004,0.07700001,0.86200005,-0.13100001,0.16900001,0.0,Linear_observed,dynamic
24.0,0.19500001,0.179,0.87700003,-0.68200004,0.337,0.76100004,-0.44400004,0.91700006,1.0,GP_observed,dynamic
24.0,-0.165,-0.164,2.4480002,-2.6130002,0.33800003,2.634,-0.822,0.497,0.0,Linear_observed,stoch
24.0,0.43500003,0.43300003,2.4480002,-2.013,0.531,2.081,-0.578,1.5230001,0.0,GP_observed,stoch
24.0,0.46800002,0.56700003,0.87700003,-0.409,0.22900002,0.469,-0.012,0.69200003,0.0,Linear_3S,dynamic
24.0,0.526,0.57500005,0.87700003,-0.351,0.2,0.404,-0.016,0.794,0.0,GP_3S,dynamic
24.0,1.5460001,1.96,2.4480002,-0.90200007,0.91300005,1.2830001,-0.43100002,2.358,0.0,Linear_3S,stoch
24.0,0.95600003,1.0020001,2.4480002,-1.4920001,0.57000005,1.5970001,-0.21300001,1.9720001,0.0,GP_3S,stoch
24.0,0.72800004,0.72700006,0.87700003,-0.149,0.082,0.17,0.56700003,0.88600004,1.0,Linear_1S,dynamic
24.0,0.518,0.523,0.87700003,-0.35900003,0.143,0.386,0.22600001,0.78800005,0.0,GP_1S,dynamic
24.0,2.588,2.5860002,2.4480002,0.14,0.28500003,0.31800002,2.0270002,3.1360002,1.0,Linear_1S,stoch
24.0,1.3590001,1.3690001,2.4480002,-1.0890001,0.59800005,1.243,0.057000004,2.582,1.0,GP_1S,stoch
57.0,0.77300006,0.77400005,0.81000006,-0.037,0.033,0.049000002,0.71000004,0.83800006,1.0,Linear_oracle,dynamic
57.0,0.73700005,0.73700005,0.81000006,-0.07300001,0.037,0.082,0.66400003,0.808,0.0,GP_oracle,dynamic
57.0,2.352,2.3530002,2.4610002,-0.109000005,0.09900001,0.147,2.16,2.546,1.0,Linear_oracle,stoch
57.0,2.23,2.233,2.4610002,-0.231,0.125,0.263,1.9770001,2.4710002,1.0,GP_oracle,stoch
