idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
34.0,2.3830001,2.3830001,2.4250002,-0.042000003,0.045,0.105000004,0.143,0.085,0.11100001,0.14400001,2.2930002,2.4710002,1.0,0.92600006,Linear_oracle,dynamic
34.0,2.3720002,2.3720002,2.4250002,-0.053000003,0.058000002,0.29700002,0.36400002,0.16800001,0.22700001,0.21900001,2.26,2.4870002,1.0,0.906,GP_oracle,dynamic
34.0,3.038,3.038,3.0860002,-0.048,0.05,0.062000003,0.105000004,0.055000003,0.082,0.245,2.937,3.1380002,1.0,1.0,Linear_oracle,stoch
34.0,3.0110002,3.0110002,3.0860002,-0.075,0.052,0.24700001,0.30200002,0.123,0.17,0.92700005,2.9090002,3.1130002,1.0,0.938,GP_oracle,stoch
34.0,2.079,2.078,2.4250002,-0.34600002,0.072000004,1.0200001,1.028,0.70100003,0.71000004,1.1120001,1.94,2.22,0.0,0.27600002,Linear_observed,dynamic
34.0,1.4210001,1.4230001,2.4250002,-1.0040001,0.171,1.6940001,1.7320001,1.304,1.325,5.182,1.092,1.7570001,0.0,0.286,GP_observed,dynamic
34.0,2.798,2.798,3.0860002,-0.28800002,0.081,1.098,1.1060001,0.80500007,0.81200004,2.5330002,2.6430001,2.9550002,0.0,0.202,Linear_observed,stoch
34.0,3.532,3.535,3.0860002,0.446,0.20400001,1.1270001,1.199,0.883,0.92600006,1.199,3.1190002,3.926,0.0,0.42000002,GP_observed,stoch
34.0,2.404,2.404,2.4250002,-0.021000002,0.07300001,0.559,0.70100003,0.43500003,0.54700005,1.3950001,2.2610002,2.5470002,1.0,0.84800005,Linear_3S,dynamic
34.0,2.9650002,2.9640002,3.0860002,-0.12100001,0.081,0.62200004,0.772,0.48600003,0.60400003,1.0270001,2.8070002,3.1260002,1.0,0.84400004,Linear_3S,stoch
34.0,2.3760002,2.3760002,2.4250002,-0.049000002,0.087000005,0.62100005,0.77400005,0.47700003,0.59000003,1.437,2.21,2.549,1.0,0.846,GP_3S,dynamic
34.0,2.8860002,2.8850002,3.0860002,-0.2,0.089,0.69600004,0.84700006,0.52400005,0.643,0.68100005,2.716,3.065,0.0,0.846,GP_3S,stoch
34.0,2.476,2.476,2.4250002,0.051000003,0.052,0.509,0.522,0.388,0.39800003,1.289,2.3730001,2.5790002,1.0,0.34600002,Linear_1S,dynamic
34.0,2.509,2.509,2.4250002,0.08400001,0.07,0.555,0.611,0.42100003,0.46100003,1.516,2.3720002,2.6480002,1.0,0.56,GP_1S,dynamic
34.0,3.154,3.154,3.0860002,0.068,0.063,0.57900006,0.588,0.45000002,0.45700002,1.667,3.0310001,3.2800002,1.0,0.238,Linear_1S,stoch
34.0,3.164,3.163,3.0860002,0.078,0.079,0.597,0.646,0.462,0.492,2.5410001,3.009,3.3190002,1.0,0.446,GP_1S,stoch
89.0,2.5770001,2.5770001,2.538,0.039,0.053000003,0.065000005,0.127,0.052,0.095000006,0.21400002,2.473,2.6820002,1.0,1.0,Linear_oracle,dynamic
89.0,2.551,2.552,2.538,0.013,0.067,0.27400002,0.36100003,0.14500001,0.216,0.46,2.421,2.6820002,1.0,0.99000007,GP_oracle,dynamic
89.0,3.3060002,3.3060002,3.2610002,0.045,0.069000006,0.072000004,0.128,0.059000004,0.094000004,0.105000004,3.1710002,3.4420002,1.0,1.0,Linear_oracle,stoch
89.0,3.282,3.282,3.2610002,0.021000002,0.080000006,0.395,0.45600003,0.16000001,0.21800001,0.156,3.1230001,3.4390001,1.0,0.97400004,GP_oracle,stoch
89.0,2.0180001,2.0180001,2.538,-0.52000004,0.063,1.0830001,1.09,0.767,0.77300006,1.8920001,1.8970001,2.1420002,0.0,0.22600001,Linear_observed,dynamic
89.0,1.4690001,1.47,2.538,-1.069,0.156,1.7700001,1.802,1.366,1.389,4.4890003,1.159,1.774,0.0,0.29200003,GP_observed,dynamic
89.0,2.5760002,2.5760002,3.2610002,-0.68500006,0.094000004,1.2700001,1.2780001,0.91600007,0.924,1.041,2.391,2.7630002,0.0,0.20600002,Linear_observed,stoch
89.0,3.4370003,3.43,3.2610002,0.17600001,0.33600003,1.136,1.286,0.81200004,0.91200006,2.5200002,2.8100002,4.1200004,1.0,0.59400004,GP_observed,stoch
89.0,2.4090002,2.4080002,2.538,-0.12900001,0.075,0.559,0.67600006,0.43600002,0.528,1.1340001,2.263,2.558,1.0,0.83000004,Linear_3S,dynamic
89.0,3.0600002,3.058,3.2610002,-0.201,0.094000004,0.63000005,0.76500005,0.497,0.601,1.125,2.877,3.2500002,0.0,0.83400005,Linear_3S,stoch
89.0,2.3130002,2.312,2.538,-0.22500001,0.09200001,0.65800005,0.80600005,0.50200003,0.611,0.69900006,2.138,2.496,0.0,0.83800006,GP_3S,dynamic
89.0,3.0240002,3.022,3.2610002,-0.23700002,0.116000004,0.749,0.94400007,0.537,0.68700004,1.097,2.8000002,3.256,0.0,0.892,GP_3S,stoch
89.0,2.5310001,2.5310001,2.538,-0.007,0.056,0.48400003,0.497,0.38000003,0.39100003,1.6110001,2.42,2.64,1.0,0.328,Linear_1S,dynamic
89.0,2.459,2.459,2.538,-0.079,0.080000006,0.574,0.632,0.43300003,0.47000003,1.314,2.3040001,2.615,1.0,0.55200005,GP_1S,dynamic
89.0,3.305,3.305,3.2610002,0.044000003,0.07700001,0.54200006,0.554,0.439,0.44700003,1.1680001,3.1520002,3.456,1.0,0.24400002,Linear_1S,stoch
89.0,3.2410002,3.2430003,3.2610002,-0.020000001,0.11000001,0.688,0.75100005,0.499,0.52500004,1.246,3.012,3.4490001,1.0,0.44400004,GP_1S,stoch
144.0,2.785,2.785,2.769,0.016,0.048,0.149,0.18400002,0.119,0.142,0.216,2.6910002,2.878,1.0,0.794,Linear_oracle,dynamic
144.0,2.8030002,2.802,2.769,0.034,0.066,0.467,0.52400005,0.25100002,0.296,0.79600006,2.6750002,2.9350002,1.0,0.88600004,GP_oracle,dynamic
144.0,3.2350001,3.2350001,3.21,0.025,0.053000003,0.117000006,0.149,0.089,0.108,0.67200005,3.131,3.3400002,1.0,0.984,Linear_oracle,stoch
144.0,3.209,3.2080002,3.21,-0.001,0.055000003,0.379,0.42600003,0.18300001,0.22200002,2.157,3.1020002,3.3160002,1.0,0.92800003,GP_oracle,stoch
144.0,2.5140002,2.5140002,2.769,-0.25500003,0.071,1.056,1.065,0.739,0.749,2.023,2.3730001,2.654,0.0,0.27800003,Linear_observed,dynamic
144.0,2.502,2.5,2.769,-0.26700002,0.18,1.131,1.2010001,0.82800007,0.882,2.147,2.1590002,2.8600001,1.0,0.554,GP_observed,dynamic
144.0,2.95,2.9490001,3.21,-0.26000002,0.08400001,1.11,1.118,0.79300004,0.80200005,0.657,2.7830002,3.118,0.0,0.23200001,Linear_observed,stoch
144.0,3.6450002,3.6430001,3.21,0.43500003,0.18400002,1.169,1.233,0.92,0.95600003,3.7830002,3.2900002,4.017,0.0,0.404,GP_observed,stoch
144.0,2.779,2.779,2.769,0.010000001,0.080000006,0.577,0.72200006,0.448,0.565,1.47,2.6250002,2.936,1.0,0.86,Linear_3S,dynamic
144.0,3.1720002,3.1710002,3.21,-0.038000003,0.086,0.601,0.75100005,0.47800002,0.592,5.866,3.0070002,3.3420002,1.0,0.83400005,Linear_3S,stoch
144.0,2.788,2.7870002,2.769,0.019000001,0.1,0.771,0.929,0.52900004,0.66,1.9230001,2.595,2.9870002,1.0,0.83800006,GP_3S,dynamic
144.0,3.114,3.1130002,3.21,-0.096,0.09200001,0.74600005,0.91300005,0.541,0.66800004,2.536,2.937,3.2960002,1.0,0.84000003,GP_3S,stoch
144.0,2.8790002,2.8790002,2.769,0.11000001,0.058000002,0.55300003,0.568,0.42800003,0.441,1.3160001,2.7640002,2.993,1.0,0.34600002,Linear_1S,dynamic
144.0,2.8760002,2.8750002,2.769,0.10700001,0.081,0.717,0.77800006,0.492,0.53800005,1.628,2.716,3.0360003,1.0,0.55200005,GP_1S,dynamic
144.0,3.371,3.371,3.21,0.16100001,0.068,0.58100003,0.59300005,0.45800003,0.467,7.412,3.236,3.5040002,0.0,0.268,Linear_1S,stoch
144.0,3.2910001,3.292,3.21,0.081,0.078,0.70100003,0.75100005,0.507,0.536,4.9160004,3.1360002,3.4440002,1.0,0.45800003,GP_1S,stoch
199.0,2.8850002,2.884,2.9980001,-0.113000005,0.056,0.147,0.18900001,0.117000006,0.14600001,0.47900003,2.7740002,2.996,0.0,0.78200006,Linear_oracle,dynamic
199.0,2.831,2.831,2.9980001,-0.16700001,0.07,0.48100004,0.551,0.24100001,0.296,1.01,2.6940002,2.9680002,0.0,0.92600006,GP_oracle,dynamic
199.0,3.1620002,3.1610003,3.285,-0.123,0.062000003,0.13900001,0.17300001,0.124000005,0.143,0.132,3.0400002,3.2860003,1.0,0.656,Linear_oracle,stoch
199.0,3.1050003,3.1060002,3.285,-0.18,0.068,0.49800003,0.546,0.23900001,0.27600002,0.17,2.9720001,3.2380002,0.0,0.78800005,GP_oracle,stoch
199.0,2.3890002,2.388,2.9980001,-0.609,0.066,1.2010001,1.2080001,0.88500005,0.89100003,2.4950001,2.26,2.519,0.0,0.17400001,Linear_observed,dynamic
199.0,2.19,2.193,2.9980001,-0.808,0.162,1.414,1.4610001,1.1120001,1.1400001,8.569,1.863,2.5070002,0.0,0.35000002,GP_observed,dynamic
199.0,2.617,2.618,3.285,-0.66800004,0.09,1.2520001,1.2600001,0.906,0.91300005,0.50200003,2.437,2.7930002,0.0,0.22000001,Linear_observed,stoch
199.0,2.8490002,2.851,3.285,-0.43600002,0.31500003,1.25,1.368,0.87200004,0.94400007,0.37800002,2.209,3.4420002,1.0,0.564,GP_observed,stoch
199.0,2.7280002,2.726,2.9980001,-0.27,0.080000006,0.67700005,0.77800006,0.52000004,0.60700005,2.6130002,2.5760002,2.887,0.0,0.73200005,Linear_3S,dynamic
199.0,3.0180001,3.016,3.285,-0.26700002,0.093,0.65000004,0.762,0.504,0.595,0.26700002,2.841,3.2050002,0.0,0.772,Linear_3S,stoch
199.0,2.664,2.663,2.9980001,-0.33400002,0.095000006,0.851,0.98700005,0.59800005,0.70600003,1.9970001,2.482,2.8520002,0.0,0.81600004,GP_3S,dynamic
199.0,2.9220002,2.9210002,3.285,-0.363,0.104,0.919,1.0500001,0.606,0.71500003,0.29000002,2.7210002,3.127,0.0,0.79,GP_3S,stoch
199.0,2.8660002,2.8650002,2.9980001,-0.132,0.064,0.54800004,0.564,0.42200002,0.43600002,2.5630002,2.7400002,2.9940002,0.0,0.358,Linear_1S,dynamic
199.0,2.802,2.8030002,2.9980001,-0.19600001,0.085,0.76900005,0.82900006,0.512,0.55,2.328,2.6360002,2.966,0.0,0.574,GP_1S,dynamic
199.0,3.2300003,3.229,3.285,-0.055000003,0.078,0.509,0.523,0.39400002,0.407,0.2,3.078,3.387,1.0,0.354,Linear_1S,stoch
199.0,3.1150002,3.117,3.285,-0.17,0.097,0.85600007,0.90700006,0.52900004,0.558,0.30600002,2.9220002,3.301,1.0,0.49600002,GP_1S,stoch
254.0,2.47,2.469,2.555,-0.085,0.057000004,0.125,0.17,0.095000006,0.125,0.15300001,2.357,2.584,1.0,1.0,Linear_oracle,dynamic
254.0,2.4290001,2.4290001,2.555,-0.126,0.07300001,0.33200002,0.42000002,0.16600001,0.24300002,0.13700001,2.285,2.569,1.0,0.98600006,GP_oracle,dynamic
254.0,3.038,3.0370002,3.1550002,-0.117000006,0.071,0.15400001,0.18900001,0.12200001,0.13900001,0.044000003,2.8980002,3.1810002,1.0,1.0,Linear_oracle,stoch
254.0,2.9490001,2.95,3.1550002,-0.20600002,0.087000005,0.499,0.558,0.24000001,0.277,0.13100001,2.7770002,3.1190002,0.0,0.97,GP_oracle,stoch
