idx,mean,median,true,bias,std,RMSE,MAE,q025,q975,covering,mean_ind_cover,method,estimand
147.0,1.2570001,1.2570001,1.3540001,-0.097,0.044000003,0.307,0.23900001,1.171,1.343,0.0,0.23600002,Linear_1S,dynamic
147.0,1.1810001,1.182,1.3540001,-0.17300001,0.075,0.37,0.28500003,1.029,1.3240001,0.0,0.48800004,GP_1S,dynamic
147.0,3.6220002,3.6200001,3.9210002,-0.29900002,0.12200001,0.407,0.33400002,3.3830001,3.8590002,0.0,0.39600003,Linear_1S,stoch
147.0,3.246,3.2510002,3.9210002,-0.675,0.21800001,0.79700005,0.68100005,2.8030002,3.6540003,0.0,0.35200003,GP_1S,stoch
202.0,1.1470001,1.1470001,1.1810001,-0.034,0.036000002,0.066,0.034,1.0760001,1.218,1.0,1.0,Linear_oracle,dynamic
202.0,1.1370001,1.138,1.1810001,-0.044000003,0.042000003,0.279,0.11400001,1.0530001,1.22,1.0,0.924,GP_oracle,dynamic
202.0,3.653,3.6520002,3.7640002,-0.11100001,0.112,0.113000005,0.112,3.43,3.8760002,1.0,1.0,Linear_oracle,stoch
202.0,3.482,3.4850001,3.7640002,-0.282,0.156,0.64900005,0.28300002,3.1720002,3.782,1.0,0.91800004,GP_oracle,stoch
202.0,0.76100004,0.76100004,1.1810001,-0.42000002,0.063,0.53400004,0.44500002,0.63900006,0.88600004,0.0,0.156,Linear_observed,dynamic
202.0,0.565,0.565,1.1810001,-0.61600006,0.07,0.748,0.669,0.42800003,0.70000005,0.0,0.128,GP_observed,dynamic
202.0,2.3360002,2.3360002,3.7640002,-1.4280001,0.177,1.6190001,1.4280001,1.9900001,2.6880002,0.0,0.016,Linear_observed,stoch
202.0,2.8040001,2.8040001,3.7640002,-0.96000004,0.21000001,1.503,1.263,2.391,3.219,0.0,0.31800002,GP_observed,stoch
202.0,1.0200001,1.018,1.1810001,-0.16100001,0.047000002,0.30400002,0.23700002,0.93100005,1.118,0.0,0.87200004,Linear_3S,dynamic
202.0,4.736,4.737,1.1810001,3.555,0.109000005,4.019,3.555,4.5140004,4.9410005,0.0,0.36800003,GP_3S,dynamic
202.0,3.236,3.232,3.7640002,-0.528,0.135,0.60400003,0.532,2.982,3.5110002,0.0,0.48200002,Linear_3S,stoch
202.0,2.5870001,2.591,3.7640002,-1.177,0.20700002,1.299,1.177,2.174,2.9810002,0.0,0.32000002,GP_3S,stoch
202.0,1.1420001,1.1420001,1.1810001,-0.039,0.040000003,0.26000002,0.20600002,1.062,1.222,1.0,0.24000001,Linear_1S,dynamic
202.0,1.133,1.1290001,1.1810001,-0.048,0.066,0.39000002,0.26000002,1.014,1.2770001,1.0,0.518,GP_1S,dynamic
202.0,3.6080003,3.6080003,3.7640002,-0.156,0.124000005,0.305,0.246,3.361,3.854,1.0,0.55200005,Linear_1S,stoch
202.0,3.3230002,3.328,3.7640002,-0.441,0.224,0.79600006,0.49400002,2.8660002,3.7530003,0.0,0.72,GP_1S,stoch
257.0,1.108,1.108,1.093,0.015000001,0.034,0.022000002,0.015000001,1.041,1.176,1.0,1.0,Linear_oracle,dynamic
257.0,1.064,1.064,1.093,-0.029000001,0.045,0.11100001,0.049000002,0.97400004,1.153,1.0,1.0,GP_oracle,dynamic
257.0,3.7410002,3.7410002,3.6880002,0.053000003,0.113000005,0.054,0.053000003,3.5180001,3.9640002,1.0,1.0,Linear_oracle,stoch
257.0,3.5340002,3.538,3.6880002,-0.15400001,0.135,0.372,0.163,3.255,3.7900002,1.0,0.998,GP_oracle,stoch
257.0,0.72800004,0.72800004,1.093,-0.365,0.055000003,0.483,0.39200002,0.62,0.836,0.0,0.21200001,Linear_observed,dynamic
257.0,0.51000005,0.51000005,1.093,-0.583,0.063,0.679,0.60700005,0.38500002,0.633,0.0,0.13000001,GP_observed,dynamic
257.0,2.4290001,2.4280002,3.6880002,-1.2590001,0.172,1.46,1.261,2.088,2.766,0.0,0.036000002,Linear_observed,stoch
257.0,3.4120002,3.4080002,3.6880002,-0.27600002,0.275,1.6120001,1.414,2.8790002,3.959,1.0,0.21800001,GP_observed,stoch
257.0,0.95900005,0.957,1.093,-0.134,0.043,0.26500002,0.20300001,0.87700003,1.047,0.0,0.88400006,Linear_3S,dynamic
257.0,4.026,4.03,1.093,2.933,0.115,3.4420002,2.9340003,3.788,4.2380004,0.0,0.46400002,GP_3S,dynamic
257.0,3.2310002,3.2280002,3.6880002,-0.45700002,0.13000001,0.54300004,0.467,2.983,3.4980001,0.0,0.572,Linear_3S,stoch
257.0,2.7450001,2.7480001,3.6880002,-0.943,0.18400002,1.2060001,0.94900006,2.375,3.095,0.0,0.65800005,GP_3S,stoch
257.0,1.075,1.075,1.093,-0.018000001,0.039,0.231,0.18200001,0.9990001,1.1520001,1.0,0.28800002,Linear_1S,dynamic
257.0,1.016,1.0170001,1.093,-0.07700001,0.060000002,0.321,0.231,0.892,1.13,1.0,0.504,GP_1S,dynamic
257.0,3.6090002,3.6090002,3.6880002,-0.079,0.126,0.27600002,0.223,3.3600001,3.8600001,1.0,0.63000005,Linear_1S,stoch
257.0,3.344,3.348,3.6880002,-0.344,0.18,0.73600006,0.43400002,2.9780002,3.6840003,0.0,0.70400006,GP_1S,stoch
312.0,1.284,1.284,1.2540001,0.030000001,0.037,0.039,0.036000002,1.21,1.3570001,1.0,1.0,Linear_oracle,dynamic
312.0,1.2160001,1.2190001,1.2540001,-0.038000003,0.05,0.282,0.13100001,1.11,1.3080001,1.0,0.94400007,GP_oracle,dynamic
312.0,3.9940002,3.9940002,3.9070003,0.087000005,0.113000005,0.094000004,0.08800001,3.7700002,4.217,1.0,1.0,Linear_oracle,stoch
312.0,3.7180002,3.7220001,3.9070003,-0.18900001,0.165,0.45200002,0.224,3.3850002,4.0350003,1.0,0.96000004,GP_oracle,stoch
312.0,0.906,0.90700006,1.2540001,-0.34800002,0.066,0.508,0.40600002,0.776,1.0350001,0.0,0.22600001,Linear_observed,dynamic
312.0,0.87100005,0.87100005,1.2540001,-0.38300002,0.062000003,0.717,0.605,0.749,0.99200004,0.0,0.224,GP_observed,dynamic
312.0,2.7960002,2.7970002,3.9070003,-1.1110001,0.19100001,1.337,1.116,2.4160001,3.1710002,0.0,0.132,Linear_observed,stoch
312.0,3.1790001,3.18,3.9070003,-0.72800004,0.21100001,1.4760001,1.22,2.7630002,3.594,0.0,0.28,GP_observed,stoch
312.0,1.088,1.0860001,1.2540001,-0.16600001,0.052,0.319,0.24900001,0.99300003,1.197,0.0,0.86,Linear_3S,dynamic
312.0,4.998,5.0010004,1.2540001,3.7440002,0.12100001,4.2180004,3.7450001,4.754,5.2260003,0.0,0.33,GP_3S,dynamic
312.0,3.4930003,3.4870002,3.9070003,-0.41400003,0.15100001,0.51100004,0.43300003,3.216,3.808,0.0,0.71000004,Linear_3S,stoch
312.0,2.6230001,2.6230001,3.9070003,-1.284,0.21100001,1.3620001,1.2850001,2.204,3.0340002,0.0,0.38000003,GP_3S,stoch
312.0,1.2290001,1.2290001,1.2540001,-0.025,0.043,0.272,0.21000001,1.1450001,1.314,1.0,0.294,Linear_1S,dynamic
312.0,1.0780001,1.08,1.2540001,-0.17600001,0.069000006,0.42200002,0.30600002,0.93600005,1.2110001,0.0,0.48000002,GP_1S,dynamic
312.0,3.9270003,3.9270003,3.9070003,0.020000001,0.135,0.284,0.22200002,3.6620002,4.1930003,1.0,0.656,Linear_1S,stoch
312.0,3.121,3.124,3.9070003,-0.786,0.24100001,0.88400006,0.79300004,2.6480002,3.5850003,0.0,0.284,GP_1S,stoch
367.0,0.776,0.77500004,0.78700006,-0.011000001,0.022000002,0.035,0.027,0.73200005,0.81900007,1.0,1.0,Linear_oracle,dynamic
367.0,0.72700006,0.72900003,0.78700006,-0.060000002,0.031000001,0.26700002,0.109000005,0.65900004,0.78300005,0.0,0.89800006,GP_oracle,dynamic
367.0,3.8240001,3.8240001,3.8960001,-0.072000004,0.11400001,0.080000006,0.072000004,3.5990002,4.0470004,1.0,1.0,Linear_oracle,stoch
367.0,3.499,3.502,3.8960001,-0.397,0.17400001,0.76400006,0.40100002,3.1510003,3.8320003,0.0,0.87600005,GP_oracle,stoch
367.0,0.619,0.619,0.78700006,-0.16800001,0.045,0.32900003,0.24000001,0.532,0.707,0.0,0.3,Linear_observed,dynamic
367.0,0.40600002,0.40500003,0.78700006,-0.381,0.056,0.49300003,0.42000002,0.296,0.517,0.0,0.21400002,GP_observed,dynamic
367.0,2.489,2.489,3.8960001,-1.4070001,0.17500001,1.603,1.4070001,2.147,2.831,0.0,0.018000001,Linear_observed,stoch
367.0,2.8700001,2.8690002,3.8960001,-1.026,0.201,1.5990001,1.3440001,2.4810002,3.2730002,0.0,0.29200003,GP_observed,stoch
367.0,0.70500004,0.70400006,0.78700006,-0.082,0.030000001,0.19900002,0.15300001,0.648,0.76600003,0.0,0.89800006,Linear_3S,dynamic
367.0,4.353,4.353,0.78700006,3.5660002,0.09900001,4.044,3.5660002,4.1590004,4.543,0.0,0.372,GP_3S,dynamic
367.0,3.4090002,3.4080002,3.8960001,-0.48700002,0.13900001,0.57100004,0.49600002,3.144,3.686,0.0,0.56600004,Linear_3S,stoch
367.0,2.4150002,2.413,3.8960001,-1.4810001,0.21300001,1.6350001,1.4810001,2.0040002,2.8390002,0.0,0.33400002,GP_3S,stoch
367.0,0.77800006,0.77800006,0.78700006,-0.009000001,0.026,0.17500001,0.14,0.72800004,0.82900006,1.0,0.24400002,Linear_1S,dynamic
367.0,0.68200004,0.68500006,0.78700006,-0.105000004,0.05,0.298,0.19900002,0.57500005,0.76900005,0.0,0.512,GP_1S,dynamic
367.0,3.7970002,3.7960002,3.8960001,-0.09900001,0.132,0.279,0.223,3.5390003,4.059,1.0,0.652,Linear_1S,stoch
367.0,3.035,3.038,3.8960001,-0.86100006,0.29000002,1.0350001,0.86300004,2.4580002,3.5890002,0.0,0.35200003,GP_1S,stoch
422.0,1.0830001,1.0830001,1.0890001,-0.006,0.030000001,0.016,0.013,1.024,1.141,1.0,1.0,Linear_oracle,dynamic
422.0,1.0170001,1.0220001,1.0890001,-0.072000004,0.048,0.33200002,0.12100001,0.90300006,1.0990001,1.0,0.91600007,GP_oracle,dynamic
422.0,3.9040003,3.9040003,3.9290001,-0.025,0.109000005,0.028,0.025,3.6870003,4.118,1.0,1.0,Linear_oracle,stoch
422.0,3.7120001,3.716,3.9290001,-0.21700001,0.143,0.643,0.24100001,3.4190001,3.982,1.0,0.89800006,GP_oracle,stoch
