idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
130.0,3.423,3.423,4.533,-1.11,0.068,1.5970001,1.166,0.36400002,3.2890003,3.5540001,0.0,0.14400001,Linear_observed,dynamic
130.0,3.173,3.173,4.533,-1.36,0.11000001,2.045,1.6200001,0.57600003,2.9580002,3.3910003,0.0,0.23400001,GP_observed,dynamic
130.0,5.0600004,5.059,5.723,-0.66300005,0.136,1.5510001,1.1240001,0.2,4.7920003,5.326,0.0,0.22000001,Linear_observed,stoch
130.0,6.0030003,6.0020003,5.723,0.28,0.293,1.5410001,1.1190001,0.19500001,5.431,6.5850005,1.0,0.342,GP_observed,stoch
130.0,4.4,4.3980002,4.533,-0.133,0.081,0.528,0.41000003,0.14500001,4.2460003,4.5620003,1.0,0.906,Linear_3S,dynamic
130.0,4.1790004,4.1790004,4.533,-0.354,0.108,0.75600004,0.544,0.19700001,3.966,4.388,0.0,0.84000003,GP_3S,dynamic
130.0,5.4890003,5.4880004,5.723,-0.23400001,0.108,0.55200005,0.418,0.076000005,5.2770004,5.7050004,0.0,0.88000005,Linear_3S,stoch
130.0,5.136,5.1410003,5.723,-0.587,0.15100001,1.322,0.74700004,0.113000005,4.829,5.4220004,0.0,0.85200006,GP_3S,stoch
130.0,4.505,4.505,4.533,-0.028,0.064,0.47700003,0.38000003,0.141,4.38,4.629,1.0,0.30600002,Linear_1S,dynamic
130.0,4.4750004,4.4750004,4.533,-0.058000002,0.101,0.683,0.49100003,0.21000001,4.2770004,4.675,1.0,0.558,GP_1S,dynamic
130.0,5.6860003,5.6860003,5.723,-0.037,0.089,0.46600002,0.36100003,0.071,5.51,5.8620005,1.0,0.358,Linear_1S,stoch
130.0,5.5260005,5.5290003,5.723,-0.19700001,0.142,1.156,0.66800004,0.10700001,5.2390003,5.7980003,1.0,0.536,GP_1S,stoch
185.0,4.5160003,4.5160003,4.4690003,0.047000002,0.046000004,0.052,0.047000002,0.014,4.425,4.6070004,1.0,1.0,Linear_oracle,dynamic
185.0,4.467,4.466,4.4690003,-0.002,0.061000004,0.34,0.143,0.068,4.349,4.5860004,1.0,0.97800004,GP_oracle,dynamic
185.0,5.7980003,5.7980003,5.7430005,0.055000003,0.060000002,0.057000004,0.055000003,0.011000001,5.681,5.9170003,1.0,1.0,Linear_oracle,stoch
185.0,5.6850004,5.6860003,5.7430005,-0.058000002,0.07700001,0.611,0.277,0.038000003,5.5290003,5.8310003,1.0,0.91400003,GP_oracle,stoch
185.0,3.9320002,3.9320002,4.4690003,-0.537,0.08800001,1.3240001,0.82600003,0.24800001,3.7600002,4.102,0.0,0.294,Linear_observed,dynamic
185.0,3.0660002,3.065,4.4690003,-1.4030001,0.16800001,2.282,1.812,0.708,2.732,3.3950002,0.0,0.2,GP_observed,dynamic
185.0,5.3970003,5.3970003,5.7430005,-0.34600002,0.102000006,1.4760001,1.0320001,0.17300001,5.196,5.597,0.0,0.18400002,Linear_observed,stoch
