idx,mean,median,TRUE,bias,std,RMSE,q025,q975,covering,method,estimand
91,-3.2670002,-3.269,2.5080001,-5.775,0.71900004,5.8190002,-4.6740003,-1.8520001,0,Linear_1S,stoch
91,0.39600003,0.41200003,2.5080001,-2.112,1.159,2.4090002,-1.904,2.6120002,1,GP_1S,stoch
124,0.78800005,0.78800005,0.772,0.016,0.033,0.036000002,0.72400004,0.851,1,Linear_oracle,dynamic
124,0.757,0.757,0.772,-0.015000001,0.033,0.036000002,0.69100004,0.82100004,1,GP_oracle,dynamic
124,2.5210001,2.522,2.4740002,0.047000002,0.098000005,0.108,2.3300002,2.7120001,1,Linear_oracle,stoch
124,2.364,2.3630002,2.4740002,-0.11000001,0.11400001,0.158,2.1420002,2.5890002,1,GP_oracle,stoch
124,-0.23200001,-0.23300001,0.772,-1.0040001,0.069000006,1.006,-0.36900002,-0.096,0,Linear_observed,dynamic
124,0.47800002,0.48700002,0.772,-0.294,0.33100003,0.44200003,-0.16900001,1.131,1,GP_observed,dynamic
124,-1.3310001,-1.3330001,2.4740002,-3.805,0.30600002,3.818,-1.9390001,-0.72700006,0,Linear_observed,stoch
124,-0.165,-0.143,2.4740002,-2.6390002,0.483,2.683,-1.149,0.76400006,0,GP_observed,stoch
124,0.326,0.61600006,0.772,-0.446,0.45700002,0.63900006,-0.231,0.864,1,Linear_3S,dynamic
124,0.61700004,0.71900004,0.772,-0.155,0.259,0.30100003,0.059000004,0.95500004,1,GP_3S,dynamic
124,0.739,1.9900001,2.4740002,-1.7350001,1.7470001,2.4620001,-1.4790001,2.719,1,Linear_3S,stoch
124,0.73200005,0.56,2.4740002,-1.7420001,1.1800001,2.104,-0.95400006,2.483,1,GP_3S,stoch
124,2.184,2.1850002,0.772,1.4120001,0.22200002,1.429,1.7400001,2.618,0,Linear_1S,dynamic
124,-1.2440001,-1.2420001,0.772,-2.016,1.177,2.334,-3.584,1.062,1,GP_1S,dynamic
124,7.9350004,7.9390006,2.4740002,5.4610004,0.81100005,5.5210004,6.3170004,9.519,0,Linear_1S,stoch
124,2.7770002,2.7840002,2.4740002,0.303,1.6340001,1.6620001,-0.223,5.9940004,1,GP_1S,stoch
157,0.841,0.841,0.82800007,0.013,0.037,0.039,0.77000004,0.91300005,1,Linear_oracle,dynamic
157,0.81900007,0.82000005,0.82800007,-0.009000001,0.037,0.038000003,0.74600005,0.89300007,1,GP_oracle,dynamic
157,2.5180001,2.5180001,2.5,0.018000001,0.104,0.105000004,2.3160002,2.7220001,1,Linear_oracle,stoch
157,2.161,2.16,2.5,-0.33900002,0.17400001,0.381,1.82,2.509,1,GP_oracle,stoch
157,-0.372,-0.37300003,0.82800007,-1.2,0.094000004,1.2040001,-0.554,-0.186,0,Linear_observed,dynamic
157,0.22900002,0.178,0.82800007,-0.59900004,0.628,0.86800003,-0.87900007,1.529,1,GP_observed,dynamic
157,-1.7550001,-1.7580001,2.5,-4.255,0.38200003,4.2720003,-2.493,-1.001,0,Linear_observed,stoch
157,-1.0610001,-1.0610001,2.5,-3.561,0.84000003,3.6580002,-2.7040002,0.555,0,GP_observed,stoch
157,0.26000002,-0.15100001,0.82800007,-0.568,0.565,0.80100006,-0.39400002,0.93900007,1,Linear_3S,dynamic
157,0.416,0.57600003,0.82800007,-0.41200003,0.38500002,0.564,-0.367,0.896,1,GP_3S,dynamic
157,0.44200003,-0.95800006,2.5,-2.058,2.0470002,2.9020002,-2.0010002,2.821,1,Linear_3S,stoch
157,0.21800001,0.016,2.5,-2.282,1.238,2.5960002,-1.7070001,2.2180002,0,GP_3S,stoch
157,2.3660002,2.365,0.82800007,1.5380001,0.291,1.565,1.794,2.9340003,0,Linear_1S,dynamic
