idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
30.0,1.0320001,1.0320001,0.98800004,0.044000003,0.032,0.055000003,0.047000002,0.047000002,0.96900004,1.0960001,1.0,Linear_oracle,dynamic
30.0,1.0090001,1.008,0.98800004,0.021000002,0.039,0.044000003,0.035,0.035,0.933,1.0860001,1.0,GP_oracle,dynamic
30.0,3.9320002,3.9310002,3.7560003,0.17600001,0.124000005,0.216,0.185,0.049000002,3.6870003,4.178,1.0,Linear_oracle,stoch
30.0,3.7530003,3.7540002,3.7560003,-0.003,0.18200001,0.18200001,0.14400001,0.038000003,3.387,4.1070004,1.0,GP_oracle,stoch
30.0,0.69500005,0.69500005,0.98800004,-0.293,0.061000004,0.3,0.294,0.29700002,0.57500005,0.81500006,0.0,Linear_observed,dynamic
30.0,0.38000003,0.381,0.98800004,-0.60800004,0.10700001,0.61800003,0.60800004,0.615,0.16900001,0.592,0.0,GP_observed,dynamic
30.0,2.371,2.3720002,3.7560003,-1.3850001,0.201,1.399,1.3850001,0.36900002,1.9760001,2.765,0.0,Linear_observed,stoch
30.0,2.5210001,2.5200002,3.7560003,-1.235,0.23200001,1.256,1.2340001,0.32900003,2.061,2.976,0.0,GP_observed,stoch
30.0,0.93000007,0.93000007,0.98800004,-0.058000002,0.054,0.079,0.066,0.067,0.82600003,1.0370001,1.0,Linear_3S,dynamic
30.0,0.78000003,0.781,0.98800004,-0.208,0.071,0.22000001,0.209,0.21100001,0.634,0.915,0.0,GP_3S,dynamic
30.0,3.407,3.41,3.7560003,-0.349,0.18900001,0.39600003,0.35300002,0.094000004,3.0430002,3.7760003,1.0,Linear_3S,stoch
30.0,2.64,2.6430001,3.7560003,-1.116,0.3,1.1550001,1.116,0.29700002,2.038,3.2210002,0.0,GP_3S,stoch
30.0,1.046,1.046,0.98800004,0.058000002,0.041,0.07,0.060000002,0.061000004,0.96400005,1.125,1.0,Linear_1S,dynamic
30.0,0.99500006,0.99300003,0.98800004,0.007,0.067,0.067,0.053000003,0.053000003,0.86600006,1.131,1.0,GP_1S,dynamic
30.0,3.831,3.8320003,3.7560003,0.075,0.15,0.16800001,0.135,0.036000002,3.5300002,4.124,1.0,Linear_1S,stoch
