idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
88.0,2.8590002,2.858,3.7930002,-0.934,0.18800001,0.95300007,0.934,0.246,2.49,3.232,0.0,GP_observed,stoch
88.0,1.1730001,1.172,1.3280001,-0.155,0.060000002,0.16600001,0.155,0.117000006,1.056,1.2900001,0.0,Linear_3S,dynamic
88.0,0.809,0.81000006,1.3280001,-0.51900005,0.109000005,0.53000003,0.51900005,0.39100003,0.588,1.0170001,0.0,GP_3S,dynamic
88.0,3.446,3.4470003,3.7930002,-0.347,0.163,0.38300002,0.34800002,0.09200001,3.13,3.7610002,0.0,Linear_3S,stoch
88.0,2.3830001,2.3830001,3.7930002,-1.4100001,0.30800003,1.4430001,1.4100001,0.372,1.7760001,2.992,0.0,GP_3S,stoch
88.0,1.3360001,1.3360001,1.3280001,0.008,0.046000004,0.046000004,0.037,0.028,1.246,1.4260001,1.0,Linear_1S,dynamic
88.0,1.258,1.251,1.3280001,-0.07,0.124000005,0.143,0.116000004,0.08800001,1.028,1.5280001,1.0,GP_1S,dynamic
88.0,3.9050002,3.9040003,3.7930002,0.112,0.12900001,0.171,0.13900001,0.037,3.6480002,4.1610003,1.0,Linear_1S,stoch
88.0,3.519,3.5210001,3.7930002,-0.27400002,0.326,0.42600003,0.347,0.091000006,2.88,4.17,1.0,GP_1S,stoch
121.0,0.99200004,0.99200004,0.99700004,-0.0050000004,0.029000001,0.029000001,0.023000002,0.023000002,0.93500006,1.0480001,1.0,Linear_oracle,dynamic
121.0,0.92,0.92100006,0.99700004,-0.07700001,0.042000003,0.087000005,0.07700001,0.078,0.83400005,0.9990001,1.0,GP_oracle,dynamic
121.0,3.7930002,3.7940001,3.8120003,-0.019000001,0.11000001,0.112,0.089,0.023000002,3.5740001,4.0090003,1.0,Linear_oracle,stoch
121.0,3.4900002,3.4930003,3.8120003,-0.32200003,0.158,0.35900003,0.324,0.085,3.176,3.795,0.0,GP_oracle,stoch
121.0,0.675,0.675,0.99700004,-0.32200003,0.047000002,0.32500002,0.32200003,0.323,0.582,0.768,0.0,Linear_observed,dynamic
121.0,0.418,0.418,0.99700004,-0.57900006,0.065000005,0.582,0.578,0.58000004,0.291,0.54800004,0.0,GP_observed,dynamic
121.0,2.46,2.4580002,3.8120003,-1.3520001,0.16700001,1.363,1.353,0.35500002,2.1290002,2.7870002,0.0,Linear_observed,stoch
121.0,2.7960002,2.798,3.8120003,-1.016,0.194,1.034,1.016,0.26700002,2.42,3.1740003,0.0,GP_observed,stoch
121.0,0.85600007,0.85600007,0.99700004,-0.141,0.042000003,0.147,0.141,0.141,0.77500004,0.94000006,0.0,Linear_3S,dynamic
121.0,0.61600006,0.619,0.99700004,-0.381,0.071,0.38700002,0.38000003,0.381,0.47100002,0.75000006,0.0,GP_3S,dynamic
121.0,3.39,3.3930001,3.8120003,-0.42200002,0.15900001,0.45100003,0.42200002,0.11100001,3.0800002,3.703,0.0,Linear_3S,stoch
121.0,2.5370002,2.5370002,3.8120003,-1.2750001,0.21700001,1.2930001,1.2750001,0.33400002,2.111,2.9640002,0.0,GP_3S,stoch
121.0,0.95000005,0.95000005,0.99700004,-0.047000002,0.031000001,0.056,0.049000002,0.049000002,0.8880001,1.0120001,1.0,Linear_1S,dynamic
121.0,0.80700004,0.81000006,0.99700004,-0.19000001,0.062000003,0.19900002,0.18900001,0.19000001,0.67700005,0.92100006,0.0,GP_1S,dynamic
121.0,3.7700002,3.7700002,3.8120003,-0.042000003,0.127,0.133,0.10700001,0.028,3.522,4.019,1.0,Linear_1S,stoch
121.0,3.1620002,3.1660001,3.8120003,-0.65000004,0.23600002,0.69200003,0.651,0.171,2.69,3.6080003,0.0,GP_1S,stoch
154.0,0.96300006,0.96300006,0.99500006,-0.032,0.029000001,0.043,0.036000002,0.036000002,0.906,1.018,1.0,Linear_oracle,dynamic
154.0,0.96300006,0.96300006,0.99500006,-0.032,0.037,0.049000002,0.039,0.040000003,0.887,1.033,1.0,GP_oracle,dynamic
154.0,3.5630002,3.5640001,3.6840003,-0.12100001,0.108,0.162,0.135,0.037,3.3500001,3.7730002,1.0,Linear_oracle,stoch
154.0,3.5230002,3.525,3.6840003,-0.16100001,0.156,0.224,0.185,0.05,3.2140002,3.8250003,1.0,GP_oracle,stoch
154.0,0.772,0.771,0.99500006,-0.223,0.057000004,0.23,0.223,0.224,0.661,0.88400006,0.0,Linear_observed,dynamic
154.0,0.59000003,0.59000003,0.99500006,-0.40500003,0.062000003,0.409,0.404,0.407,0.46800002,0.711,0.0,GP_observed,dynamic
154.0,2.559,2.559,3.6840003,-1.125,0.18100001,1.1400001,1.126,0.305,2.207,2.917,0.0,Linear_observed,stoch
154.0,3.328,3.3260002,3.6840003,-0.356,0.27,0.44700003,0.381,0.10300001,2.808,3.8620002,1.0,GP_observed,stoch
154.0,0.81600004,0.81600004,0.99500006,-0.179,0.041,0.18300001,0.179,0.18,0.73800004,0.896,0.0,Linear_3S,dynamic
154.0,0.73200005,0.73600006,0.99500006,-0.263,0.057000004,0.26900002,0.263,0.264,0.60800004,0.83400005,0.0,GP_3S,dynamic
154.0,3.058,3.0630002,3.6840003,-0.62600005,0.14600001,0.643,0.62600005,0.17,2.7770002,3.3460002,0.0,Linear_3S,stoch
154.0,2.5470002,2.546,3.6840003,-1.1370001,0.20300001,1.156,1.138,0.30900002,2.147,2.9480002,0.0,GP_3S,stoch
154.0,0.89900005,0.89900005,0.99500006,-0.096,0.031000001,0.1,0.096,0.096,0.83900005,0.95900005,0.0,Linear_1S,dynamic
154.0,0.882,0.883,0.99500006,-0.113000005,0.042000003,0.120000005,0.113000005,0.113000005,0.79600006,0.9620001,0.0,GP_1S,dynamic
154.0,3.384,3.384,3.6840003,-0.3,0.119,0.323,0.30100003,0.082,3.1520002,3.617,0.0,Linear_1S,stoch
154.0,3.2270002,3.232,3.6840003,-0.45700002,0.19700001,0.49800003,0.45800003,0.124000005,2.832,3.5980003,0.0,GP_1S,stoch
187.0,1.3870001,1.3870001,1.4050001,-0.018000001,0.045,0.048,0.038000003,0.027,1.299,1.4740001,1.0,Linear_oracle,dynamic
187.0,1.302,1.3030001,1.4050001,-0.10300001,0.059000004,0.119,0.105000004,0.075,1.1800001,1.4120001,1.0,GP_oracle,dynamic
187.0,3.8590002,3.8600001,3.9050002,-0.046000004,0.120000005,0.128,0.102000006,0.026,3.6220002,4.0940003,1.0,Linear_oracle,stoch
187.0,3.3490002,3.357,3.9050002,-0.55600005,0.223,0.59900004,0.55600005,0.142,2.8990002,3.765,0.0,GP_oracle,stoch
187.0,0.96300006,0.96300006,1.4050001,-0.44200003,0.07300001,0.448,0.44200003,0.314,0.82000005,1.1060001,0.0,Linear_observed,dynamic
187.0,0.80300003,0.80300003,1.4050001,-0.60200006,0.07300001,0.606,0.60200006,0.42800003,0.65800005,0.947,0.0,GP_observed,dynamic
187.0,2.6450002,2.644,3.9050002,-1.2600001,0.18300001,1.274,1.261,0.323,2.2840002,3.0030003,0.0,Linear_observed,stoch
187.0,3.5390003,3.5330002,3.9050002,-0.36600003,0.32200003,0.48800004,0.411,0.105000004,2.924,4.196,1.0,GP_observed,stoch
187.0,1.212,1.212,1.4050001,-0.193,0.07,0.20500001,0.193,0.13700001,1.079,1.345,0.0,Linear_3S,dynamic
187.0,0.90200007,0.906,1.4050001,-0.503,0.117000006,0.517,0.503,0.358,0.66,1.121,0.0,GP_3S,dynamic
187.0,3.407,3.4080002,3.9050002,-0.49800003,0.18100001,0.53000003,0.49800003,0.127,3.062,3.7500002,0.0,Linear_3S,stoch
