idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
28.0,4.801,4.8,4.8230004,-0.022000002,0.049000002,0.112,0.094000004,0.026,4.7060003,4.8960004,1.0,1.0,Linear_oracle,dynamic
28.0,4.7110004,4.71,4.8230004,-0.112,0.065000005,0.50100005,0.24400002,0.08400001,4.584,4.839,1.0,0.86800003,GP_oracle,dynamic
28.0,5.6610003,5.6610003,5.7190003,-0.058000002,0.063,0.089,0.067,0.011000001,5.538,5.7860003,1.0,1.0,Linear_oracle,stoch
28.0,5.4620004,5.465,5.7190003,-0.257,0.08800001,0.92100006,0.324,0.043,5.28,5.63,0.0,0.892,GP_oracle,stoch
28.0,4.1800003,4.1800003,4.8230004,-0.643,0.065000005,1.389,0.89100003,0.238,4.052,4.308,0.0,0.23200001,Linear_observed,dynamic
28.0,4.096,4.096,4.8230004,-0.72700006,0.115,1.4460001,1.113,0.326,3.8710003,4.3230004,0.0,0.238,GP_observed,dynamic
28.0,5.137,5.138,5.7190003,-0.582,0.102000006,1.501,0.93900007,0.15400001,4.9360003,5.339,0.0,0.264,Linear_observed,stoch
28.0,6.1710005,6.1710005,5.7190003,0.45200002,0.209,1.312,1.0380001,0.18900001,5.761,6.5740004,0.0,0.26200002,GP_observed,stoch
28.0,4.715,4.715,4.8230004,-0.108,0.069000006,0.592,0.44500002,0.13900001,4.584,4.852,1.0,0.836,Linear_3S,dynamic
28.0,4.5680003,4.5680003,4.8230004,-0.25500003,0.086,0.791,0.558,0.179,4.4,4.737,0.0,0.77400005,GP_3S,dynamic
28.0,5.4360003,5.4350004,5.7190003,-0.28300002,0.085,0.64000005,0.47300002,0.081,5.269,5.603,0.0,0.81200004,Linear_3S,stoch
28.0,5.1710005,5.1740003,5.7190003,-0.54800004,0.126,1.2110001,0.71900004,0.113000005,4.9160004,5.4090004,0.0,0.79600006,GP_3S,stoch
28.0,4.821,4.822,4.8230004,-0.002,0.058000002,0.492,0.384,0.126,4.709,4.934,1.0,0.374,Linear_1S,dynamic
28.0,4.6780005,4.6790004,4.8230004,-0.14500001,0.078,0.716,0.50200003,0.165,4.5210004,4.827,1.0,0.49,GP_1S,dynamic
28.0,5.644,5.644,5.7190003,-0.075,0.076000005,0.46600002,0.367,0.07,5.493,5.7920003,1.0,0.344,Linear_1S,stoch
28.0,5.38,5.385,5.7190003,-0.33900002,0.108,1.0780001,0.63100004,0.102000006,5.1520004,5.5750003,0.0,0.386,GP_1S,stoch
83.0,4.9560003,4.9570003,4.9350004,0.021000002,0.051000003,0.068,0.053000003,0.017,4.8560004,5.056,1.0,1.0,Linear_oracle,dynamic
83.0,4.868,4.8690004,4.9350004,-0.067,0.072000004,0.35500002,0.17,0.054,4.7250004,5.0080004,1.0,0.97200006,GP_oracle,dynamic
83.0,5.755,5.755,5.7630005,-0.008,0.066,0.07,0.042000003,0.007,5.6270003,5.885,1.0,1.0,Linear_oracle,stoch
83.0,5.589,5.59,5.7630005,-0.17400001,0.081,0.665,0.26000002,0.039,5.427,5.7450004,0.0,0.90400004,GP_oracle,stoch
83.0,4.2770004,4.2770004,4.9350004,-0.65800005,0.069000006,1.366,0.85400003,0.19000001,4.1390004,4.412,0.0,0.29000002,Linear_observed,dynamic
83.0,4.026,4.0270004,4.9350004,-0.90900004,0.11800001,1.728,1.3310001,0.4,3.7940001,4.257,0.0,0.246,GP_observed,dynamic
83.0,5.1320004,5.1320004,5.7630005,-0.63100004,0.095000006,1.4840001,0.93600005,0.15300001,4.946,5.3180003,0.0,0.22000001,Linear_observed,stoch
83.0,6.0520005,6.0520005,5.7630005,0.289,0.141,1.133,0.864,0.158,5.775,6.3290005,0.0,0.312,GP_observed,stoch
