idx,mean,median,true,bias,std,RMSE,MAE,MAPE,q025,q975,covering,method,estimand
26.0,0.94500005,0.94500005,0.9850001,-0.040000003,0.028,0.049000002,0.042000003,0.043,0.89000005,1.001,1.0,Linear_oracle,dynamic
26.0,0.90300006,0.90400004,0.9850001,-0.082,0.034,0.089,0.083000004,0.08400001,0.83300006,0.96800005,0.0,GP_oracle,dynamic
26.0,3.7120001,3.7100003,3.8700001,-0.158,0.112,0.194,0.16600001,0.043,3.492,3.9310002,1.0,Linear_oracle,stoch
26.0,3.509,3.512,3.8700001,-0.36100003,0.143,0.38900003,0.36200002,0.093,3.2200003,3.782,0.0,GP_oracle,stoch
26.0,0.66700006,0.66700006,0.9850001,-0.31800002,0.048,0.32200003,0.31800002,0.323,0.573,0.762,0.0,Linear_observed,dynamic
26.0,0.48600003,0.48600003,0.9850001,-0.499,0.059000004,0.503,0.5,0.507,0.37300003,0.60200006,0.0,GP_observed,dynamic
26.0,2.3990002,2.398,3.8700001,-1.4710001,0.16600001,1.48,1.4710001,0.38000003,2.078,2.726,0.0,Linear_observed,stoch
26.0,2.9160001,2.917,3.8700001,-0.95400006,0.25,0.98600006,0.95400006,0.246,2.433,3.404,0.0,GP_observed,stoch
26.0,0.82400006,0.82400006,0.9850001,-0.16100001,0.042000003,0.16700001,0.162,0.164,0.744,0.906,0.0,Linear_3S,dynamic
26.0,0.69000006,0.69500005,0.9850001,-0.29500002,0.067,0.30200002,0.29500002,0.29900002,0.546,0.808,0.0,GP_3S,dynamic
26.0,3.292,3.2960002,3.8700001,-0.578,0.158,0.59900004,0.578,0.149,2.9880002,3.601,0.0,Linear_3S,stoch
26.0,2.641,2.641,3.8700001,-1.2290001,0.19700001,1.245,1.2290001,0.31800002,2.253,3.0300002,0.0,GP_3S,stoch
26.0,0.90400004,0.90400004,0.9850001,-0.081,0.030000001,0.086,0.081,0.082,0.84400004,0.96300006,0.0,Linear_1S,dynamic
26.0,0.818,0.822,0.9850001,-0.16700001,0.051000003,0.17500001,0.16700001,0.16900001,0.70600003,0.91,0.0,GP_1S,dynamic
26.0,3.6250002,3.6250002,3.8700001,-0.245,0.124000005,0.275,0.24700001,0.064,3.3790002,3.8650002,0.0,Linear_1S,stoch
26.0,3.176,3.1780002,3.8700001,-0.694,0.20300001,0.72300005,0.694,0.179,2.7710001,3.5690002,0.0,GP_1S,stoch
59.0,1.4690001,1.4690001,1.4760001,-0.007,0.039,0.040000003,0.032,0.022000002,1.391,1.544,1.0,Linear_oracle,dynamic
59.0,1.4260001,1.429,1.4760001,-0.05,0.052,0.072000004,0.058000002,0.039,1.315,1.524,1.0,GP_oracle,dynamic
59.0,3.851,3.8500001,3.8710003,-0.020000001,0.1,0.102000006,0.082,0.021000002,3.65,4.044,1.0,Linear_oracle,stoch
59.0,3.614,3.617,3.8710003,-0.257,0.14600001,0.29500002,0.261,0.067,3.3230002,3.8950002,1.0,GP_oracle,stoch
59.0,1.2010001,1.2010001,1.4760001,-0.275,0.08800001,0.28800002,0.275,0.186,1.0300001,1.3740001,0.0,Linear_observed,dynamic
59.0,0.91700006,0.91600007,1.4760001,-0.559,0.082,0.565,0.559,0.379,0.75900006,1.077,0.0,GP_observed,dynamic
59.0,3.0490003,3.0490003,3.8710003,-0.822,0.21200001,0.84800005,0.822,0.21200001,2.6360002,3.4640002,0.0,Linear_observed,stoch
59.0,3.798,3.798,3.8710003,-0.07300001,0.26000002,0.27,0.215,0.056,3.2910001,4.3040004,1.0,GP_observed,stoch
59.0,1.2870001,1.2880001,1.4760001,-0.18900001,0.058000002,0.19700001,0.18900001,0.128,1.1750001,1.401,0.0,Linear_3S,dynamic
59.0,1.079,1.0840001,1.4760001,-0.397,0.09200001,0.40800002,0.397,0.26900002,0.883,1.2440001,0.0,GP_3S,dynamic
59.0,3.4610002,3.466,3.8710003,-0.41000003,0.14600001,0.43500003,0.41000003,0.106000006,3.1750002,3.7480001,0.0,Linear_3S,stoch
59.0,2.703,2.703,3.8710003,-1.1680001,0.193,1.184,1.1680001,0.30200002,2.3240001,3.0800002,0.0,GP_3S,stoch
