idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
127.0,2.1130002,2.114,2.4810002,-0.36800003,0.075,1.023,1.0320001,0.707,0.716,1.7730001,1.9670001,2.259,0.0,0.25800002,Linear_observed,dynamic
127.0,1.404,1.4020001,2.4810002,-1.077,0.19500001,1.636,1.6840001,1.261,1.286,4.4950004,1.026,1.7960001,0.0,0.298,GP_observed,dynamic
127.0,2.815,2.8160002,3.2050002,-0.39000002,0.079,1.1650001,1.172,0.83500004,0.841,0.536,2.6590002,2.969,0.0,0.21400002,Linear_observed,stoch
127.0,3.6890001,3.6850002,3.2050002,0.48400003,0.22100002,1.241,1.3180001,0.95400006,0.99200004,0.578,3.2640002,4.125,0.0,0.40800002,GP_observed,stoch
127.0,2.42,2.42,2.4810002,-0.061000004,0.072000004,0.582,0.702,0.44300002,0.544,1.5530001,2.2800002,2.5600002,1.0,0.814,Linear_3S,dynamic
127.0,3.0310001,3.0300002,3.2050002,-0.17400001,0.081,0.66800004,0.795,0.509,0.61600006,0.27800003,2.874,3.193,0.0,0.8,Linear_3S,stoch
127.0,2.371,2.3700001,2.4810002,-0.11000001,0.08400001,0.74200004,0.85800004,0.521,0.61200005,1.843,2.209,2.538,1.0,0.76600003,GP_3S,dynamic
127.0,2.923,2.9220002,3.2050002,-0.282,0.089,0.762,0.89500004,0.57100004,0.675,0.31300002,2.753,3.101,0.0,0.77400005,GP_3S,stoch
127.0,2.48,2.479,2.4810002,-0.001,0.051000003,0.521,0.53400004,0.404,0.41400003,1.4990001,2.377,2.581,1.0,0.33200002,Linear_1S,dynamic
127.0,2.457,2.459,2.4810002,-0.024,0.071,0.67700005,0.72700006,0.467,0.5,1.9260001,2.3170002,2.595,1.0,0.536,GP_1S,dynamic
127.0,3.206,3.2070003,3.2050002,0.001,0.064,0.582,0.591,0.455,0.46300003,0.291,3.0820003,3.3330002,1.0,0.24800001,Linear_1S,stoch
127.0,3.127,3.127,3.2050002,-0.078,0.080000006,0.651,0.69900006,0.49500003,0.522,0.27400002,2.97,3.285,1.0,0.44400004,GP_1S,stoch
182.0,2.3930001,2.3930001,2.433,-0.040000003,0.05,0.095000006,0.147,0.071,0.108,0.16700001,2.296,2.492,1.0,1.0,Linear_oracle,dynamic
