idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
2,2.8890002,2.8880002,2.831,0.058000002,0.053000003,0.127,0.17,0.116000004,0.13700001,0.43400002,2.7840002,2.9950001,1,0.822,Linear_oracle,dynamic
2,2.798,2.799,2.831,-0.033,0.071,0.432,0.513,0.14400001,0.238,0.24900001,2.6580002,2.936,1,0.99000007,GP_oracle,dynamic
2,3.2940001,3.2930002,3.2450001,0.049000002,0.060000002,0.08400001,0.13000001,0.068,0.09900001,0.027,3.176,3.4140003,1,1,Linear_oracle,stoch
2,3.2400002,3.2400002,3.2450001,-0.005,0.065000005,0.337,0.402,0.127,0.193,0.047000002,3.1100001,3.364,1,0.98800004,GP_oracle,stoch
2,2.391,2.39,2.831,-0.44000003,0.061000004,1.176,1.1830001,0.85200006,0.85800004,1.8280001,2.272,2.509,0,0.17400001,Linear_observed,dynamic
2,2.413,2.4120002,2.831,-0.418,0.134,1.3460001,1.3900001,1.011,1.0430001,2.3300002,2.15,2.677,0,0.374,GP_observed,dynamic
2,2.812,2.812,3.2450001,-0.43300003,0.087000005,1.1730001,1.1810001,0.86,0.86800003,0.37300003,2.638,2.982,0,0.208,Linear_observed,stoch
2,3.413,3.413,3.2450001,0.16800001,0.23,1.245,1.3260001,0.89500004,0.95100003,0.42000002,2.9670002,3.8790002,1,0.48600003,GP_observed,stoch
2,2.7940001,2.7930002,2.831,-0.037,0.07700001,0.577,0.69600004,0.45700002,0.546,1.692,2.644,2.9490001,1,0.808,Linear_3S,dynamic
2,3.1230001,3.1220002,3.2450001,-0.12200001,0.082,0.57500005,0.69200003,0.455,0.54300004,0.201,2.966,3.288,1,0.808,Linear_3S,stoch
2,2.7310002,2.73,2.831,-0.1,0.093,0.71900004,0.86800003,0.50100005,0.619,1.6170001,2.5500002,2.914,1,0.85800004,GP_3S,dynamic
2,3.0760002,3.0740001,3.2450001,-0.16900001,0.087000005,0.66700006,0.80200005,0.48700002,0.595,0.209,2.91,3.249,1,0.86,GP_3S,stoch
2,2.9150002,2.914,2.831,0.08400001,0.060000002,0.514,0.528,0.41300002,0.423,1.6930001,2.8000002,3.035,1,0.30800003,Linear_1S,dynamic
2,2.838,2.838,2.831,0.007,0.076000005,0.697,0.754,0.47900003,0.514,1.6470001,2.6880002,2.9880002,1,0.514,GP_1S,dynamic
2,3.278,3.2760003,3.2450001,0.033,0.067,0.492,0.504,0.40100002,0.40800002,0.19100001,3.1510003,3.4120002,1,0.256,Linear_1S,stoch
2,3.2340002,3.2350001,3.2450001,-0.011000001,0.071,0.62,0.66,0.45400003,0.47400004,0.20500001,3.094,3.374,1,0.42600003,GP_1S,stoch
57,2.6460001,2.647,2.581,0.065000005,0.046000004,0.109000005,0.15100001,0.09,0.11800001,0.317,2.5570002,2.7380002,1,1,Linear_oracle,dynamic
57,2.5040002,2.505,2.581,-0.07700001,0.060000002,0.418,0.47300002,0.18,0.23900001,0.286,2.384,2.6220002,1,0.95400006,GP_oracle,dynamic
