idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
48.0,0.72200006,0.72200006,0.74100006,-0.019000001,0.022000002,0.041,0.057000004,0.032,0.037,0.68,0.76400006,1.0,1.0,Linear_oracle,dynamic
48.0,0.702,0.702,0.74100006,-0.039,0.023000002,0.149,0.18200001,0.063,0.082,0.65800005,0.74600005,1.0,0.864,GP_oracle,dynamic
48.0,2.4840002,2.483,2.546,-0.062000003,0.07300001,0.080000006,0.113000005,0.063,0.082,2.341,2.6260002,1.0,1.0,Linear_oracle,stoch
48.0,2.417,2.4160001,2.546,-0.12900001,0.080000006,0.344,0.38000003,0.132,0.165,2.26,2.572,1.0,0.97800004,GP_oracle,stoch
48.0,0.52000004,0.52000004,0.74100006,-0.22100002,0.037,0.38700002,0.39100003,0.28500003,0.28800002,0.44500002,0.59300005,0.0,0.18,Linear_observed,dynamic
48.0,0.462,0.46100003,0.74100006,-0.279,0.072000004,0.49800003,0.523,0.367,0.38900003,0.323,0.60300004,0.0,0.49,GP_observed,dynamic
48.0,1.7160001,1.7160001,2.546,-0.83000004,0.109000005,1.0550001,1.062,0.85400003,0.859,1.498,1.927,0.0,0.13800001,Linear_observed,stoch
48.0,1.8490001,1.8500001,2.546,-0.697,0.116000004,1.1090001,1.1470001,0.90700006,0.92700005,1.6250001,2.079,0.0,0.27400002,GP_observed,stoch
48.0,0.577,0.57600003,0.74100006,-0.164,0.036000002,0.31300002,0.34800002,0.23400001,0.26200002,0.51000005,0.651,0.0,0.75600004,Linear_3S,dynamic
48.0,1.9900001,1.9870001,2.546,-0.55600005,0.102000006,0.70900005,0.754,0.58000004,0.609,1.7960001,2.196,0.0,0.49400002,Linear_3S,stoch
48.0,0.536,0.535,0.74100006,-0.20500001,0.040000003,0.35000002,0.42800003,0.259,0.30400002,0.45800003,0.61600006,0.0,0.846,GP_3S,dynamic
48.0,1.8460001,1.845,2.546,-0.70000005,0.117000006,0.832,0.92300004,0.707,0.748,1.616,2.075,0.0,0.614,GP_3S,stoch
48.0,0.73300004,0.73200005,0.74100006,-0.008,0.029000001,0.246,0.25,0.194,0.19700001,0.67700005,0.78900003,1.0,0.22200002,Linear_1S,dynamic
48.0,0.70600003,0.707,0.74100006,-0.035,0.041,0.36,0.39200002,0.23900001,0.25100002,0.62600005,0.785,1.0,0.46800002,GP_1S,dynamic
48.0,2.5080001,2.506,2.546,-0.038000003,0.096,0.363,0.37800002,0.28,0.29200003,2.3230002,2.6980002,1.0,0.42400002,Linear_1S,stoch
48.0,2.4490001,2.4510002,2.546,-0.097,0.14600001,0.633,0.68100005,0.36200002,0.39800003,2.16,2.7310002,1.0,0.68,GP_1S,stoch
103.0,0.72300005,0.72200006,0.716,0.007,0.020000001,0.011000001,0.038000003,0.007,0.021000002,0.683,0.763,1.0,1.0,Linear_oracle,dynamic
103.0,0.702,0.702,0.716,-0.014,0.024,0.17500001,0.21400002,0.064,0.087000005,0.65400004,0.75000006,1.0,0.98800004,GP_oracle,dynamic
103.0,2.7770002,2.776,2.7510002,0.026,0.07700001,0.027,0.08800001,0.026,0.066,2.627,2.9280002,1.0,1.0,Linear_oracle,stoch
103.0,2.7380002,2.7380002,2.7510002,-0.013,0.086,0.40100002,0.448,0.162,0.19800001,2.5700002,2.9060001,1.0,0.95800006,GP_oracle,stoch
103.0,0.48600003,0.48600003,0.716,-0.23,0.040000003,0.38900003,0.393,0.29200003,0.296,0.40500003,0.565,0.0,0.20600002,Linear_observed,dynamic
103.0,0.34,0.34,0.716,-0.37600002,0.061000004,0.555,0.577,0.44000003,0.45700002,0.21900001,0.46,0.0,0.35200003,GP_observed,dynamic
