idx,mean,median,TRUE,bias,std,RMSE,RMSE_all,MAE,MAE_all,q025,q975,covering,mean_ind_cover,method,estimand
148,0.61300004,0.611,0.74500006,-0.132,0.038000003,0.29200003,0.32500002,0.21100001,0.24200001,0.54200006,0.69100004,0,0.76400006,Linear_3S,dynamic
148,2.137,2.1330001,2.6160002,-0.47900003,0.125,0.68,0.739,0.53800005,0.583,1.899,2.3860002,0,0.588,Linear_3S,stoch
148,0.563,0.563,0.74500006,-0.18200001,0.047000002,0.411,0.49800003,0.25500003,0.30800003,0.469,0.65300006,0,0.86,GP_3S,dynamic
148,1.991,1.991,2.6160002,-0.625,0.127,0.869,0.9850001,0.652,0.72200006,1.7400001,2.239,0,0.73800004,GP_3S,stoch
148,0.77900004,0.77900004,0.74500006,0.034,0.032,0.24100001,0.246,0.192,0.19500001,0.71500003,0.84200007,1,0.202,Linear_1S,dynamic
148,0.73600006,0.735,0.74500006,-0.009000001,0.045,0.44300002,0.48200002,0.264,0.27600002,0.648,0.82500005,1,0.48200002,GP_1S,dynamic
148,2.755,2.755,2.6160002,0.13900001,0.119,0.43600002,0.45400003,0.34600002,0.36,2.5210001,2.9880002,1,0.39600003,Linear_1S,stoch
148,2.6780002,2.676,2.6160002,0.062000003,0.15,0.84400004,0.901,0.521,0.54700005,2.384,2.9750001,1,0.53000003,GP_1S,stoch
203,0.95900005,0.95900005,0.9480001,0.011000001,0.029000001,0.014,0.048,0.012,0.030000001,0.901,1.016,1,1,Linear_oracle,dynamic
203,0.91600007,0.91700006,0.9480001,-0.032,0.037,0.316,0.37,0.095000006,0.13000001,0.83800006,0.98700005,1,0.95800006,GP_oracle,dynamic
203,2.664,2.664,2.6360002,0.028,0.078,0.033,0.09200001,0.028,0.068,2.509,2.8160002,1,1,Linear_oracle,stoch
203,2.5240002,2.525,2.6360002,-0.112,0.08400001,0.386,0.453,0.15200001,0.18800001,2.3560002,2.686,1,0.98800004,GP_oracle,stoch
203,0.671,0.671,0.9480001,-0.277,0.058000002,0.47800002,0.48400003,0.36,0.367,0.55700004,0.786,0,0.24400002,Linear_observed,dynamic
203,0.512,0.512,0.9480001,-0.43600002,0.078,0.70000005,0.72800004,0.56600004,0.586,0.36,0.665,0,0.37800002,GP_observed,dynamic
203,1.8560001,1.8540001,2.6360002,-0.78000003,0.13900001,1.054,1.065,0.83900005,0.84800005,1.5780001,2.1320002,0,0.22200002,Linear_observed,stoch
