idx,mean,median,true,bias,std,RMSE,RMSE_all,MAE,MAE_all,MAPE,q025,q975,covering,mean_ind_cover,method,estimand
119.0,2.2580001,2.2580001,2.551,-0.293,0.062000003,0.97200006,0.98,0.69900006,0.707,1.151,2.137,2.377,0.0,0.22800002,Linear_observed,dynamic
119.0,2.022,2.022,2.551,-0.52900004,0.135,1.3310001,1.373,1.0320001,1.0550001,2.832,1.7580001,2.2870002,0.0,0.33,GP_observed,dynamic
119.0,2.798,2.798,3.0080001,-0.21000001,0.083000004,1.0020001,1.01,0.73300004,0.74100006,0.43100002,2.6360002,2.9610002,0.0,0.23,Linear_observed,stoch
119.0,3.713,3.7080002,3.0080001,0.70500004,0.202,1.2930001,1.36,1.0450001,1.072,0.684,3.321,4.116,0.0,0.33,GP_observed,stoch
119.0,2.5440001,2.5440001,2.551,-0.007,0.072000004,0.555,0.67800003,0.43500003,0.532,1.337,2.403,2.687,1.0,0.82000005,Linear_3S,dynamic
119.0,2.9160001,2.9150002,3.0080001,-0.09200001,0.078,0.55700004,0.683,0.42800003,0.53400004,0.34800002,2.765,3.071,1.0,0.82000005,Linear_3S,stoch
119.0,2.5070002,2.506,2.551,-0.044000003,0.086,0.76500005,0.89800006,0.532,0.63500005,1.1650001,2.3400002,2.676,1.0,0.822,GP_3S,dynamic
119.0,2.8850002,2.884,3.0080001,-0.123,0.085,0.735,0.87500006,0.507,0.62,0.354,2.72,3.0530002,1.0,0.84200007,GP_3S,stoch
119.0,2.644,2.644,2.551,0.093,0.055000003,0.50100005,0.514,0.393,0.40300003,1.4360001,2.536,2.753,1.0,0.34,Linear_1S,dynamic
119.0,2.6130002,2.6130002,2.551,0.062000003,0.075,0.72900003,0.78300005,0.48900002,0.521,1.3740001,2.4640002,2.7600002,1.0,0.526,GP_1S,dynamic
119.0,3.0870001,3.0870001,3.0080001,0.079,0.063,0.48700002,0.49800003,0.381,0.388,0.342,2.963,3.2120001,1.0,0.30200002,Linear_1S,stoch
119.0,3.061,3.062,3.0080001,0.053000003,0.078,0.708,0.75600004,0.47300002,0.49800003,0.36200002,2.904,3.209,1.0,0.46600002,GP_1S,stoch
174.0,2.809,2.809,2.795,0.014,0.049000002,0.127,0.165,0.09900001,0.124000005,0.34,2.7120001,2.904,1.0,0.97400004,Linear_oracle,dynamic
174.0,2.709,2.7080002,2.795,-0.086,0.067,0.289,0.36800003,0.19800001,0.25300002,0.28,2.578,2.8430002,1.0,0.95800006,GP_oracle,dynamic
174.0,3.203,3.203,3.213,-0.010000001,0.055000003,0.117000006,0.149,0.089,0.109000005,0.074,3.094,3.3120003,1.0,0.97400004,Linear_oracle,stoch
174.0,3.1520002,3.1520002,3.213,-0.061000004,0.059000004,0.31500003,0.37100002,0.16800001,0.21400002,0.127,3.0360003,3.2670002,1.0,0.96000004,GP_oracle,stoch
174.0,2.4750001,2.4750001,2.795,-0.32000002,0.063,1.054,1.0610001,0.776,0.78300005,1.8620001,2.3530002,2.598,0.0,0.19600001,Linear_observed,dynamic
174.0,1.983,1.9840001,2.795,-0.81200004,0.14400001,1.6190001,1.6550001,1.233,1.258,4.92,1.6990001,2.2610002,0.0,0.344,GP_observed,dynamic
174.0,2.8530002,2.8520002,3.213,-0.36,0.071,1.1320001,1.138,0.82400006,0.83000004,0.41900003,2.7150002,2.993,0.0,0.18800001,Linear_observed,stoch
174.0,3.2610002,3.2610002,3.213,0.048,0.13700001,0.98300004,1.0320001,0.74,0.77400005,0.512,2.993,3.5300002,1.0,0.41200003,GP_observed,stoch
174.0,2.7580001,2.7580001,2.795,-0.037,0.071,0.61300004,0.71900004,0.49300003,0.572,1.8190001,2.621,2.897,1.0,0.75200003,Linear_3S,dynamic
174.0,3.038,3.0370002,3.213,-0.17500001,0.074,0.69200003,0.786,0.545,0.61800003,0.33,2.8950002,3.183,0.0,0.68200004,Linear_3S,stoch
174.0,2.6350002,2.6350002,2.795,-0.16000001,0.085,0.69900006,0.822,0.55600005,0.64400005,1.524,2.4680002,2.802,1.0,0.768,GP_3S,dynamic
174.0,2.992,2.9910002,3.213,-0.22100002,0.074,0.749,0.85,0.58000004,0.657,0.342,2.8490002,3.137,0.0,0.698,GP_3S,stoch
174.0,2.8470001,2.8470001,2.795,0.052,0.054,0.526,0.53900003,0.42700002,0.43600002,1.664,2.7400002,2.953,1.0,0.30600002,Linear_1S,dynamic
174.0,2.7240002,2.7240002,2.795,-0.071,0.072000004,0.62,0.66800004,0.485,0.51600003,1.4250001,2.584,2.8660002,1.0,0.508,GP_1S,dynamic
174.0,3.187,3.186,3.213,-0.026,0.061000004,0.56200004,0.57100004,0.453,0.46,0.29900002,3.0660002,3.3070002,1.0,0.26200002,Linear_1S,stoch
174.0,3.1290002,3.13,3.213,-0.08400001,0.065000005,0.661,0.694,0.507,0.527,0.32200003,2.999,3.256,1.0,0.386,GP_1S,stoch
229.0,2.858,2.857,2.8300002,0.028,0.048,0.116000004,0.156,0.104,0.125,0.126,2.765,2.953,1.0,0.9480001,Linear_oracle,dynamic
229.0,2.8260002,2.825,2.8300002,-0.004,0.065000005,0.45800003,0.513,0.22600001,0.272,0.35300002,2.6990001,2.953,1.0,0.84400004,GP_oracle,dynamic
229.0,3.3490002,3.3490002,3.321,0.028,0.056,0.07300001,0.11800001,0.059000004,0.089,0.066,3.2410002,3.4620001,1.0,1.0,Linear_oracle,stoch
229.0,3.2960002,3.2960002,3.321,-0.025,0.061000004,0.393,0.441,0.17300001,0.216,0.19700001,3.1740003,3.417,1.0,0.94200003,GP_oracle,stoch
229.0,2.4780002,2.4780002,2.8300002,-0.35200003,0.063,1.028,1.0350001,0.75900006,0.76500005,0.67700005,2.354,2.601,0.0,0.21000001,Linear_observed,dynamic
229.0,1.9840001,1.9840001,2.8300002,-0.846,0.158,1.8260001,1.858,1.4300001,1.4460001,2.374,1.6760001,2.292,0.0,0.24000001,GP_observed,dynamic
229.0,2.841,2.8400002,3.321,-0.48000002,0.075,1.1500001,1.156,0.82400006,0.83100003,0.57600003,2.693,2.9880002,0.0,0.21200001,Linear_observed,stoch
229.0,3.482,3.4800003,3.321,0.16100001,0.17500001,1.028,1.0910001,0.75600004,0.80300003,0.772,3.141,3.8300002,1.0,0.462,GP_observed,stoch
229.0,2.6980002,2.697,2.8300002,-0.132,0.069000006,0.62,0.70900005,0.49500003,0.56200004,0.513,2.5640001,2.835,1.0,0.72,Linear_3S,dynamic
229.0,3.1150002,3.114,3.321,-0.20600002,0.078,0.66200006,0.75500005,0.526,0.595,0.44500002,2.966,3.2710001,0.0,0.72400004,Linear_3S,stoch
229.0,2.6460001,2.6460001,2.8300002,-0.18400002,0.082,0.80300003,0.90500003,0.57600003,0.65300006,0.60400003,2.4850001,2.808,0.0,0.75200003,GP_3S,dynamic
229.0,3.045,3.0440001,3.321,-0.27600002,0.081,0.82900006,0.93500006,0.597,0.67300004,0.53800005,2.8880002,3.203,0.0,0.73800004,GP_3S,stoch
229.0,2.7830002,2.7840002,2.8300002,-0.047000002,0.053000003,0.508,0.521,0.41000003,0.42000002,0.469,2.6790001,2.8880002,1.0,0.28800002,Linear_1S,dynamic
229.0,2.7380002,2.7370002,2.8300002,-0.09200001,0.07300001,0.72400004,0.76900005,0.49300003,0.522,0.55700004,2.5970001,2.8850002,1.0,0.5,GP_1S,dynamic
229.0,3.2830002,3.2840002,3.321,-0.038000003,0.064,0.518,0.52900004,0.418,0.42600003,0.37100002,3.157,3.4090002,1.0,0.24200001,Linear_1S,stoch
229.0,3.1880002,3.1880002,3.321,-0.133,0.078,0.762,0.804,0.522,0.54,0.50100005,3.032,3.3370001,1.0,0.41000003,GP_1S,stoch
284.0,3.0200002,3.0200002,3.022,-0.002,0.052,0.128,0.16700001,0.101,0.128,4.591,2.9180002,3.121,1.0,0.93000007,Linear_oracle,dynamic
284.0,2.9060001,2.9050002,3.022,-0.116000004,0.074,0.287,0.38200003,0.194,0.25500003,10.536,2.762,3.051,1.0,0.952,GP_oracle,dynamic
284.0,3.3530002,3.3530002,3.331,0.022000002,0.057000004,0.104,0.141,0.076000005,0.1,0.043,3.242,3.4650002,1.0,1.0,Linear_oracle,stoch
284.0,3.2580001,3.2580001,3.331,-0.07300001,0.065000005,0.323,0.39100003,0.120000005,0.187,0.052,3.13,3.3860002,1.0,0.99000007,GP_oracle,stoch
284.0,2.273,2.273,3.022,-0.749,0.074,1.2930001,1.3010001,0.96700007,0.975,6.4300003,2.1290002,2.4190001,0.0,0.18200001,Linear_observed,dynamic
284.0,1.2340001,1.235,3.022,-1.7880001,0.2,2.684,2.7150002,2.0900002,2.1130002,116.94701,0.84300005,1.6200001,0.0,0.246,GP_observed,dynamic
284.0,2.809,2.809,3.331,-0.522,0.076000005,1.253,1.2590001,0.90300006,0.91,0.514,2.66,2.959,0.0,0.18,Linear_observed,stoch
284.0,3.502,3.5010002,3.331,0.171,0.16700001,0.97,1.036,0.74600005,0.795,0.89000005,3.177,3.8330002,1.0,0.46800002,GP_observed,stoch
284.0,0.68200004,0.67300004,3.022,-2.3400002,0.374,2.552,2.584,2.3400002,2.341,51.070004,-0.014,1.455,0.0,0.030000001,Linear_3S,dynamic
284.0,-0.10300001,-0.120000005,3.331,-3.4340003,0.588,3.604,3.6550002,3.4340003,3.4350002,2.2740002,-1.1930001,1.1140001,0.0,0.0,Linear_3S,stoch
284.0,-1.5970001,-1.567,3.022,-4.6190004,1.2360001,4.7510004,4.953,4.6190004,4.6210003,155.91801,-4.145,0.70600003,0.0,0.026,GP_3S,dynamic
284.0,-1.0370001,-0.94100004,3.331,-4.368,1.6780001,4.631,4.9440002,4.368,4.401,2.2010002,-4.3710003,1.968,0.0,0.252,GP_3S,stoch
284.0,0.48400003,0.483,3.022,-2.538,0.34,2.732,2.755,2.538,2.538,58.146004,-0.17500001,1.1470001,0.0,0.0,Linear_1S,dynamic
284.0,-3.6620002,-3.6050003,3.022,-6.6840005,1.2310001,6.8090005,6.9530005,6.6840005,6.6840005,254.085,-6.203,-1.393,0.0,0.0,GP_1S,dynamic
284.0,-0.407,-0.409,3.331,-3.7380002,0.523,3.8940003,3.9300003,3.7380002,3.7380002,2.548,-1.429,0.61600006,0.0,0.0,Linear_1S,stoch
284.0,-2.7250001,-2.6580002,3.331,-6.056,1.6960001,6.38,6.6130004,6.056,6.0680003,3.229,-6.221,0.46600002,0.0,0.11000001,GP_1S,stoch
339.0,2.131,2.131,2.121,0.010000001,0.046000004,0.104,0.14400001,0.082,0.108,0.272,2.0400002,2.22,1.0,1.0,Linear_oracle,dynamic
339.0,2.082,2.082,2.121,-0.039,0.062000003,0.164,0.268,0.124000005,0.19800001,0.684,1.9610001,2.203,1.0,0.99200004,GP_oracle,dynamic
339.0,2.966,2.966,2.9750001,-0.009000001,0.053000003,0.104,0.136,0.081,0.101,0.080000006,2.861,3.0700002,1.0,0.9760001,Linear_oracle,stoch
339.0,2.9380002,2.9380002,2.9750001,-0.037,0.055000003,0.19800001,0.272,0.116000004,0.171,0.134,2.8290002,3.0440001,1.0,0.984,GP_oracle,stoch
339.0,1.96,1.9610001,2.121,-0.16100001,0.074,0.924,0.93200004,0.632,0.64100003,1.4480001,1.8140001,2.105,0.0,0.254,Linear_observed,dynamic
339.0,1.125,1.1240001,2.121,-0.99600005,0.21800001,1.8040001,1.853,1.3540001,1.383,6.0020003,0.697,1.552,0.0,0.342,GP_observed,dynamic
339.0,2.6850002,2.686,2.9750001,-0.29000002,0.075,1.0860001,1.093,0.77500004,0.781,0.499,2.5400002,2.8300002,0.0,0.194,Linear_observed,stoch
339.0,3.3160002,3.318,2.9750001,0.34100002,0.18800001,1.0250001,1.0990001,0.78700006,0.83400005,0.60300004,2.9410002,3.6770003,1.0,0.46,GP_observed,stoch
339.0,2.134,2.135,2.121,0.013,0.066,0.49400002,0.61200005,0.39400002,0.483,1.001,2.003,2.2640002,1.0,0.83800006,Linear_3S,dynamic
339.0,2.8960001,2.8960001,2.9750001,-0.079,0.079,0.60400003,0.74200004,0.47200003,0.582,0.34600002,2.742,3.0540001,1.0,0.808,Linear_3S,stoch
339.0,2.0700002,2.071,2.121,-0.051000003,0.078,0.521,0.652,0.418,0.51100004,1.107,1.917,2.223,1.0,0.83000004,GP_3S,dynamic
339.0,2.825,2.825,2.9750001,-0.15,0.08800001,0.66700006,0.82400006,0.51000005,0.628,0.32200003,2.654,2.9980001,1.0,0.81600004,GP_3S,stoch
339.0,2.138,2.137,2.121,0.017,0.05,0.43800002,0.45200002,0.347,0.35700002,0.95100003,2.0400002,2.237,1.0,0.354,Linear_1S,dynamic
339.0,2.0500002,2.051,2.121,-0.071,0.068,0.46,0.521,0.36200002,0.404,1.07,1.914,2.183,1.0,0.63600004,GP_1S,dynamic
339.0,3.0640001,3.0640001,2.9750001,0.089,0.062000003,0.54300004,0.55200005,0.42200002,0.43,0.31,2.9420002,3.186,1.0,0.272,Linear_1S,stoch
339.0,3.0460002,3.045,2.9750001,0.071,0.081,0.6,0.65000004,0.45900002,0.48800004,0.289,2.8860002,3.2050002,1.0,0.45400003,GP_1S,stoch
394.0,2.6980002,2.6990001,2.6660001,0.032,0.047000002,0.049000002,0.117000006,0.038000003,0.089,0.057000004,2.605,2.792,1.0,1.0,Linear_oracle,dynamic
394.0,2.674,2.674,2.6660001,0.008,0.064,0.44000003,0.49800003,0.18800001,0.25100002,0.33900002,2.5470002,2.799,1.0,0.96000004,GP_oracle,dynamic
394.0,3.2760003,3.2760003,3.2450001,0.031000001,0.056,0.033,0.09900001,0.031000001,0.074,0.022000002,3.1660001,3.387,1.0,1.0,Linear_oracle,stoch
394.0,3.2240002,3.223,3.2450001,-0.021000002,0.060000002,0.45700002,0.50100005,0.185,0.231,0.10700001,3.1060002,3.344,1.0,0.94200003,GP_oracle,stoch
394.0,2.3100002,2.309,2.6660001,-0.356,0.068,1.0370001,1.046,0.72300005,0.73300004,1.098,2.177,2.443,0.0,0.26000002,Linear_observed,dynamic
394.0,1.7750001,1.7760001,2.6660001,-0.89100003,0.15,1.8340001,1.868,1.3980001,1.4150001,3.5920002,1.4860001,2.0670002,0.0,0.27,GP_observed,dynamic
394.0,2.894,2.8950002,3.2450001,-0.351,0.07700001,1.1190001,1.1270001,0.822,0.82800007,0.374,2.743,3.0460002,0.0,0.17600001,Linear_observed,stoch
394.0,3.568,3.5690002,3.2450001,0.323,0.14500001,1.0530001,1.103,0.813,0.84300005,0.492,3.279,3.8490002,0.0,0.388,GP_observed,stoch
394.0,2.657,2.657,2.6660001,-0.009000001,0.07300001,0.55700004,0.693,0.44000003,0.544,1.116,2.5140002,2.802,1.0,0.86,Linear_3S,dynamic
394.0,3.1190002,3.118,3.2450001,-0.126,0.082,0.628,0.76500005,0.503,0.60200006,0.28300002,2.959,3.282,1.0,0.832,Linear_3S,stoch
394.0,2.582,2.581,2.6660001,-0.08400001,0.085,0.72,0.85600007,0.504,0.61300004,1.067,2.4150002,2.749,1.0,0.84400004,GP_3S,dynamic
394.0,3.0370002,3.0360003,3.2450001,-0.208,0.083000004,0.76000005,0.892,0.57500005,0.67,0.32900003,2.874,3.2,0.0,0.818,GP_3S,stoch
394.0,2.7370002,2.7370002,2.6660001,0.071,0.054,0.50600004,0.51900005,0.402,0.41300002,1.095,2.63,2.844,1.0,0.314,Linear_1S,dynamic
394.0,2.676,2.676,2.6660001,0.010000001,0.07300001,0.68,0.72800004,0.46100003,0.49600002,1.11,2.5300002,2.8170002,1.0,0.54,GP_1S,dynamic
394.0,3.2900002,3.2900002,3.2450001,0.045,0.065000005,0.563,0.573,0.44900003,0.45700002,0.25800002,3.163,3.4190001,1.0,0.26200002,Linear_1S,stoch
394.0,3.2050002,3.2050002,3.2450001,-0.040000003,0.076000005,0.69500005,0.734,0.517,0.537,0.30400002,3.051,3.3520002,1.0,0.36800003,GP_1S,stoch
449.0,2.538,2.5370002,2.5440001,-0.006,0.053000003,0.017,0.11100001,0.015000001,0.083000004,0.024,2.4350002,2.6430001,1.0,1.0,Linear_oracle,dynamic
449.0,2.496,2.496,2.5440001,-0.048,0.072000004,0.277,0.36600003,0.15900001,0.22800002,0.38900003,2.3560002,2.6360002,1.0,0.97400004,GP_oracle,dynamic
449.0,3.1560001,3.1550002,3.1620002,-0.006,0.068,0.011000001,0.104,0.009000001,0.076000005,0.009000001,3.0230002,3.2910001,1.0,1.0,Linear_oracle,stoch
449.0,3.0800002,3.0790002,3.1620002,-0.082,0.081,0.37600002,0.437,0.16900001,0.22200002,0.078,2.92,3.239,1.0,0.97200006,GP_oracle,stoch
449.0,2.006,2.006,2.5440001,-0.53800005,0.065000005,1.0660001,1.0730001,0.767,0.77300006,1.3510001,1.8800001,2.1320002,0.0,0.208,Linear_observed,dynamic
449.0,1.4860001,1.4840001,2.5440001,-1.0580001,0.158,1.7400001,1.774,1.353,1.3740001,4.0620003,1.1780001,1.802,0.0,0.296,GP_observed,dynamic
449.0,2.4610002,2.4610002,3.1620002,-0.70100003,0.076000005,1.205,1.2110001,0.90000004,0.90400004,0.41200003,2.3140001,2.611,0.0,0.158,Linear_observed,stoch
449.0,2.8240001,2.8240001,3.1620002,-0.33800003,0.19800001,1.0780001,1.1520001,0.77400005,0.818,0.381,2.426,3.2080002,1.0,0.50200003,GP_observed,stoch
449.0,2.401,2.401,2.5440001,-0.143,0.075,0.537,0.646,0.41300002,0.5,0.97800004,2.256,2.551,1.0,0.84200007,Linear_3S,dynamic
449.0,2.917,2.9160001,3.1620002,-0.245,0.09,0.63100004,0.74300003,0.48400003,0.57600003,0.254,2.7440002,3.098,0.0,0.80600005,Linear_3S,stoch
