idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
14_0_0,true_net,dynamic,2.0,4.35325,3.93748,4.33137,0.021879999,0.015829999,0.026999999,0.00623,0.021879999,0.0052,4.3227,4.383998,True,1.0,0.32494843
14_0_0,true_net,stoch,2.0,4.9477,4.75805,4.92276,0.024929998,0.01809,0.030809999,0.0062599997,0.024929998,0.00505,4.9127173,4.982835,True,1.0,0.32494843
14_0_0,obs_net,dynamic,2.0,0.91866,-0.0287,4.33137,-3.41271,0.27312,3.42362,0.79042,3.41271,0.87289,0.38902628,1.4598125,False,0.0,6.860625
14_0_0,obs_net,stoch,2.0,1.04712,1.05066,4.92276,-3.87565,0.26904,3.88497,0.78919,3.87565,0.78128,0.52548784,1.5821205,False,0.0,6.860625
14_0_0,MWG,dynamic,2.0,2.93849,2.7135599,4.33137,-1.39288,0.11129,1.3973199,0.32259998,1.41741,0.34515,2.752807,3.1449194,False,0.604,4.8511024
14_0_0,MWG,stoch,2.0,3.40974,3.26242,4.92276,-1.5130199,0.09421,1.51595,0.30795,1.5130199,0.30732998,3.2555454,3.5991776,False,0.084,4.8511024
14_0_0,MWG_rep,dynamic,2.0,3.82331,3.6747499,4.33137,-0.50804996,0.15822999,0.53212,0.12284999,0.73721,0.18360999,3.5286245,4.1347713,False,0.98399997,2.1213825
14_0_0,MWG_rep,stoch,2.0,4.3168797,4.15651,4.92276,-0.60587996,0.15371,0.62508,0.12697999,0.6469,0.126,4.042666,4.617223,False,0.5,2.1213825
14_0_1,true_net,dynamic,2.5,4.35323,3.9375398,4.33137,0.02186,0.01554,0.026819998,0.0061899996,0.02186,0.0052,4.3229117,4.383762,True,1.0,0.32393026
14_0_1,true_net,stoch,2.5,4.94768,4.75816,4.92276,0.02491,0.01776,0.030599998,0.00622,0.02491,0.00505,4.9130898,4.982648,True,1.0,0.32393026
14_0_1,obs_net,dynamic,2.5,0.90318,0.01181,4.33137,-3.42819,0.34802,3.4458098,0.79555,3.42819,0.87789,0.22281769,1.5913723,False,0.0,6.9830475
14_0_1,obs_net,stoch,2.5,1.0271599,1.03201,4.92276,-3.8956099,0.34849998,3.91116,0.79451,3.8956099,0.78546,0.3481486,1.71683,False,0.0,6.9830475
14_0_1,MWG,dynamic,2.5,4.3842797,4.11412,4.33137,0.05291,0.16488,0.17316,0.039979998,0.58186,0.16046,4.038816,4.652812,True,0.986,1.9022462
14_0_1,MWG,stoch,2.5,4.9769397,4.80095,4.92276,0.05418,0.18316999,0.19101,0.038799997,0.31983998,0.06815,4.6149435,5.261431,True,0.914,1.9022462
14_0_1,MWG_rep,dynamic,2.5,3.93135,3.7363498,4.33137,-0.40002,0.14373,0.42505,0.098129995,0.64186996,0.16193,3.641439,4.202394,False,0.98999995,1.9988085
14_0_1,MWG_rep,stoch,2.5,4.4467397,4.27828,4.92276,-0.47601998,0.15281999,0.49995,0.10156,0.53323,0.10447,4.143431,4.711108,False,0.638,1.9988085
14_0_2,true_net,dynamic,3.0,4.3526697,3.9369998,4.33137,0.0213,0.0155,0.026339998,0.0060799997,0.0213,0.00506,4.321909,4.382798,True,1.0,0.3193722
14_0_2,true_net,stoch,3.0,4.94704,4.75756,4.92276,0.02427,0.017719999,0.030049998,0.0061,0.02427,0.0049199997,4.9118023,4.98145,True,1.0,0.3193722
