idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
24_0_0,true_net,dynamic,2.0,3.86745,3.3542,3.8883598,-0.020909999,0.0122,0.024209999,0.00623,0.020909999,0.00543,3.8439038,3.8917706,True,1.0,0.27734393
24_0_0,true_net,stoch,2.0,5.0563097,4.9111,5.08361,-0.0273,0.015829999,0.03156,0.00621,0.0273,0.00537,5.0257053,5.0880384,True,1.0,0.27734393
24_0_0,obs_net,dynamic,2.0,0.98357,0.22151,3.8883598,-2.90479,0.20692,2.91215,0.74894,2.90479,0.81908,0.5721585,1.3819202,False,0.0,6.9076543
24_0_0,obs_net,stoch,2.0,1.33648,1.3346399,5.08361,-3.74714,0.25790998,3.7559998,0.73885,3.74714,0.72960997,0.82492566,1.8320673,False,0.0,6.9076543
24_0_0,MWG,dynamic,2.0,3.3131099,2.9766998,3.8883598,-0.57524997,0.09269,0.58267,0.14985,0.74917996,0.20943,3.1301231,3.4950268,False,0.94799995,2.268286
24_0_0,MWG,stoch,2.0,4.32116,4.1423697,5.08361,-0.76245,0.1193,0.77173,0.15180999,0.76669997,0.14806,4.080711,4.5383167,False,0.456,2.268286
24_0_0,MWG_rep,dynamic,2.0,3.3662798,3.2022,3.8883598,-0.52208,0.1415,0.54091996,0.13911,0.7503,0.21319999,3.1198838,3.6786253,False,0.992,2.1472647
24_0_0,MWG_rep,stoch,2.0,4.4169497,4.24295,5.08361,-0.66666,0.15018,0.68337,0.13442999,0.69628996,0.13216,4.170806,4.758464,False,0.468,2.1472647
24_0_1,true_net,dynamic,2.5,3.86743,3.35424,3.8883598,-0.02093,0.01196,0.0241,0.0061999997,0.02093,0.00543,3.8437703,3.8909557,True,1.0,0.2760312
24_0_1,true_net,stoch,2.5,5.0562897,4.91113,5.08361,-0.02732,0.015509999,0.03142,0.00618,0.02732,0.00537,5.0256977,5.0868354,True,1.0,0.2760312
24_0_1,obs_net,dynamic,2.5,1.0537,0.32862,3.8883598,-2.8346598,0.25809,2.84639,0.73203,2.8346598,0.79617995,0.5504393,1.563815,False,0.0,6.911246
24_0_1,obs_net,stoch,2.5,1.4238399,1.41888,5.08361,-3.65977,0.32189998,3.6739,0.72269,3.65977,0.71191996,0.7976976,2.0567772,False,0.0,6.911246
24_0_1,MWG,dynamic,2.5,3.58445,3.24454,3.8883598,-0.30391,0.104849994,0.32149,0.082679994,0.62121,0.18688999,3.376507,3.791415,False,0.974,1.977671
24_0_1,MWG,stoch,2.5,4.65875,4.46915,5.08361,-0.42486,0.11835,0.44103998,0.08676,0.47987,0.09179,4.4157205,4.8900523,False,0.754,1.977671
24_0_1,MWG_rep,dynamic,2.5,3.4533598,3.2361598,3.8883598,-0.435,0.11496,0.44992998,0.11571,0.68217,0.19884999,3.224122,3.677049,False,0.992,2.1206799
24_0_1,MWG_rep,stoch,2.5,4.5324397,4.35988,5.08361,-0.55117,0.11775,0.56360996,0.110869996,0.60139996,0.114149995,4.2997384,4.7615485,False,0.546,2.1206799
24_0_2,true_net,dynamic,3.0,3.86744,3.35422,3.8883598,-0.02092,0.012259999,0.024249999,0.00624,0.02092,0.00544,3.8437088,3.8917105,True,1.0,0.28069827
24_0_2,true_net,stoch,3.0,5.0562997,4.91108,5.08361,-0.027309999,0.015899999,0.0316,0.00622,0.027309999,0.00537,5.0255666,5.0877213,True,1.0,0.28069827
24_0_2,obs_net,dynamic,3.0,1.02428,0.34142998,3.8883598,-2.86408,0.32154998,2.8820698,0.7412,2.86408,0.80487,0.40101287,1.6538858,False,0.0,7.017363
24_0_2,obs_net,stoch,3.0,1.3884599,1.38563,5.08361,-3.69515,0.40383,3.71715,0.7312,3.69515,0.71906,0.60694647,2.1801589,False,0.0,7.017363
24_0_2,MWG,dynamic,3.0,3.34631,3.01958,3.8883598,-0.54205,0.12274,0.55577,0.14293,0.72436,0.20105,3.106922,3.5759737,False,0.964,2.1918244
24_0_2,MWG,stoch,3.0,4.35436,4.18427,5.08361,-0.72924995,0.15156999,0.74482995,0.14652,0.73780996,0.14174,4.073287,4.62375,False,0.5,2.1918244
24_0_2,MWG_rep,dynamic,3.0,3.34459,3.1766698,3.8883598,-0.54377,0.12974,0.55903,0.14377,0.73753,0.20146999,3.0914018,3.6009839,False,0.996,2.2351918
24_0_2,MWG_rep,stoch,3.0,4.39873,4.24026,5.08361,-0.68487996,0.124699995,0.69614,0.13694,0.70916,0.13374999,4.146682,4.626078,False,0.47399998,2.2351918
24_0_3,true_net,dynamic,3.5,3.86762,3.35426,3.8883598,-0.020739999,0.0121,0.02402,0.00618,0.020739999,0.00539,3.843671,3.8913772,True,1.0,0.27692708
24_0_3,true_net,stoch,3.5,5.05653,4.9113297,5.08361,-0.02708,0.01571,0.03131,0.00616,0.02708,0.00532,5.0254116,5.0874114,True,1.0,0.27692708
24_0_3,obs_net,dynamic,3.5,0.99631995,0.35356998,3.8883598,-2.89204,0.39411998,2.9187698,0.75064,2.89204,0.81333,0.21919276,1.769774,False,0.0019999999,7.1196523
