idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
13_6_0,true_net,stoch,1.0,5.2585096,5.04449,5.27616,-0.017649999,0.01739,0.02478,0.0047,0.017649999,0.00335,5.2238293,5.2927704,True,1.0,0.3123038
13_6_0,obs_net,dynamic,1.0,1.44945,0.57558,3.9238498,-2.4744,0.15508999,2.47925,0.63184,2.4744,0.68325996,1.1445504,1.7490532,False,0.0019999999,6.088853
13_6_0,obs_net,stoch,1.0,1.86366,1.84155,5.27616,-3.4125,0.19656,3.41815,0.64785,3.4125,0.63746,1.4765773,2.242992,False,0.0,6.088853
13_6_0,MWG,dynamic,1.0,4.25198,3.59669,3.9238498,0.32812998,0.13858,0.35619,0.09078,0.59651,0.20515999,3.9961762,4.5046024,False,0.74799997,2.8338976
13_6_0,MWG,stoch,1.0,5.69823,5.48867,5.27616,0.42207,0.40216,0.58299,0.110489994,0.48904,0.10009,4.923534,6.4774756,True,0.936,2.8338976
13_6_0,MWG_rep,dynamic,1.0,3.79878,3.19958,3.9238498,-0.12506999,0.10933,0.16612,0.04233,0.50457996,0.15546,3.60262,4.019309,True,0.788,2.0137537
13_6_0,MWG_rep,stoch,1.0,5.1482697,4.96894,5.27616,-0.12788999,0.36058,0.38257998,0.07251,0.31055,0.059359998,4.4555383,5.839314,True,0.99799997,2.0137537
13_6_1,true_net,dynamic,1.5,3.9110198,3.3870199,3.9238498,-0.012829999,0.01306,0.018299999,0.00466,0.012829999,0.0031599998,3.8855288,3.9367557,True,1.0,0.31242514
13_6_1,true_net,stoch,1.5,5.25898,5.04479,5.27616,-0.01718,0.017679999,0.02465,0.0046699997,0.01718,0.00327,5.224501,5.293871,True,1.0,0.31242514
13_6_1,obs_net,dynamic,1.5,1.21249,0.35801,3.9238498,-2.71136,0.17487,2.71699,0.69242996,2.71136,0.75403,0.86391217,1.548177,False,0.0,6.5655684
13_6_1,obs_net,stoch,1.5,1.54685,1.53783,5.27616,-3.7293098,0.21113,3.7352798,0.70796,3.7293098,0.69865996,1.1264817,1.9518151,False,0.0,6.5655684
13_6_1,MWG,dynamic,1.5,4.1504197,3.62236,3.9238498,0.22657,0.10539,0.24988,0.06368,0.57462996,0.19252,3.9200783,4.3321004,True,0.842,2.124445
13_6_1,MWG,stoch,1.5,5.4883,5.305,5.27616,0.21214,0.37949,0.43475997,0.0824,0.36341998,0.07397,4.7699184,6.2399287,True,0.98399997,2.124445
13_6_1,MWG_rep,dynamic,1.5,3.6062498,3.0511498,3.9238498,-0.31759998,0.15928,0.35529998,0.09055,0.59923,0.1731,3.3516846,3.9117427,False,0.728,2.0627258
13_6_1,MWG_rep,stoch,1.5,4.8231597,4.6620197,5.27616,-0.45299998,0.3594,0.57825,0.1096,0.51347,0.09416,4.1462836,5.540937,True,0.972,2.0627258
13_6_2,true_net,dynamic,2.0,3.9106698,3.38657,3.9238498,-0.01318,0.01315,0.01862,0.00475,0.01318,0.00326,3.8849423,3.9364007,True,1.0,0.31302935
13_6_2,true_net,stoch,2.0,5.25849,5.0443897,5.27616,-0.01767,0.01781,0.02508,0.00475,0.01767,0.00336,5.2236886,5.2933855,True,1.0,0.31302935
13_6_2,obs_net,dynamic,2.0,1.07907,0.26376,3.9238498,-2.84478,0.22073999,2.85333,0.72718,2.84478,0.79398,0.6496401,1.504982,False,0.0,6.863709
13_6_2,obs_net,stoch,2.0,1.38392,1.38125,5.27616,-3.8922398,0.26227,3.9010599,0.73938,3.8922398,0.73028,0.87295544,1.8897185,False,0.0,6.863709
13_6_2,MWG,dynamic,2.0,3.16431,2.6861699,3.9238498,-0.75953996,0.09975,0.76606,0.19522999,0.84866,0.23184,2.992197,3.3549016,False,0.77,2.7139344
13_6_2,MWG,stoch,2.0,4.30064,4.11054,5.27616,-0.97551,0.35946998,1.03964,0.19703999,0.97597,0.18333,3.6100001,5.0218353,False,0.616,2.7139344
13_6_2,MWG_rep,dynamic,2.0,3.38756,2.80356,3.9238498,-0.53628,0.09803,0.54517,0.13893999,0.71024996,0.19691,3.2014406,3.5867774,False,0.59599996,2.2936728
13_6_2,MWG_rep,stoch,2.0,4.57969,4.4386797,5.27616,-0.69646,0.31349,0.76377,0.14476,0.71893996,0.13069,3.9836726,5.189101,False,0.858,2.2936728
13_6_3,true_net,dynamic,2.5,3.9108899,3.3867998,3.9238498,-0.01296,0.013049999,0.01839,0.00469,0.01296,0.0031899998,3.8851862,3.9366655,True,1.0,0.31638074
13_6_3,true_net,stoch,2.5,5.2588,5.0448,5.27616,-0.01736,0.01767,0.02477,0.0047,0.01736,0.0033,5.224071,5.293554,True,1.0,0.31638074
