idx,model,estimand,gamma_noise,mean,median,true,bias,std,RMSE,RMSE_rel,MAE,MAPE,q025,q975,covering,mean_ind_cover,w_dist
29_0_0,true_net,dynamic,1.0,4.05327,3.58056,4.07187,-0.01859,0.013739999,0.02312,0.00568,0.01859,0.00452,4.0258913,4.0794864,True,1.0,0.30641624
29_0_0,true_net,stoch,1.0,5.28233,5.0621,5.30657,-0.02423,0.0179,0.030129999,0.00568,0.02423,0.00457,5.2466745,5.316458,True,1.0,0.30641624
29_0_0,obs_net,dynamic,1.0,1.99841,1.2572199,4.07187,-2.0734599,0.15195,2.07902,0.51058,2.0786,0.52753,1.6924342,2.2954426,False,0.02,5.3200493
29_0_0,obs_net,stoch,1.0,2.4568698,2.3947499,5.30657,-2.8497,0.17968999,2.85536,0.53808,2.8497,0.52594,2.0968816,2.8074641,False,0.0,5.3200493
29_0_0,MWG,dynamic,1.0,4.05497,3.55423,4.07187,-0.016889999,0.11422,0.11545999,0.02835,0.53152,0.16676,3.8505075,4.273686,True,0.852,2.1801753
29_0_0,MWG,stoch,1.0,5.29554,5.09031,5.30657,-0.01103,0.38544,0.3856,0.07266,0.31124,0.06092,4.5790186,6.0811014,True,0.98999995,2.1801753
29_0_0,MWG_rep,dynamic,1.0,3.89134,3.3404398,4.07187,-0.18053,0.12675999,0.22059,0.054169998,0.51993996,0.15291,3.7128768,4.169424,True,0.784,2.157564
29_0_0,MWG_rep,stoch,1.0,5.0548897,4.87273,5.30657,-0.25168,0.34186,0.42452,0.08,0.38059998,0.07069,4.3904357,5.718994,True,0.986,2.157564
29_0_1,true_net,dynamic,1.5,4.05333,3.5806198,4.07187,-0.018539999,0.01397,0.02321,0.0056999996,0.018539999,0.00451,4.025986,4.0810905,True,1.0,0.30830815
29_0_1,true_net,stoch,1.5,5.2824097,5.0622396,5.30657,-0.02416,0.01819,0.03024,0.0056999996,0.02416,0.00456,5.246811,5.318589,True,1.0,0.30830815
29_0_1,obs_net,dynamic,1.5,1.76028,1.02138,4.07187,-2.31158,0.19451,2.3197498,0.5697,2.31321,0.59016,1.376034,2.1432312,False,0.0139999995,5.796985
29_0_1,obs_net,stoch,1.5,2.12695,2.08883,5.30657,-3.17962,0.21894999,3.18714,0.6006,3.17962,0.58809996,1.6939155,2.555689,False,0.0,5.796985
29_0_1,MWG,dynamic,1.5,4.17424,3.69446,4.07187,0.102369994,0.14702,0.17915,0.044,0.56864,0.19102,3.8722568,4.4112372,True,0.856,1.9102371
29_0_1,MWG,stoch,1.5,5.43454,5.2505097,5.30657,0.12797,0.38957,0.41004997,0.07727,0.33829,0.068179995,4.716343,6.2182665,True,0.992,1.9102371
29_0_1,MWG_rep,dynamic,1.5,3.38845,2.90343,4.07187,-0.68342,0.10606,0.69159997,0.16984999,0.8408,0.21449,3.1846776,3.6045165,False,0.566,2.4202127
29_0_1,MWG_rep,stoch,1.5,4.3884697,4.23721,5.30657,-0.91809,0.30967,0.96891,0.18259,0.92555,0.16895999,3.8018804,4.98552,False,0.74,2.4202127
29_0_2,true_net,dynamic,2.0,4.05356,3.58088,4.07187,-0.01831,0.01376,0.0229,0.00562,0.01831,0.00445,4.0265446,4.0802126,True,1.0,0.30995062
29_0_2,true_net,stoch,2.0,5.2827,5.06249,5.30657,-0.02386,0.017919999,0.02984,0.00562,0.02386,0.0045,5.2475057,5.31742,True,1.0,0.30995062
